Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.06.2021 11:45,30.5,699.3,754.3,-0.1,57,Wind blowing from the west,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,20.9,,,,,,
03.06.2021 08:45,27.2,699.4,754.4,0.9,73,Wind blowing from the east-southeast,1,,,"10%  or less, but not 0", ,,,21.5,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.0,No precipitation,24,,,,
03.06.2021 05:45,21.6,698.5,753.7,,92,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,20.2,,,,,,
02.06.2021 17:45,30.6,697.3,752.0,-0.3,62,Wind blowing from the west,2,,,50%., ,,,,31.7,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.4,No precipitation,9,,,,
02.06.2021 14:45,30.6,697.6,752.2,-0.7,64,Wind blowing from the east,1,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.0,,,,,,
02.06.2021 11:45,29.6,698.3,753.5,0.1,67,Wind blowing from the south,1,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.8,,,,,,
02.06.2021 08:45,25.4,698.2,753.4,,78,Wind blowing from the south,1,,,no clouds, ,,,20.2,,,,,,,8.0,21.2,12,24,,,,
01.06.2021 17:45,29.8,696.7,751.9,-0.1,63,Wind blowing from the west,1,,,"10%  or less, but not 0", ,,,,31.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,22.1,12,9,,,,
01.06.2021 14:45,28.4,696.8,752.2,-3.8,54,Wind blowing from the east,1,,,40%.,Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,18.3,,,,,,
01.06.2021 11:45,20.8,700.6,755.7,3.1,92,Wind blowing from the north,1,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,5.0,19.4,,,,,,
01.06.2021 08:45,27.0,697.5,752.5,0.5,77,,,,,, ,,,21.6,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,Altostratus translucidus.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",8.0,22.6,5,24,,,,
01.06.2021 05:45,22.4,697.0,752.1,,92,Wind blowing from the north,1,,,70 – 80%., ,,,,,Stratocumulus cumulogenitus.,40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",6.0,21.0,,,,,,
