Local time in Darbhanga,T,Po,P,U,DD,Ff,N,Tn,Tx,H,VV,Td,RRR,tR
03.06.2021 08:30,30.6,746.8,751,76,"Calm, no wind",0,no clouds,25.4,,,4,25.8,,
02.06.2021 08:30,28,749,753.3,86,"Calm, no wind",0,50%.,23,,"2500 or more, or no clouds.",4,25.4,6,24
01.06.2021 08:30,28.6,748.3,752.5,88,"Calm, no wind",0,20–30%.,25.6,,"2500 or more, or no clouds.",4,26.4,,
31.05.2021 17:30,29.4,746.2,750.4,83,Wind blowing from the north,2,no clouds,,33.6,,4,26.3,,
30.05.2021 17:30,28.8,744.5,748.7,89,"Calm, no wind",0,50%.,,31.4,"2500 or more, or no clouds.",4,26.9,,
30.05.2021 08:30,27,749.3,753.6,92,Wind blowing from the north,2,20–30%.,25,,"2500 or more, or no clouds.",4,25.6,6,24
29.05.2021 17:30,28,755,759.3,92,Wind blowing from the north,2,50%.,,28.2,"2500 or more, or no clouds.",4,26.6,,
29.05.2021 08:30,23.6,750.3,754.6,100,"Calm, no wind",0,70 – 80%.,21.4,,"2500 or more, or no clouds.",2,23.6,183,24
28.05.2021 17:30,23.6,754.5,758.9,96,Wind blowing from the south,2,70 – 80%.,,24,"2500 or more, or no clouds.",2,23,,
28.05.2021 08:30,23.4,748.4,752.7,,Wind blowing from the south,2,70 – 80%.,22,,600-1000,2,,44,24
27.05.2021 17:30,26.2,,,90,Wind blowing from the north,2,50%.,,,"2500 or more, or no clouds.",2,24.5,,
27.05.2021 08:30,25.6,745.3,749.6,95,Wind blowing from the north,2,70 – 80%.,24.4,,"2500 or more, or no clouds.",4,24.7,11,24
26.05.2021 08:30,26.8,746.9,751.2,95,"Calm, no wind",0,50%.,25,,"2500 or more, or no clouds.",4,26,Trace of precipitation,24
25.05.2021 17:30,29.8,745.1,749.3,81,"Calm, no wind",0,50%.,,33.6,"2500 or more, or no clouds.",4,26.2,,
25.05.2021 08:30,25.4,751.2,755.5,96,Wind blowing from the north,2,70 – 80%.,25.2,,"2500 or more, or no clouds.",4,24.8,Trace of precipitation,24
24.05.2021 17:30,34.2,748.8,753,62,"Calm, no wind",0,no clouds,,37.4,,4,25.8,,
24.05.2021 08:30,29.4,750.9,755.2,85,"Calm, no wind",0,no clouds,25.4,,,4,26.6,,
23.05.2021 17:30,33.6,747.9,752.1,64,"Calm, no wind",0,no clouds,,35.6,,4,25.8,,
23.05.2021 08:30,,,754.8,,,,"10%  or less, but not 0",,,"2500 or more, or no clouds.",4,26.7,,
22.05.2021 17:30,33.4,747.9,752.1,66,"Calm, no wind",0,no clouds,,35.2,,4,26.2,,
22.05.2021 08:30,24.8,749.2,753.5,,Wind blowing from the north,2,no clouds,25.2,,,4,,Trace of precipitation,24
21.05.2021 17:30,30.2,746.7,750.9,80,Wind blowing from the north,2,no clouds,,31,,4,26.3,,
20.05.2021 17:30,24.8,748.2,752.5,98,Wind blowing from the south,2,70 – 80%.,,,"2500 or more, or no clouds.",2,24.5,,
20.05.2021 08:30,25,750.6,754.9,98,Wind blowing from the south,2,70 – 80%.,24,,"2500 or more, or no clouds.",4,24.7,Trace of precipitation,24
19.05.2021 17:30,30.2,748.9,753.1,70,Wind blowing from the north,2,no clouds,,34,,4,24.2,,
19.05.2021 08:30,27.8,751,755.3,84,"Calm, no wind",0,no clouds,25.2,,,4,24.9,,
18.05.2021 17:30,31.6,747.9,752.1,67,Wind blowing from the north,2,no clouds,,34.2,,4,24.8,,
18.05.2021 08:30,29.2,,755.3,88,"Calm, no wind",0,50%.,27.2,,"2500 or more, or no clouds.",4,27,,
17.05.2021 08:30,29.6,,755.3,82,Wind blowing from the south,2,20–30%.,26.4,,"2500 or more, or no clouds.",4,26.2,,
16.05.2021 17:30,34.2,,752.9,59,"Calm, no wind",0,no clouds,,37.8,,4,25.2,,
16.05.2021 08:30,28.4,,755.3,89,Wind blowing from the south,2,no clouds,24.2,,,4,26.4,,
15.05.2021 17:30,33.6,,752.2,53,Wind blowing from the north,2,no clouds,,36.6,,4,22.9,,
15.05.2021 08:30,29,,754.2,80,Wind blowing from the north,2,no clouds,22.4,,,4,25.3,,
14.05.2021 17:30,30.2,,752.5,80,Wind blowing from the north,2,no clouds,,34.4,,4,26.3,,
14.05.2021 08:30,25,,755.7,85,"Calm, no wind",0,no clouds,21.2,,,4,22.3,,
13.05.2021 08:30,22.2,,754.6,,Wind blowing from the east,2,50%.,21,,"2500 or more, or no clouds.",4,,13,24
12.05.2021 17:30,24.6,,752.8,85,Wind blowing from the south,2,20–30%.,,,"2500 or more, or no clouds.",4,21.9,,
12.05.2021 08:30,24.2,,755.8,90,"Calm, no wind",0,20–30%.,19,,"2500 or more, or no clouds.",2,22.4,14,24
11.05.2021 17:30,28.6,,753.4,75,Wind blowing from the south,2,20–30%.,,30.2,"2500 or more, or no clouds.",4,23.7,,
11.05.2021 08:30,26.2,,758.2,86,"Calm, no wind",0,20–30%.,19.4,,"2500 or more, or no clouds.",4,23.6,23,24
10.05.2021 17:30,28,,755.1,74,Wind blowing from the south,2,20–30%.,,28.2,"2500 or more, or no clouds.",4,23,,
10.05.2021 08:30,21.2,,758.9,96,"Calm, no wind",0,100%.,18,,"2500 or more, or no clouds.",2,20.6,,
09.05.2021 17:30,25.6,,755.5,82,"Calm, no wind",0,20–30%.,,30,"2500 or more, or no clouds.",4,22.3,,
09.05.2021 08:30,22.4,,758.8,90,Wind blowing from the south,2,no clouds,18.6,,,2,20.6,,
08.05.2021 17:30,28,,750.4,60,Wind blowing from the south,2,no clouds,,32.6,,4,19.4,,
08.05.2021 08:30,25.4,,758,88,Wind blowing from the east,2,no clouds,21.2,,,4,23.3,,
07.05.2021 17:30,27.4,,755,86,Wind blowing from the north,2,no clouds,,30,,4,24.8,,
06.05.2021 08:30,27,,757.1,80,Wind blowing from the south,2,no clouds,22.4,,,4,23.2,,
05.05.2021 17:30,28,,754.8,65,Wind blowing from the north,2,no clouds,,30,,4,20.8,,
04.05.2021 17:30,27.6,,754.9,62,Wind blowing from the south,2,20–30%.,,30.2,"2500 or more, or no clouds.",4,19.6,,
04.05.2021 08:30,23.4,754.4,758.8,95,Wind blowing from the south,2,50%.,22,,"2500 or more, or no clouds.",4,22.5,Trace of precipitation,24
03.05.2021 08:30,28,754.2,758.5,67,Wind blowing from the south,2,no clouds,23.2,,,4,21.4,,
02.05.2021 08:30,28.4,753.4,757.7,65,Wind blowing from the south,2,no clouds,23,,,4,21.2,,
01.05.2021 17:30,33.6,750.3,754.5,64,Wind blowing from the north,2,no clouds,,36.2,,4,25.8,,
30.04.2021 17:30,33.4,,752.8,62,,,,,36.4,"2500 or more, or no clouds.",4,25.2,,
30.04.2021 08:30,29.2,751.8,756.1,64,Wind blowing from the north,2,no clouds,25.4,,,4,21.8,,
29.04.2021 17:30,36.2,749.6,753.7,42,Wind blowing from the north,2,no clouds,,37.6,,4,21.2,,
29.04.2021 08:30,28.4,753.4,757.7,65,Wind blowing from the south,2,no clouds,23.4,,,4,21.2,,
28.04.2021 17:30,37.2,750.3,754.4,45,Wind blowing from the north,2,no clouds,,38.6,,4,23.2,,
28.04.2021 08:30,27.2,751.8,756.1,76,Wind blowing from the west,2,no clouds,23,,,4,22.5,,
27.04.2021 08:30,29,,756.9,55,"Calm, no wind",0,no clouds,23,,,4,19.2,,
