Local time in Surkhet,T,Po,P,Pa,U,DD,Ff,N,W1,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,30.9,698.2,753.9,-0.4,63,Wind blowing from the west,2,"10%  or less, but not 0",,,,"10%  or less, but not 0",1000-1500,10,23.1,,
03.06.2021 08:45,27,698.6,754.3,1,71,Wind blowing from the east,2,"10%  or less, but not 0",,20.4,,"10%  or less, but not 0",1000-1500,10,21.2,No precipitation,24
03.06.2021 05:45,20.6,697.6,753.3,,94,Wind blowing from the north,1,20–30%.,,,,20–30%.,2000-2500,8,19.6,,
02.06.2021 17:45,30.5,695.9,751.6,-0.4,59,Wind blowing from the south,1,"10%  or less, but not 0",,,32.2,"10%  or less, but not 0",300-600,10,21.6,No precipitation,9
02.06.2021 14:45,31.9,696.3,752.3,-1,59,Wind blowing from the east-southeast,2,20–30%.,,,,20–30%.,600-1000,10,23,,
02.06.2021 11:45,30,697.3,753.3,-0.3,58,Wind blowing from the north,2,"10%  or less, but not 0",,,,"10%  or less, but not 0",600-1000,10,20.8,,
02.06.2021 08:45,26.2,697.6,753.6,,68,Wind blowing from the south-southeast,2,no clouds,,19.2,,,,10,19.8,18,24
01.06.2021 17:45,28.5,695.5,751.2,-0.4,69,Wind blowing from the south,1,no clouds,,,29.3,,,10,22.2,18,9
01.06.2021 14:45,27.3,695.9,751.3,-1.8,68,Wind blowing from the west,3,"10%  or less, but not 0",,,,"10%  or less, but not 0",600-1000,10,20.9,,
01.06.2021 11:45,21.6,697.7,753.1,0.1,90,Wind blowing from the west,2,100%.,Thunderstorm(s) with or without precipitation.,,,60%.,300-600,10,19.9,,
01.06.2021 08:45,22.3,697.6,753,1.8,85,,,,Thunderstorm(s) with or without precipitation.,22.2,,60%.,300-600,10,19.6,Trace of precipitation,24
01.06.2021 05:45,23.5,695.8,751.1,,93,"Calm, no wind",0,60%.,,,,60%.,600-1000,8,22.3,,
