DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
19810101,0.0,93.01,4.91,47.64,13.39,2.38,20.13,9.37,10.75,10.99,1.8,3.93,0.85,3.09,2.17,3.81,0.89,2.93
19810102,0.0,93.08,4.92,47.58,13.45,2.38,20.39,9.12,11.27,11.15,1.72,2.61,1.33,1.27,2.2,2.87,1.33,1.54
19810103,0.0,93.04,5.21,48.97,13.88,3.19,20.46,9.83,10.62,12.05,1.78,2.73,0.55,2.18,2.26,3.25,0.48,2.77
19810104,0.0,92.98,5.31,52.12,13.2,3.53,19.81,9.0,10.81,11.8,2.21,3.37,1.16,2.21,2.81,3.49,1.14,2.36
19810105,1.41,92.98,5.63,54.84,13.32,4.33,19.13,8.59,10.54,11.93,1.86,2.63,0.44,2.19,2.57,4.41,0.61,3.8
19810106,1.66,92.88,5.84,58.11,12.97,4.72,18.94,9.07,9.88,11.47,1.85,3.58,0.69,2.88,2.47,3.91,0.66,3.25
19810107,2.79,92.94,6.16,67.02,11.61,5.57,15.66,8.22,7.44,10.9,1.41,2.04,0.93,1.11,1.85,3.14,1.06,2.08
19810108,1.1,93.07,5.26,59.87,10.95,3.33,16.95,7.44,9.51,9.66,1.71,2.97,0.63,2.34,2.19,3.14,0.91,2.23
19810109,0.04,93.38,4.82,55.16,10.94,2.19,16.91,7.33,9.58,9.16,1.55,3.06,0.57,2.5,1.84,2.74,0.51,2.23
19810110,0.0,93.54,4.68,51.68,11.51,1.8,18.06,6.7,11.36,9.51,1.54,2.68,0.66,2.02,1.9,2.73,0.98,1.74
19810111,0.0,93.61,4.45,50.96,10.95,0.98,16.43,7.44,8.99,8.06,1.69,2.98,0.36,2.62,2.29,4.44,0.45,3.99
19810112,1.01,93.73,5.24,62.27,10.41,3.04,14.84,7.52,7.32,8.95,1.41,2.53,0.22,2.31,1.87,3.91,0.2,3.71
19810113,10.38,93.59,5.64,67.61,10.26,4.36,15.97,6.25,9.72,8.99,2.05,2.81,0.99,1.82,2.97,4.93,1.34,3.59
19810114,0.0,93.45,4.75,50.85,11.95,1.89,19.29,7.65,11.64,9.54,2.0,3.96,0.36,3.6,2.58,4.01,0.39,3.62
19810115,0.0,93.59,3.96,40.63,12.64,-0.47,19.75,9.02,10.73,9.67,1.53,2.69,0.53,2.16,1.89,2.71,0.66,2.05
19810116,0.0,93.66,3.9,37.04,13.82,-0.66,21.44,8.98,12.45,10.55,1.66,2.95,0.63,2.32,2.0,2.97,0.69,2.29
19810117,4.17,93.6,4.23,36.95,15.09,0.34,22.65,11.35,11.3,11.47,1.79,2.8,0.8,2.01,2.25,3.23,1.0,2.23
19810118,0.27,93.29,4.62,42.24,14.35,1.5,19.3,11.61,7.69,11.89,1.47,2.59,0.29,2.3,1.98,3.65,0.34,3.3
19810119,0.0,93.14,4.86,47.25,13.38,2.32,19.02,9.49,9.53,11.87,1.82,3.33,0.69,2.64,2.19,3.52,0.84,2.68
19810120,0.01,93.26,5.03,49.02,13.35,2.74,20.43,9.03,11.4,11.45,2.03,4.26,0.6,3.66,2.62,4.56,0.52,4.04
19810121,0.0,93.22,5.19,50.32,13.43,3.19,19.11,10.12,8.99,11.49,1.54,2.29,0.52,1.77,1.94,3.45,0.41,3.04
19810122,0.01,93.03,5.45,51.2,13.87,3.89,19.35,10.33,9.03,12.59,1.95,3.08,0.87,2.21,2.5,3.46,0.75,2.7
19810123,0.16,93.02,5.47,53.45,13.26,3.92,19.29,9.48,9.81,11.88,1.88,2.89,0.88,2.01,2.7,5.01,1.01,4.0
19810124,16.03,93.21,6.44,75.8,10.46,6.09,12.64,8.71,3.93,9.98,3.18,5.95,1.33,4.62,4.58,7.07,2.36,4.71
19810125,20.2,93.43,6.75,74.91,11.38,6.71,17.16,6.98,10.18,10.54,2.06,2.99,1.1,1.89,3.04,5.73,1.61,4.12
19810126,0.06,93.62,4.69,49.34,12.25,1.47,19.4,6.56,12.84,10.32,1.98,2.57,1.33,1.24,2.65,3.88,1.5,2.38
19810127,0.0,93.5,4.68,47.76,12.7,1.61,19.64,8.87,10.76,10.43,2.13,4.76,0.31,4.45,2.77,5.31,0.53,4.78
19810128,0.0,93.44,5.24,52.52,12.95,3.22,19.91,7.75,12.16,11.0,1.95,3.96,0.79,3.17,2.45,4.45,1.14,3.31
19810129,0.0,93.07,6.14,57.31,13.98,5.5,20.5,9.56,10.94,12.41,1.98,4.17,0.84,3.33,2.47,4.6,0.72,3.87
19810130,0.0,92.97,6.58,61.87,13.84,6.51,18.44,10.34,8.09,12.6,1.56,2.33,0.76,1.58,2.05,3.54,0.64,2.9
19810131,0.18,93.12,6.08,58.01,13.65,5.34,19.8,9.16,10.65,12.72,2.17,2.79,0.86,1.93,2.89,4.17,1.27,2.9
19810201,0.17,93.26,5.81,55.99,13.51,4.72,19.24,9.15,10.09,12.75,1.5,2.36,0.5,1.85,2.02,3.76,0.73,3.04
19810202,0.16,93.29,5.01,51.73,12.48,2.54,19.44,8.14,11.29,11.35,2.27,4.12,0.8,3.32,2.97,4.36,1.05,3.31
19810203,0.0,93.35,4.92,50.14,12.67,2.38,19.68,8.35,11.33,11.11,1.91,4.0,0.38,3.62,2.34,4.2,0.51,3.7
19810204,0.0,93.24,5.26,48.67,14.14,3.36,21.68,8.9,12.79,12.25,2.05,4.64,0.39,4.24,2.43,4.92,0.32,4.6
19810205,0.0,93.28,5.8,46.19,16.49,4.69,24.5,10.11,14.39,14.26,2.24,5.34,0.87,4.47,2.82,6.22,1.09,5.13
19810206,0.92,93.39,6.29,46.09,17.8,5.84,25.34,12.62,12.72,16.27,2.92,6.15,1.03,5.12,4.13,7.49,1.37,6.12
19810207,0.1,93.14,5.85,47.63,16.12,4.7,23.93,11.43,12.5,15.1,2.73,4.81,1.25,3.56,3.78,5.73,1.59,4.15
19810208,0.0,93.0,5.36,45.97,15.28,3.47,22.08,11.15,10.92,13.86,2.02,3.78,0.71,3.07,2.38,3.86,0.72,3.14
19810209,0.0,93.07,4.76,43.46,14.34,2.01,20.79,9.29,11.5,12.8,2.45,4.13,0.55,3.58,3.05,4.41,0.78,3.62
19810210,0.0,93.02,4.37,41.25,13.79,0.73,21.01,8.95,12.06,12.58,2.34,4.19,0.99,3.2,2.96,4.81,1.03,3.79
19810211,0.0,92.81,4.63,46.46,12.84,1.46,20.25,7.01,13.24,11.78,2.42,4.74,1.07,3.67,3.05,5.28,1.46,3.82
19810212,0.0,92.82,4.75,43.75,14.14,1.92,21.25,8.94,12.31,12.75,1.86,4.0,0.1,3.9,2.27,3.76,0.19,3.58
19810213,0.0,92.89,5.11,45.63,14.63,2.89,22.48,8.6,13.88,13.43,1.85,3.85,0.84,3.01,2.34,4.12,1.26,2.86
19810214,0.0,92.9,5.16,42.98,15.73,3.0,23.54,9.37,14.17,14.17,2.3,4.12,1.19,2.93,2.94,4.67,1.48,3.18
19810215,0.0,92.8,4.91,37.4,17.12,2.18,25.79,11.24,14.54,15.34,2.7,5.68,0.73,4.95,3.72,6.77,0.47,6.3
19810216,0.0,92.92,4.54,33.32,17.73,1.21,26.84,11.82,15.02,16.0,3.15,6.65,0.09,6.57,4.52,8.03,0.28,7.75
19810217,0.0,92.94,4.35,33.06,17.18,0.62,24.78,12.56,12.22,15.02,2.26,3.94,0.39,3.55,3.05,4.7,0.4,4.3
19810218,0.0,92.84,4.58,36.37,16.46,1.26,23.77,11.47,12.3,14.55,2.0,3.86,0.83,3.03,2.35,3.93,1.06,2.87
19810219,0.0,93.01,4.63,35.47,17.06,1.52,25.51,11.06,14.45,15.54,2.38,3.98,1.33,2.64,3.12,4.8,1.66,3.13
19810220,0.0,92.99,4.7,34.62,17.67,1.73,25.95,11.42,14.53,15.75,2.2,4.46,0.78,3.68,2.68,4.81,0.98,3.84
19810221,0.0,92.91,4.42,32.62,17.65,0.84,26.0,12.33,13.67,15.72,2.3,4.4,0.88,3.52,2.8,4.53,0.84,3.69
19810222,0.0,92.88,4.48,33.01,17.64,1.03,26.18,11.18,15.0,16.04,2.38,4.41,1.12,3.29,2.94,4.62,0.99,3.63
19810223,0.0,93.05,4.7,32.89,18.49,1.76,26.25,11.42,14.83,16.79,2.34,4.13,1.42,2.71,2.86,4.0,1.46,2.54
19810224,0.0,93.02,5.1,33.22,19.65,2.91,28.44,12.82,15.62,18.0,2.91,6.93,0.84,6.09,3.83,7.94,0.88,7.06
19810225,0.0,92.98,5.21,33.23,19.98,3.23,29.04,13.52,15.52,18.93,3.37,7.25,0.72,6.54,4.72,8.37,0.84,7.53
19810226,0.0,92.84,4.92,31.06,20.13,2.42,28.38,14.66,13.72,18.99,2.55,4.71,1.38,3.32,3.51,5.34,1.2,4.14
19810227,0.0,92.85,5.16,33.28,19.76,3.03,26.89,14.99,11.9,19.0,2.25,4.49,1.1,3.39,3.07,5.14,0.72,4.43
19810228,0.68,92.9,5.98,39.32,19.47,5.16,26.5,13.13,13.37,18.59,2.21,4.19,0.78,3.41,2.96,4.63,1.32,3.31
19810301,0.37,92.96,5.61,37.57,19.17,4.19,27.62,13.15,14.47,18.73,2.98,6.07,0.97,5.1,4.28,7.4,1.37,6.03
19810302,0.02,92.87,4.75,34.85,17.72,1.88,25.7,11.69,14.01,17.29,3.31,6.59,1.15,5.44,4.61,7.58,1.54,6.04
19810303,0.0,93.12,4.22,30.83,17.84,0.17,26.76,9.91,16.85,16.91,2.38,4.64,1.37,3.27,2.83,4.47,1.69,2.78
19810304,0.0,93.36,4.23,28.45,19.18,0.35,27.02,12.67,14.34,17.77,2.18,3.11,0.78,2.33,2.73,3.65,1.03,2.63
19810305,0.0,93.35,4.5,29.08,19.82,1.21,27.38,13.56,13.82,18.6,2.22,3.26,1.25,2.01,2.76,3.51,1.55,1.96
19810306,0.0,93.33,5.48,33.32,20.82,3.89,28.25,14.56,13.7,20.04,2.19,3.81,1.01,2.8,2.66,3.72,0.95,2.78
19810307,0.0,93.22,6.37,35.07,22.4,6.13,30.77,17.2,13.57,22.18,3.58,8.21,0.84,7.38,5.04,9.76,0.85,8.91
19810308,0.0,92.91,5.02,29.8,21.12,2.54,29.16,14.6,14.56,20.85,3.19,5.73,1.79,3.94,4.67,6.49,2.1,4.39
19810309,0.05,92.95,4.56,27.41,20.95,1.27,28.59,14.64,13.94,20.61,2.27,3.92,0.87,3.05,2.99,4.79,0.79,4.0
19810310,1.61,93.03,4.59,29.97,19.6,1.39,27.79,12.13,15.66,19.46,2.33,3.13,0.95,2.18,3.0,4.56,1.3,3.25
19810311,0.22,93.01,4.85,30.73,20.09,2.15,27.93,13.81,14.13,20.48,2.62,3.6,1.19,2.41,3.69,5.37,1.53,3.83
19810312,0.27,93.2,5.26,36.83,18.52,3.4,23.19,13.87,9.32,18.27,1.73,2.87,0.16,2.71,2.43,4.69,0.04,4.65
19810313,0.01,93.23,5.96,39.99,19.2,5.12,26.73,12.94,13.79,19.32,2.73,5.21,1.01,4.2,3.54,6.01,1.19,4.82
19810314,0.01,93.27,6.26,39.45,20.21,5.86,27.49,14.85,12.64,19.88,2.51,4.89,0.47,4.42,3.14,5.26,0.44,4.81
19810315,0.25,93.32,6.26,38.56,20.6,5.88,26.27,16.7,9.57,20.17,1.85,3.16,0.75,2.41,2.48,3.72,1.06,2.66
19810316,6.59,93.08,7.82,52.73,19.06,9.03,24.92,15.22,9.71,19.61,2.1,4.47,0.26,4.21,3.04,5.39,0.66,4.72
19810317,0.71,92.64,7.28,48.79,19.1,7.95,26.53,12.96,13.57,19.34,3.13,6.41,1.35,5.06,4.16,6.86,1.9,4.96
19810318,0.04,92.61,6.34,36.88,21.4,5.94,29.97,14.67,15.3,21.05,2.66,5.93,0.42,5.52,3.4,6.38,0.37,6.01
19810319,0.18,92.76,6.47,35.16,22.54,6.27,30.23,16.27,13.96,22.16,2.21,4.36,0.13,4.23,2.81,4.46,0.28,4.18
19810320,0.22,92.8,6.92,37.02,22.8,7.21,30.14,17.82,12.33,23.1,2.15,4.24,0.97,3.27,2.77,4.87,1.14,3.73
19810321,2.45,92.77,7.87,43.24,22.34,9.1,28.64,17.33,11.31,22.61,2.5,4.75,0.47,4.29,3.2,5.25,0.47,4.78
19810322,0.1,92.48,6.08,35.15,21.49,5.06,29.85,15.3,14.55,21.77,3.5,6.38,1.54,4.84,4.99,7.33,2.16,5.16
19810323,0.0,92.31,4.81,28.72,20.93,2.0,29.4,14.07,15.33,21.03,2.85,5.08,0.79,4.29,3.89,5.83,0.44,5.39
19810324,0.0,92.58,4.74,27.49,21.45,1.83,28.94,15.15,13.8,21.05,2.26,3.63,0.47,3.16,2.72,4.04,0.64,3.4
19810325,0.12,92.75,5.0,29.11,21.43,2.6,29.22,13.55,15.67,21.68,2.76,3.78,0.38,3.4,3.73,6.0,0.53,5.47
19810326,0.36,92.66,6.81,41.95,20.47,6.86,26.66,14.82,11.84,21.08,2.43,3.26,1.28,1.98,3.04,4.21,1.93,2.28
19810327,0.0,92.48,6.27,36.55,21.33,5.69,28.64,14.14,14.5,21.37,2.22,4.61,0.25,4.36,2.65,4.43,0.29,4.14
19810328,0.0,92.65,5.53,30.49,22.29,4.01,29.87,15.51,14.36,22.01,2.64,4.35,0.8,3.55,3.25,4.26,1.15,3.12
19810329,0.0,92.87,5.86,32.21,22.39,4.91,29.96,15.6,14.35,22.62,2.33,3.78,0.84,2.94,2.82,3.92,1.2,2.72
19810330,2.4,92.78,6.88,36.88,22.76,7.12,29.99,16.0,13.99,23.26,2.42,3.68,1.42,2.26,3.14,4.96,2.16,2.8
19810331,10.74,92.52,8.07,45.82,21.76,9.5,27.58,16.82,10.77,21.69,2.04,4.01,0.17,3.83,2.74,4.49,0.48,4.01
19810401,4.86,92.38,7.41,43.11,21.35,8.12,28.79,15.4,13.39,21.28,2.92,5.77,0.65,5.12,3.8,6.57,0.78,5.79
19810402,0.37,92.61,5.47,29.12,22.86,3.83,30.9,15.56,15.34,22.26,2.57,4.59,0.48,4.11,3.09,4.73,0.64,4.08
19810403,0.0,92.55,5.35,27.52,23.41,3.42,31.9,15.85,16.04,23.16,2.83,4.82,1.28,3.54,3.63,5.47,1.22,4.25
19810404,0.04,92.35,5.94,28.98,24.26,5.01,33.18,16.82,16.35,24.37,3.69,7.03,0.58,6.45,5.08,8.04,0.35,7.69
19810405,0.08,92.24,4.79,24.51,23.45,1.72,32.34,15.8,16.55,23.55,3.6,6.38,1.11,5.27,4.96,7.12,0.97,6.14
19810406,0.01,92.4,4.15,22.21,22.76,0.03,31.21,15.86,15.35,22.71,2.74,4.75,0.35,4.4,3.72,5.48,0.2,5.27
19810407,0.0,92.43,4.12,20.58,23.89,-0.12,32.03,16.66,15.37,23.14,2.26,4.13,0.74,3.39,2.58,3.75,0.99,2.76
19810408,0.0,92.56,4.23,20.62,24.33,0.25,32.62,16.51,16.11,23.7,2.58,4.12,0.13,3.99,3.11,4.02,0.14,3.88
19810409,0.0,92.41,4.72,21.71,25.27,1.79,33.69,17.84,15.85,24.85,2.72,4.38,0.85,3.52,3.41,4.74,1.36,3.38
19810410,0.0,92.28,4.76,20.56,26.3,1.87,35.2,18.2,17.0,25.72,2.86,5.64,0.31,5.33,3.4,5.83,0.33,5.5
19810411,1.27,92.4,5.37,23.82,25.88,3.54,33.49,18.86,14.63,25.92,2.96,4.62,1.56,3.06,3.77,4.64,2.37,2.27
19810412,2.56,92.54,6.81,30.87,25.52,6.9,33.26,18.82,14.44,25.73,3.19,5.74,1.58,4.16,4.19,5.78,2.81,2.96
19810413,0.12,92.73,8.77,41.94,24.63,10.68,31.34,19.11,12.23,25.69,2.81,5.08,1.23,3.85,3.49,4.86,2.14,2.72
19810414,1.29,92.66,8.45,39.21,25.13,10.16,32.76,18.31,14.45,26.31,2.35,3.99,1.36,2.64,2.95,3.77,1.78,1.99
19810415,1.81,92.65,8.74,39.05,25.77,10.69,32.55,19.58,12.96,26.83,2.81,4.76,1.38,3.37,3.68,4.82,2.2,2.62
19810416,7.28,92.42,10.51,45.31,26.31,13.37,33.28,20.51,12.76,27.02,2.8,4.01,1.58,2.44,3.75,4.69,2.33,2.36
19810417,17.85,92.14,10.01,46.15,25.13,12.39,32.22,18.47,13.75,25.55,2.54,4.65,1.13,3.52,3.2,4.63,0.99,3.65
19810418,12.8,92.34,10.67,53.85,23.64,13.52,29.32,17.36,11.96,23.9,2.34,3.17,1.36,1.81,3.34,5.17,1.92,3.25
19810419,0.34,92.67,8.27,39.98,24.44,9.63,31.5,18.81,12.69,25.15,2.48,4.29,1.28,3.01,3.17,4.42,1.66,2.76
19810420,0.05,92.82,9.41,47.94,23.59,11.62,30.67,16.59,14.08,24.48,2.58,4.72,0.26,4.47,3.14,4.52,0.33,4.19
19810421,0.0,92.67,8.0,38.2,24.66,9.33,31.78,18.51,13.27,25.36,2.3,3.56,1.16,2.4,2.79,3.99,1.58,2.42
19810422,0.04,92.58,8.01,35.76,25.78,9.34,32.21,18.63,13.58,25.83,2.18,3.73,0.13,3.6,2.65,3.74,0.13,3.61
19810423,0.51,92.68,7.36,31.91,26.3,8.08,33.87,18.89,14.97,26.49,2.42,4.05,0.38,3.67,2.98,4.45,0.5,3.95
19810424,0.01,92.81,5.65,24.17,26.57,4.14,35.2,18.72,16.48,26.24,3.05,5.77,0.31,5.46,3.92,6.46,0.28,6.18
19810425,0.0,92.81,4.7,19.77,26.85,1.68,34.92,18.42,16.51,26.02,2.55,4.19,0.74,3.46,3.16,4.53,0.61,3.93
19810426,0.4,92.79,4.97,21.32,26.53,2.47,33.83,20.11,13.72,26.13,2.48,4.11,0.54,3.57,3.05,4.39,0.77,3.62
19810427,0.1,92.79,5.26,22.64,26.46,3.31,33.68,19.26,14.42,26.19,2.07,3.27,0.36,2.91,2.41,3.4,0.51,2.89
19810428,0.2,92.68,5.72,23.43,27.28,4.48,34.84,19.48,15.36,27.25,2.26,3.19,0.48,2.71,2.72,4.17,0.61,3.56
19810429,0.19,92.52,6.55,26.19,27.65,6.33,36.09,20.22,15.86,28.07,3.14,5.74,1.03,4.71,4.18,6.8,0.9,5.9
19810430,0.09,92.66,7.15,30.41,26.61,7.69,32.77,19.15,13.62,26.71,2.43,3.42,1.09,2.32,3.03,4.51,1.53,2.98
19810501,0.07,92.65,6.85,27.17,27.81,7.03,36.13,19.78,16.35,28.26,3.02,5.25,1.15,4.11,3.95,5.74,1.36,4.38
19810502,0.04,92.55,7.45,27.32,29.15,8.25,36.61,21.78,14.83,29.94,1.91,3.07,0.66,2.41,2.32,3.3,0.91,2.39
19810503,0.11,92.74,9.15,36.27,27.81,11.41,34.57,21.67,12.89,29.18,2.85,4.7,1.57,3.13,3.78,4.7,3.09,1.6
19810504,0.26,92.77,10.91,42.68,28.02,14.07,34.55,22.42,12.13,29.42,2.56,4.48,1.2,3.29,3.27,4.51,2.04,2.47
19810505,0.61,92.69,11.07,41.35,28.81,14.31,34.84,23.02,11.82,30.45,1.9,3.06,0.87,2.19,2.4,3.09,1.35,1.74
19810506,3.2,92.69,11.88,49.54,26.91,15.38,31.48,23.69,7.79,27.64,2.45,3.46,1.39,2.07,3.31,3.99,2.36,1.62
19810507,0.89,92.65,11.47,49.54,26.31,14.78,30.62,22.23,8.39,27.17,1.76,2.66,0.9,1.77,2.36,3.51,1.41,2.1
19810508,0.42,92.64,11.24,51.03,25.47,14.49,29.88,21.03,8.85,26.92,2.0,3.13,0.33,2.8,2.45,3.79,0.55,3.24
19810509,1.38,92.45,9.99,39.76,27.69,12.69,34.81,20.53,14.27,29.29,2.31,3.7,0.76,2.93,2.93,4.5,1.1,3.39
19810510,0.05,92.26,9.15,34.13,28.78,11.37,35.85,21.91,13.93,30.38,2.98,5.48,1.0,4.49,3.81,5.94,1.37,4.58
19810511,0.47,92.26,9.0,34.43,28.33,11.08,35.09,21.85,13.25,29.98,2.66,5.2,0.63,4.57,3.21,5.43,0.47,4.96
19810512,16.34,92.16,10.4,43.06,26.94,13.1,32.25,20.97,11.28,27.48,1.79,3.47,0.41,3.06,2.17,3.65,0.5,3.15
19810513,1.22,92.04,9.43,35.34,28.64,11.68,36.02,21.25,14.78,29.28,2.53,4.58,0.29,4.28,3.13,4.49,0.47,4.03
19810514,2.3,92.18,9.17,34.07,28.83,11.31,35.9,21.54,14.36,29.57,2.56,3.55,0.88,2.67,3.22,4.42,1.26,3.15
19810515,0.99,91.89,9.5,34.41,29.21,11.76,37.25,21.9,15.35,30.39,2.91,3.76,1.93,1.83,3.91,5.21,2.6,2.62
19810516,8.4,91.98,11.05,42.18,28.31,13.85,35.62,21.75,13.87,29.14,2.84,5.73,0.75,4.98,3.74,6.51,0.88,5.62
19810517,0.3,91.98,8.71,32.28,28.84,10.36,36.25,21.86,14.39,29.58,2.63,4.29,1.13,3.16,3.27,4.19,1.74,2.45
19810518,0.18,92.06,8.24,30.54,28.85,9.57,36.7,21.38,15.32,29.82,2.89,4.63,1.78,2.85,3.76,4.55,2.45,2.1
19810519,0.58,92.11,10.98,41.01,28.7,13.92,35.91,21.64,14.26,30.08,2.54,3.96,1.22,2.74,3.11,4.44,1.85,2.59
19810520,1.22,92.06,11.34,39.44,29.92,14.52,36.95,23.26,13.68,31.43,2.72,3.74,1.61,2.13,3.57,4.88,2.41,2.47
19810521,4.07,92.2,12.68,45.97,29.22,16.18,35.25,23.28,11.97,30.48,2.5,3.39,1.45,1.95,3.31,4.64,2.34,2.31
19810522,2.61,92.23,11.44,42.52,28.8,14.43,36.07,21.9,14.17,29.72,2.83,5.57,0.48,5.09,3.51,5.96,0.71,5.24
19810523,3.67,92.24,11.74,48.63,26.94,14.9,33.09,20.79,12.3,28.53,2.49,4.25,0.53,3.72,3.25,5.39,0.96,4.43
19810524,0.75,92.16,10.52,41.01,27.98,13.34,34.92,22.07,12.86,29.67,2.51,3.6,0.64,2.96,3.33,5.54,0.99,4.55
