DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
19810101,0.0,94.41,5.11,48.07,14.09,3.15,21.16,9.66,11.5,12.03,1.77,3.62,0.43,3.19,2.29,3.49,0.6,2.89
19810102,0.0,94.47,5.11,47.06,14.43,3.2,21.38,9.87,11.51,12.19,1.62,2.91,1.05,1.85,2.1,3.01,1.24,1.77
19810103,0.0,94.43,5.51,49.87,14.67,4.24,21.48,10.37,11.1,12.81,1.89,2.99,0.96,2.03,2.48,3.34,0.97,2.37
19810104,0.02,94.38,5.68,52.06,14.47,4.71,21.12,10.43,10.69,12.89,1.97,3.26,0.29,2.97,2.6,3.49,0.4,3.09
19810105,0.28,94.37,5.58,51.37,14.4,4.43,20.72,10.05,10.67,12.95,1.97,2.85,0.93,1.92,2.65,3.72,1.27,2.45
19810106,0.58,94.27,5.82,53.59,14.38,4.93,20.81,9.67,11.13,13.0,1.88,3.66,0.39,3.27,2.5,4.01,0.29,3.72
19810107,0.93,94.35,6.33,65.95,12.49,6.21,16.33,9.23,7.1,11.79,1.57,3.55,0.87,2.69,2.22,5.19,0.88,4.31
19810108,0.59,94.47,5.34,58.56,11.75,3.8,18.49,7.61,10.88,10.67,2.0,3.53,0.97,2.56,2.66,3.92,1.29,2.63
19810109,0.2,94.78,4.83,53.21,11.74,2.42,18.24,7.58,10.66,10.2,1.71,2.89,0.55,2.34,2.17,3.23,0.74,2.5
19810110,0.0,94.93,4.48,46.76,12.58,1.38,19.71,7.39,12.32,10.57,1.59,2.52,0.18,2.34,2.07,2.95,0.18,2.77
19810111,0.0,95.01,4.45,50.99,11.18,1.13,16.4,8.0,8.4,8.8,1.67,3.05,0.16,2.89,2.48,4.97,0.23,4.74
19810112,0.06,95.14,5.83,64.59,11.7,4.98,16.2,8.66,7.54,11.28,1.31,2.66,0.41,2.25,1.79,3.39,0.67,2.72
19810113,4.08,94.96,6.46,69.47,12.12,6.64,18.12,8.0,10.12,11.71,1.85,2.71,0.96,1.75,2.92,5.1,1.19,3.9
19810114,0.0,94.85,5.33,54.82,12.78,3.76,20.49,7.69,12.79,11.28,2.08,4.16,0.62,3.53,2.84,4.25,0.99,3.25
19810115,0.0,94.97,4.04,40.53,13.21,0.01,21.25,8.33,12.91,11.11,2.18,3.24,1.5,1.74,3.04,3.8,2.25,1.55
19810116,0.0,95.03,3.95,36.37,14.53,-0.36,23.34,8.5,14.84,12.08,1.94,3.03,0.41,2.62,2.73,3.68,0.52,3.16
19810117,0.62,94.96,4.27,35.78,15.98,0.68,24.27,11.46,12.81,13.03,1.82,2.99,0.23,2.76,2.5,3.76,0.29,3.48
19810118,0.53,94.67,4.57,40.65,15.0,1.55,21.96,10.98,10.99,12.95,1.8,3.01,0.45,2.56,2.55,4.29,0.41,3.88
19810119,0.25,94.52,5.02,46.26,14.43,3.0,20.25,10.49,9.76,13.18,1.73,3.03,0.28,2.75,2.28,3.44,0.47,2.97
19810120,0.07,94.64,5.05,46.72,14.38,3.06,21.82,9.59,12.23,12.79,2.22,3.78,0.63,3.15,3.0,4.06,0.76,3.3
19810121,0.0,94.62,5.17,47.34,14.53,3.4,20.57,10.37,10.2,12.47,1.74,2.7,0.64,2.06,2.25,3.25,0.7,2.55
19810122,0.01,94.43,5.38,49.18,14.54,3.96,20.53,10.54,10.0,13.28,1.95,2.53,1.36,1.17,2.48,3.58,1.59,1.99
19810123,0.2,94.42,5.46,50.5,14.36,4.15,20.16,10.08,10.09,12.39,1.8,2.75,0.2,2.55,2.46,4.44,0.22,4.22
19810124,9.29,94.62,6.45,70.3,11.86,6.34,16.17,9.97,6.2,11.01,3.04,5.2,1.7,3.5,4.58,6.32,2.24,4.08
19810125,10.49,94.83,7.43,78.73,12.3,8.53,17.39,9.42,7.98,11.62,1.9,2.71,1.0,1.71,2.81,4.47,1.25,3.22
19810126,0.01,94.99,5.46,52.76,13.77,3.83,21.32,8.3,13.02,12.41,2.06,2.72,0.4,2.32,2.85,3.83,0.5,3.34
19810127,0.0,94.89,4.65,44.9,13.78,1.78,21.5,8.92,12.58,12.22,2.54,4.86,1.53,3.34,3.52,5.38,2.09,3.28
19810128,0.0,94.83,5.03,47.67,14.05,2.93,22.07,8.5,13.58,12.6,2.21,4.47,0.88,3.6,3.06,5.06,1.36,3.69
19810129,0.0,94.47,5.84,51.43,15.12,5.04,22.17,10.26,11.9,13.73,2.03,4.31,0.67,3.64,2.62,4.76,0.88,3.88
19810130,0.01,94.36,6.46,56.04,15.32,6.54,20.87,11.25,9.63,14.05,1.8,2.93,0.98,1.95,2.32,3.22,1.03,2.19
19810131,0.45,94.53,6.23,57.91,14.28,5.94,20.59,9.65,10.94,13.56,2.34,3.21,1.21,2.0,3.31,4.56,1.8,2.77
19810201,0.38,94.64,6.23,56.68,14.64,5.98,20.71,10.88,9.83,13.89,1.96,2.57,1.1,1.47,2.73,4.55,1.57,2.98
19810202,0.02,94.67,5.47,52.74,13.74,4.07,21.03,9.17,11.87,12.88,2.35,4.28,1.17,3.11,3.17,4.67,1.67,3.0
19810203,0.01,94.74,5.06,49.88,13.4,3.03,21.17,8.11,13.06,12.58,2.11,3.78,1.02,2.76,2.86,4.36,1.57,2.79
19810204,0.0,94.62,5.06,46.26,14.57,3.07,22.73,8.63,14.1,13.35,2.15,4.63,0.35,4.28,2.83,5.14,0.69,4.45
19810205,0.0,94.67,5.43,42.88,16.86,4.03,24.71,11.45,13.25,14.89,2.33,5.01,0.83,4.18,3.03,5.56,1.1,4.46
19810206,0.32,94.76,6.08,44.3,18.13,5.69,26.77,11.79,14.98,16.78,3.23,7.06,1.24,5.81,4.67,8.29,1.88,6.41
19810207,0.23,94.51,6.14,46.07,17.63,5.81,25.41,12.76,12.65,16.57,3.1,4.99,1.33,3.67,4.49,5.64,1.66,3.98
19810208,0.0,94.39,5.22,42.16,16.46,3.4,23.63,12.19,11.44,14.92,1.99,3.97,0.64,3.34,2.54,4.16,0.94,3.23
19810209,0.0,94.47,4.28,36.69,15.56,0.76,22.61,10.03,12.58,13.75,2.48,4.39,0.4,4.0,3.14,4.72,0.4,4.32
19810210,0.14,94.37,4.37,39.26,14.79,0.93,22.38,9.85,12.53,13.66,1.83,4.21,0.29,3.92,2.3,4.36,0.35,4.01
19810211,0.08,94.21,5.12,50.04,13.47,3.02,21.29,7.07,14.22,12.91,2.27,4.36,0.58,3.78,2.97,4.6,0.89,3.7
19810212,0.0,94.21,4.63,40.25,15.29,1.82,22.38,10.26,12.12,13.85,1.81,3.72,0.69,3.03,2.15,3.5,0.64,2.86
19810213,0.0,94.27,4.9,41.85,15.58,2.61,23.25,8.91,14.33,14.55,1.83,2.95,0.46,2.49,2.41,3.34,0.65,2.69
19810214,0.0,94.28,5.11,40.63,16.68,3.18,24.52,10.38,14.14,15.37,2.23,4.13,0.92,3.21,2.94,4.6,1.04,3.56
19810215,0.0,94.17,4.89,35.55,18.08,2.48,26.49,12.26,14.23,16.27,2.81,5.95,0.77,5.19,3.83,6.78,0.81,5.97
19810216,0.04,94.3,4.75,33.27,18.71,2.1,27.71,13.16,14.55,17.16,3.31,6.82,1.1,5.72,4.86,8.21,1.16,7.04
19810217,0.01,94.32,4.33,31.85,17.93,0.8,26.07,13.25,12.81,16.2,2.58,4.53,0.42,4.11,3.61,4.88,0.69,4.19
19810218,0.0,94.23,4.57,35.57,17.02,1.51,24.41,11.99,12.42,15.04,1.77,3.68,0.51,3.17,2.31,3.84,0.72,3.12
19810219,0.0,94.38,4.6,34.44,17.64,1.67,26.27,11.49,14.78,16.25,2.16,3.86,1.11,2.75,2.81,4.04,1.3,2.75
19810220,0.0,94.37,4.68,33.49,18.37,1.92,26.84,12.89,13.95,16.67,2.15,4.04,0.67,3.36,2.81,4.27,0.5,3.77
19810221,0.0,94.3,4.47,32.05,18.33,1.28,26.71,13.08,13.62,16.57,2.3,4.4,0.2,4.2,2.98,4.58,0.4,4.18
19810222,0.0,94.27,4.43,31.43,18.49,1.13,26.82,12.78,14.03,16.67,2.17,4.18,0.22,3.96,2.72,4.13,0.18,3.95
19810223,0.0,94.43,4.51,30.25,19.43,1.42,27.36,13.14,14.23,17.51,2.14,3.7,1.06,2.64,2.64,3.91,1.1,2.81
19810224,0.0,94.41,4.86,30.47,20.52,2.48,28.94,13.9,15.04,18.67,2.66,6.09,0.74,5.34,3.44,6.84,0.97,5.87
19810225,0.0,94.36,5.22,32.08,20.83,3.49,29.54,14.59,14.95,19.6,3.13,6.48,0.52,5.96,4.28,7.37,0.51,6.87
19810226,0.0,94.23,4.9,30.18,20.76,2.54,29.05,16.1,12.95,19.17,2.69,5.38,1.06,4.32,3.72,6.27,1.03,5.24
19810227,0.0,94.24,5.02,31.64,20.4,2.83,27.79,15.83,11.96,19.38,2.7,5.51,0.37,5.14,3.82,6.11,0.54,5.57
19810228,0.13,94.25,5.6,33.54,21.23,4.46,29.37,15.18,14.19,20.54,3.08,6.38,1.38,5.0,4.33,7.34,1.67,5.67
19810301,0.57,94.33,5.56,34.98,20.44,4.36,28.53,14.69,13.83,20.04,3.28,5.81,1.62,4.19,4.82,6.94,2.09,4.85
19810302,0.33,94.28,5.02,34.12,19.17,2.81,27.01,13.87,13.14,18.68,3.56,6.35,1.69,4.66,5.18,7.32,2.83,4.49
19810303,0.0,94.5,4.28,29.0,19.27,0.66,27.9,12.46,15.44,18.11,2.02,4.35,0.7,3.65,2.43,4.23,0.69,3.54
