DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
19810101,0.0,93.37,5.55,50.78,14.33,4.16,20.9,9.93,10.97,12.05,1.8,3.58,0.51,3.07,2.15,3.39,0.78,2.61
19810102,0.04,93.42,6.04,54.48,14.56,5.3,21.3,10.18,11.12,12.55,1.78,3.26,0.87,2.39,2.21,3.14,0.79,2.35
19810103,0.0,93.39,6.56,59.73,14.4,6.51,20.79,9.61,11.19,13.06,1.85,2.64,1.2,1.44,2.34,2.91,1.94,0.97
19810104,1.28,93.33,6.54,60.53,14.13,6.52,19.2,10.53,8.68,12.6,1.51,2.53,0.5,2.03,1.84,2.62,0.78,1.84
19810105,0.29,93.33,6.12,59.49,13.38,5.56,19.34,8.68,10.66,11.93,1.76,2.57,0.36,2.21,2.24,3.39,0.42,2.96
19810106,0.2,93.24,6.12,61.21,12.94,5.53,18.86,8.51,10.35,12.02,1.94,2.78,0.7,2.08,2.58,4.0,0.98,3.03
19810107,2.88,93.29,6.73,69.54,12.44,6.91,16.38,9.39,6.99,11.94,1.56,2.68,0.56,2.12,2.12,4.46,0.81,3.65
19810108,1.96,93.39,5.95,62.79,12.15,5.09,18.13,8.43,9.7,10.96,1.61,3.07,0.7,2.38,1.98,3.15,0.95,2.2
19810109,2.76,93.71,5.21,57.32,11.58,3.33,17.48,7.41,10.07,9.76,1.53,2.75,0.06,2.69,1.77,2.47,0.04,2.43
19810110,0.0,93.85,4.99,51.78,12.48,2.7,19.51,7.0,12.51,10.35,1.51,2.49,0.27,2.22,1.87,2.62,0.24,2.38
19810111,0.02,93.94,5.13,54.63,12.1,3.01,18.06,8.7,9.36,10.11,1.49,2.37,0.44,1.93,2.17,3.58,0.7,2.88
19810112,0.02,94.08,6.73,73.98,11.65,7.05,15.7,9.44,6.26,11.26,1.38,2.41,0.53,1.88,1.95,3.39,0.85,2.55
19810113,0.1,93.89,6.93,73.82,12.08,7.31,17.89,9.26,8.63,11.35,1.52,3.25,0.42,2.83,1.99,3.08,0.44,2.64
19810114,0.0,93.76,6.54,61.93,13.86,6.45,20.77,9.14,11.64,12.58,1.72,3.8,0.59,3.21,2.17,3.62,0.4,3.23
19810115,0.0,93.86,5.08,45.53,14.74,2.84,22.47,9.73,12.74,12.44,1.85,3.6,0.91,2.69,2.44,3.63,1.14,2.49
19810116,0.0,93.97,4.89,40.84,15.86,2.29,23.09,10.58,12.5,12.8,1.59,3.12,0.38,2.74,1.97,2.88,0.58,2.3
19810117,0.0,93.89,5.08,40.67,16.5,2.89,23.8,12.44,11.36,13.5,1.59,2.89,0.7,2.19,1.91,3.22,0.5,2.72
19810118,0.01,93.6,4.98,43.13,15.23,2.62,22.25,10.2,12.05,12.93,1.66,3.29,0.7,2.6,2.05,3.58,0.81,2.76
19810119,0.61,93.47,5.17,48.08,14.11,3.22,19.02,10.19,8.84,12.2,1.61,3.17,0.41,2.77,1.93,3.17,0.54,2.62
19810120,0.0,93.6,5.08,47.41,14.07,2.97,20.7,9.13,11.57,12.08,1.71,3.08,0.23,2.85,1.97,2.73,0.21,2.52
19810121,0.0,93.57,5.28,48.71,14.26,3.5,20.97,9.46,11.51,12.27,1.81,3.25,0.85,2.4,2.21,3.4,1.0,2.4
19810122,0.0,93.39,5.52,52.95,13.61,4.12,19.71,8.8,10.91,12.17,2.09,3.2,1.03,2.17,2.61,3.27,1.5,1.77
19810123,0.03,93.37,5.57,51.63,14.14,4.26,20.21,9.19,11.02,12.41,1.85,3.24,0.38,2.85,2.34,3.5,0.54,2.96
19810124,1.54,93.64,6.2,63.68,12.59,5.67,19.89,9.16,10.74,11.85,2.63,4.42,0.45,3.97,3.75,5.47,0.64,4.83
19810125,3.95,93.81,6.9,74.7,11.82,7.3,17.95,8.33,9.63,11.77,1.81,3.89,0.94,2.94,2.28,5.53,1.24,4.29
19810126,0.0,93.91,5.68,53.89,13.87,4.3,21.02,8.91,12.11,12.34,1.84,3.42,0.59,2.82,2.38,3.37,0.66,2.72
19810127,0.02,93.81,5.3,49.47,14.11,3.47,21.24,9.41,11.83,12.42,2.04,4.05,0.79,3.25,2.64,4.37,0.9,3.47
19810128,0.06,93.74,4.94,46.09,14.1,2.54,21.76,8.72,13.04,12.48,1.63,3.1,0.65,2.46,2.11,3.39,0.67,2.73
19810129,0.0,93.43,5.31,48.16,14.47,3.55,21.17,9.78,11.4,13.02,1.8,3.37,0.14,3.23,2.15,3.47,0.25,3.21
19810130,0.0,93.33,6.36,56.94,14.66,6.06,20.55,9.65,10.91,14.0,1.86,3.16,0.36,2.8,2.32,3.3,0.43,2.87
19810131,0.07,93.5,6.41,58.76,14.32,6.25,20.22,9.8,10.41,13.95,2.02,3.17,0.23,2.93,2.87,4.94,0.43,4.52
19810201,0.14,93.57,7.17,67.33,13.95,7.77,20.23,9.18,11.05,13.8,2.15,4.13,0.17,3.96,2.73,4.9,0.16,4.74
19810202,0.34,93.58,6.36,60.35,13.8,5.9,21.03,9.8,11.23,12.89,2.16,4.65,0.1,4.55,2.83,4.97,0.12,4.85
19810203,1.35,93.65,5.38,51.48,13.69,3.76,20.85,9.51,11.34,12.48,1.9,4.47,0.35,4.11,2.47,4.61,0.37,4.24
19810204,0.0,93.56,5.21,48.29,14.18,3.31,21.9,8.19,13.71,12.93,1.61,3.58,0.14,3.44,1.86,3.56,0.3,3.25
19810205,0.0,93.64,5.56,48.22,15.2,4.18,22.98,9.16,13.81,13.71,1.98,4.25,0.23,4.03,2.34,4.46,0.47,4.0
19810206,0.0,93.69,6.14,49.09,16.48,5.57,24.54,10.75,13.79,15.2,2.33,4.74,0.63,4.11,3.17,5.29,0.55,4.74
