DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,24.37,91.38,5.12,53.79,12.01,2.41,18.3,7.94,10.36,10.3,1.86,3.4,0.71,2.7,2.41,3.66,0.88,2.78
198102,1.55,91.15,4.75,39.95,15.5,1.45,23.23,10.26,12.97,13.99,2.45,5.02,0.78,4.24,3.13,5.26,1.01,4.25
198103,28.19,91.07,5.69,36.15,19.65,3.78,26.82,13.95,12.86,19.55,2.63,4.82,0.94,3.87,3.4,5.11,1.37,3.74
198104,56.44,90.78,7.19,36.18,23.47,6.64,30.62,16.86,13.76,23.67,2.59,4.74,0.74,3.99,3.17,4.74,1.06,3.68
198105,138.26,90.54,11.55,49.78,25.99,14.31,31.87,20.41,11.45,27.08,2.36,4.0,0.95,3.06,2.92,4.12,1.39,2.73
198106,176.38,90.16,14.27,57.41,27.29,17.21,32.49,22.51,9.98,28.22,2.59,4.49,1.04,3.46,3.22,4.7,1.66,3.04
198107,400.39,90.2,18.8,86.26,24.77,22.13,27.97,22.04,5.93,25.12,2.5,4.53,0.95,3.58,3.3,4.95,1.67,3.28
198108,232.1,90.23,18.64,88.24,24.26,21.99,27.25,21.73,5.52,24.37,2.13,3.98,0.81,3.17,2.86,4.35,1.44,2.9
198109,104.17,90.76,16.65,85.8,22.94,20.19,26.28,20.26,6.02,22.82,1.98,3.51,0.79,2.72,2.69,3.81,1.28,2.53
198110,1.37,91.01,11.03,67.16,20.22,13.52,25.64,16.47,9.18,19.03,1.96,3.61,0.76,2.85,2.59,3.86,1.06,2.8
198111,20.98,91.2,7.22,54.13,16.8,6.69,23.03,12.76,10.27,14.97,1.81,3.08,0.7,2.38,2.37,3.3,0.88,2.42
198112,5.71,91.51,4.76,44.84,13.39,1.09,20.35,9.23,11.12,11.0,1.92,3.74,0.68,3.06,2.51,3.81,0.88,2.92
198113,1189.92,90.83,10.51,58.46,20.54,11.01,26.16,16.23,9.93,20.03,2.23,4.07,0.82,3.25,2.88,4.3,1.22,3.08
198201,65.17,91.39,4.52,42.41,13.62,0.67,20.69,9.21,11.48,11.57,2.08,3.88,0.85,3.02,2.74,4.1,1.1,3.0
198202,14.33,91.1,4.95,46.26,13.76,1.85,20.78,8.9,11.88,12.81,2.36,4.59,0.87,3.72,3.1,4.86,1.14,3.71
198203,29.67,91.01,6.15,42.71,18.51,4.89,25.59,13.07,12.52,18.3,2.5,4.83,0.82,4.01,3.15,4.99,1.04,3.95
198204,33.71,90.69,6.73,32.54,24.18,6.19,31.42,17.62,13.8,24.53,2.9,5.29,0.98,4.31,3.68,5.55,1.36,4.19
198205,46.63,90.66,8.08,32.27,27.39,8.87,34.22,20.78,13.44,28.19,2.72,5.07,0.84,4.22,3.32,5.11,1.14,3.97
198206,94.59,90.19,13.97,54.61,27.66,17.19,33.18,22.74,10.44,29.33,2.51,4.5,0.88,3.61,2.94,4.51,1.2,3.31
198207,218.21,90.17,16.68,69.26,26.62,20.17,30.87,22.99,7.88,27.67,2.54,4.41,1.06,3.35,3.19,4.57,1.65,2.93
198208,188.38,90.25,17.93,80.76,25.09,21.37,28.92,22.08,6.84,25.44,2.22,4.11,0.8,3.32,2.99,4.58,1.41,3.18
198209,128.62,90.64,15.88,79.91,23.28,19.27,27.27,20.18,7.09,23.18,1.96,3.68,0.73,2.96,2.58,3.89,1.2,2.69
198210,6.47,91.19,9.74,56.43,21.15,11.77,26.85,16.85,10.0,20.35,1.94,3.28,0.65,2.62,2.45,3.47,0.84,2.63
198211,8.42,91.27,6.8,51.04,16.92,6.32,23.29,12.82,10.47,15.59,1.92,3.8,0.58,3.22,2.46,3.9,0.69,3.21
198212,4.66,91.35,4.16,39.07,13.62,-0.3,20.91,9.23,11.68,11.44,1.97,3.99,0.67,3.32,2.53,4.13,0.88,3.26
198213,838.85,90.82,9.66,52.3,21.02,9.89,27.03,16.41,10.62,20.74,2.3,4.28,0.81,3.47,2.93,4.47,1.14,3.33
198301,0.14,91.43,3.06,32.53,11.9,-4.31,19.26,7.2,12.06,9.83,2.08,4.01,0.72,3.28,2.59,3.95,0.92,3.03
198302,0.12,91.16,2.74,23.7,14.41,-5.78,22.33,8.77,13.56,13.12,2.64,4.86,1.03,3.83,3.39,4.99,1.33,3.66
198303,6.33,90.9,3.33,20.4,20.21,-3.66,28.3,13.74,14.56,19.86,3.14,5.82,1.27,4.55,4.09,6.34,1.68,4.65
198304,10.14,90.74,5.24,27.13,23.46,2.06,30.7,17.04,13.66,24.08,3.17,5.9,1.26,4.64,4.07,6.29,1.77,4.52
198305,40.1,90.6,8.51,35.11,26.97,9.49,33.45,20.5,12.95,28.42,2.61,4.65,0.92,3.72,3.07,4.56,1.28,3.28
198306,109.92,90.29,11.2,41.03,29.21,13.14,35.19,23.35,11.84,30.61,2.92,5.03,1.26,3.76,3.6,5.18,1.86,3.32
198307,199.47,90.3,17.38,71.76,26.73,20.87,30.89,23.15,7.74,27.93,2.18,3.99,0.67,3.32,2.66,4.04,1.11,2.93
198308,95.36,90.42,17.69,78.02,25.51,21.22,29.58,22.19,7.39,26.28,2.4,4.45,0.85,3.6,3.15,4.73,1.62,3.1
198309,56.53,90.64,16.06,75.76,24.43,19.67,28.66,21.2,7.46,24.95,2.27,4.07,0.9,3.17,3.05,4.49,1.56,2.92
198310,50.92,90.94,11.27,61.13,21.8,13.3,27.14,17.94,9.2,21.49,1.75,3.17,0.56,2.61,2.27,3.31,0.89,2.43
198311,0.0,91.4,5.94,42.2,17.83,4.36,24.74,13.31,11.43,16.21,1.93,3.53,0.7,2.83,2.42,3.42,0.83,2.59
198312,6.55,91.37,3.61,34.51,13.64,-2.34,21.03,9.25,11.77,11.25,1.99,3.93,0.71,3.22,2.53,3.99,0.88,3.11
198313,575.58,90.85,8.88,45.44,21.37,7.42,27.63,16.51,11.12,21.2,2.42,4.44,0.9,3.54,3.07,4.6,1.31,3.29
198401,7.28,91.18,3.0,31.25,12.12,-4.9,19.9,7.37,12.53,10.01,2.35,4.69,0.86,3.83,3.05,4.91,1.1,3.81
198402,19.12,91.14,3.19,28.06,14.53,-4.44,22.8,8.84,13.96,13.07,2.65,4.82,1.22,3.6,3.46,5.03,1.74,3.29
198403,6.19,90.87,3.46,19.38,21.52,-2.86,29.88,15.04,14.84,20.68,2.78,5.26,0.82,4.44,3.43,5.28,1.06,4.22
198404,15.23,90.61,4.63,19.76,26.2,0.77,34.03,18.98,15.05,26.69,3.21,5.81,1.06,4.74,4.05,6.18,1.43,4.75
198405,44.3,90.33,9.45,38.33,27.41,10.06,34.0,21.25,12.75,28.67,2.91,4.89,1.12,3.77,3.54,4.83,1.81,3.02
198406,200.0,90.04,16.49,69.94,26.27,19.94,30.45,22.79,7.66,27.37,2.37,4.25,0.75,3.5,2.96,4.45,1.28,3.17
198407,226.02,90.23,17.62,82.62,24.44,21.09,27.83,21.61,6.21,25.02,2.2,3.94,0.84,3.1,2.84,4.31,1.48,2.83
198408,221.64,90.26,17.73,82.34,24.6,21.19,28.3,21.62,6.68,24.82,2.31,4.17,0.84,3.33,3.13,4.61,1.52,3.09
198409,184.68,90.67,15.67,84.74,22.12,19.09,25.74,19.39,6.35,21.93,2.18,3.86,0.83,3.03,2.92,4.23,1.36,2.87
198410,14.17,90.99,11.53,66.68,20.9,14.0,26.02,17.21,8.82,19.9,1.84,3.27,0.61,2.67,2.35,3.48,0.76,2.72
198411,0.0,91.37,5.63,43.57,16.53,3.81,23.28,12.25,11.03,14.27,1.91,3.34,0.68,2.65,2.45,3.48,0.78,2.69
198412,1.79,91.14,4.09,37.67,13.7,-0.82,21.08,9.25,11.83,11.13,1.99,3.87,0.71,3.17,2.58,4.02,0.84,3.18
198413,940.44,90.73,9.39,50.44,20.88,8.12,26.95,16.32,10.63,20.31,2.39,4.34,0.86,3.48,3.06,4.56,1.26,3.3
198501,12.43,91.32,4.06,40.47,12.76,-0.98,19.94,8.21,11.73,10.95,2.22,4.11,0.88,3.23,2.9,4.39,1.19,3.2
198502,1.33,90.74,2.58,22.55,14.84,-6.44,23.09,9.1,13.99,13.06,2.43,4.76,0.87,3.89,3.0,4.75,0.97,3.77
198503,1.68,90.78,3.03,16.43,21.96,-4.84,30.39,14.96,15.43,20.98,2.93,5.48,0.99,4.49,3.72,5.8,1.2,4.6
198504,2.03,90.5,5.01,21.57,26.24,1.72,34.03,19.2,14.83,26.94,3.36,6.09,1.26,4.83,4.24,6.4,1.72,4.68
198505,35.88,90.41,8.06,32.0,27.57,8.29,34.22,20.89,13.34,28.79,2.64,4.61,0.87,3.74,3.18,4.6,1.26,3.34
198506,57.94,90.0,12.78,46.05,29.09,15.58,34.81,23.67,11.14,31.01,2.76,4.81,1.09,3.72,3.23,4.74,1.61,3.13
198507,369.79,90.33,16.82,78.79,24.51,20.36,28.19,21.49,6.7,25.35,2.43,4.36,0.84,3.52,3.07,4.64,1.51,3.14
198508,201.36,90.28,18.32,83.99,24.8,21.72,28.43,21.89,6.55,25.14,2.1,3.87,0.71,3.17,2.72,4.11,1.28,2.83
198509,210.08,90.65,16.74,87.32,22.7,20.27,25.78,20.3,5.47,22.69,1.88,3.43,0.73,2.7,2.52,3.69,1.17,2.53
198510,99.77,91.05,13.33,82.21,19.99,16.55,23.73,17.11,6.61,19.48,1.56,2.88,0.48,2.4,2.04,3.16,0.67,2.49
198511,0.0,91.24,8.46,68.97,15.59,9.38,21.04,12.08,8.96,13.77,1.74,3.13,0.59,2.54,2.21,3.24,0.69,2.55
198512,7.02,91.33,6.25,59.14,13.44,5.18,19.6,9.64,9.97,11.31,1.84,3.58,0.61,2.97,2.42,3.75,0.83,2.92
198513,999.3,90.72,9.67,53.51,21.15,8.99,26.95,16.58,10.37,20.82,2.32,4.25,0.82,3.43,2.94,4.44,1.17,3.26
198601,0.71,91.33,4.4,44.27,12.55,0.22,19.7,8.17,11.54,10.25,2.21,4.2,0.83,3.37,2.91,4.38,1.09,3.29
198602,12.98,91.17,4.7,40.53,14.98,1.06,22.31,10.05,12.26,13.7,2.61,4.72,1.04,3.68,3.43,5.07,1.49,3.58
198603,2.71,90.9,4.41,27.51,20.18,0.34,28.13,13.91,14.22,19.7,3.08,5.54,1.18,4.36,3.99,5.99,1.56,4.43
198604,18.08,90.69,5.32,24.41,24.9,2.61,32.36,17.84,14.53,25.43,2.79,4.92,0.89,4.03,3.45,5.21,1.17,4.04
198605,48.63,90.55,7.77,33.8,26.03,7.86,32.79,19.2,13.59,27.16,2.73,4.73,0.97,3.76,3.27,4.72,1.4,3.31
198606,160.75,90.12,12.7,48.44,28.23,14.92,33.96,22.93,11.04,29.94,2.66,4.46,0.96,3.5,3.2,4.53,1.59,2.94
198607,293.83,90.29,17.63,83.4,24.27,21.11,27.61,21.48,6.13,24.67,2.54,4.51,0.97,3.54,3.38,5.01,1.79,3.22
198608,149.44,90.38,17.46,80.96,24.64,20.96,28.57,21.37,7.2,25.01,2.16,3.93,0.8,3.13,2.83,4.19,1.39,2.8
198609,65.89,90.76,15.18,77.98,23.01,18.75,27.22,19.74,7.47,23.34,2.22,3.89,0.98,2.91,2.98,4.3,1.7,2.6
198610,47.68,91.14,9.76,58.81,20.23,11.22,25.9,16.05,9.85,19.38,1.8,3.34,0.44,2.9,2.22,3.4,0.62,2.78
198611,0.73,91.3,5.45,40.17,17.32,3.23,24.28,12.7,11.58,15.26,1.87,3.52,0.49,3.04,2.34,3.54,0.59,2.95
198612,30.26,91.5,4.45,41.28,13.86,0.28,20.92,9.53,11.39,11.71,1.99,3.62,0.85,2.77,2.55,3.72,1.13,2.59
198613,831.68,90.84,9.13,50.23,20.87,8.59,26.99,16.11,10.89,20.48,2.39,4.28,0.87,3.41,3.04,4.5,1.29,3.21
198701,3.78,91.49,3.69,35.47,13.19,-2.19,20.85,8.3,12.56,11.06,2.09,3.89,0.72,3.17,2.68,3.98,0.91,3.07
198702,3.22,91.36,3.68,28.5,16.56,-1.95,24.3,11.05,13.25,15.31,2.54,4.76,1.02,3.73,3.24,4.91,1.36,3.55
198703,15.4,90.98,4.45,27.79,20.06,0.61,27.59,13.92,13.68,19.61,2.62,4.94,0.81,4.13,3.23,4.92,1.07,3.85
198704,18.28,90.79,4.74,22.27,24.98,0.28,32.67,17.93,14.74,25.46,3.02,5.4,1.18,4.22,3.78,5.58,1.6,3.98
