Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
-1.7774, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-1.1296, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
2.86939, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
6.09241, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
8.53333, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.76493, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
1.03291, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.53338, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-1.0793, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.77266, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
2.5989, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
2.55902, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
2.94201, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.87516, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.6498, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
5.5391, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
4.27606, 2020-2039, bcc_csm1_1, May Anomaly, NPL
2.34907, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-3.9593, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.77297, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
-0.8444, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
1.16793, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-3.6645, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.3948, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-1.4137, 2020-2039, ccsm4, Jan Anomaly, NPL
2.90143, 2020-2039, ccsm4, Feb Anomaly, NPL
-2.3421, 2020-2039, ccsm4, Mar Anomaly, NPL
1.69578, 2020-2039, ccsm4, Apr Anomaly, NPL
-0.3236, 2020-2039, ccsm4, May Anomaly, NPL
-0.5293, 2020-2039, ccsm4, Jun Anomaly, NPL
0.52217, 2020-2039, ccsm4, Jul Anomaly, NPL
0.11113, 2020-2039, ccsm4, Aug Anomaly, NPL
0.85677, 2020-2039, ccsm4, Sep Anomaly, NPL
0.67847, 2020-2039, ccsm4, Oct Anomaly, NPL
3.05008, 2020-2039, ccsm4, Nov Anomaly, NPL
1.61651, 2020-2039, ccsm4, Dec Anomaly, NPL
4.43677, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
2.75642, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
4.87511, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
4.20343, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.16792, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.602, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-1.2341, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.02182, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-0.736, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
-1.7768, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-3.5864, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-2.5694, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
4.74098, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-3.7412, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
4.58018, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
6.69557, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
6.08728, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.78508, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
1.34242, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-4.6096, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
-7.8446, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-4.2613, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-3.7061, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
5.89348, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
3.48894, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
2.78808, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-1.3789, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-1.0965, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
2.56105, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.18671, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-1.9064, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-0.2665, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.4131, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.2884, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
1.91196, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
11.7021, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-2.9788, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
1.72467, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
2.20523, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
2.62451, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-1.6479, 2020-2039, gfdl_esm2g, May Anomaly, NPL
1.58115, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
-3.5473, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.71602, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
1.13316, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
1.46963, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
2.7796, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.59123, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
-7.4705, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
-5.2514, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.44157, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
