Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-218.01, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
27.7862, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
217.42, 2060-2079, bnu_esm, Annual Anomaly, NPL
-243.39, 2060-2079, canesm2, Annual Anomaly, NPL
-233.5, 2060-2079, ccsm4, Annual Anomaly, NPL
-166.0, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-251.92, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
93.641, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
225.776, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
337.891, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
466.775, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
155.417, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
123.172, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-150.11, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
122.057, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-164.03, 2060-2079, miroc5, Annual Anomaly, NPL
34.4979, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
235.171, 2060-2079, miroc_esm, Annual Anomaly, NPL
127.016, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-381.77, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
177.244, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-161.29, 2060-2079, noresm1_m, Annual Anomaly, NPL
-411.18, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
42.6618, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
1130.59, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
