Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
11.912013, 2060-2079, bcc_csm1_1, Jan Average, Nepal, NPL
14.659296, 2060-2079, bcc_csm1_1, Feb Average, Nepal, NPL
20.735914, 2060-2079, bcc_csm1_1, Mar Average, Nepal, NPL
26.986868, 2060-2079, bcc_csm1_1, Apr Average, Nepal, NPL
32.342735, 2060-2079, bcc_csm1_1, May Average, Nepal, NPL
34.85312, 2060-2079, bcc_csm1_1, Jun Average, Nepal, NPL
29.819956, 2060-2079, bcc_csm1_1, Jul Average, Nepal, NPL
28.116045, 2060-2079, bcc_csm1_1, Aug Average, Nepal, NPL
29.08165, 2060-2079, bcc_csm1_1, Sep Average, Nepal, NPL
25.707169, 2060-2079, bcc_csm1_1, Oct Average, Nepal, NPL
18.715467, 2060-2079, bcc_csm1_1, Nov Average, Nepal, NPL
12.792518, 2060-2079, bcc_csm1_1, Dec Average, Nepal, NPL
18.665503, 2060-2079, bcc_csm1_1_m, Jan Average, Nepal, NPL
21.299833, 2060-2079, bcc_csm1_1_m, Feb Average, Nepal, NPL
27.478989, 2060-2079, bcc_csm1_1_m, Mar Average, Nepal, NPL
33.860477, 2060-2079, bcc_csm1_1_m, Apr Average, Nepal, NPL
37.660645, 2060-2079, bcc_csm1_1_m, May Average, Nepal, NPL
36.315727, 2060-2079, bcc_csm1_1_m, Jun Average, Nepal, NPL
32.373226, 2060-2079, bcc_csm1_1_m, Jul Average, Nepal, NPL
31.350948, 2060-2079, bcc_csm1_1_m, Aug Average, Nepal, NPL
30.917923, 2060-2079, bcc_csm1_1_m, Sep Average, Nepal, NPL
28.658304, 2060-2079, bcc_csm1_1_m, Oct Average, Nepal, NPL
24.262259, 2060-2079, bcc_csm1_1_m, Nov Average, Nepal, NPL
20.495834, 2060-2079, bcc_csm1_1_m, Dec Average, Nepal, NPL
20.218164, 2060-2079, ccsm4, Jan Average, Nepal, NPL
22.403063, 2060-2079, ccsm4, Feb Average, Nepal, NPL
28.398975, 2060-2079, ccsm4, Mar Average, Nepal, NPL
34.90942, 2060-2079, ccsm4, Apr Average, Nepal, NPL
39.37687, 2060-2079, ccsm4, May Average, Nepal, NPL
35.2351, 2060-2079, ccsm4, Jun Average, Nepal, NPL
29.634228, 2060-2079, ccsm4, Jul Average, Nepal, NPL
29.48514, 2060-2079, ccsm4, Aug Average, Nepal, NPL
28.924538, 2060-2079, ccsm4, Sep Average, Nepal, NPL
27.177666, 2060-2079, ccsm4, Oct Average, Nepal, NPL
24.333961, 2060-2079, ccsm4, Nov Average, Nepal, NPL
21.374619, 2060-2079, ccsm4, Dec Average, Nepal, NPL
20.66906, 2060-2079, cesm1_cam5, Jan Average, Nepal, NPL
23.502611, 2060-2079, cesm1_cam5, Feb Average, Nepal, NPL
30.064095, 2060-2079, cesm1_cam5, Mar Average, Nepal, NPL
34.744736, 2060-2079, cesm1_cam5, Apr Average, Nepal, NPL
34.444283, 2060-2079, cesm1_cam5, May Average, Nepal, NPL
33.244358, 2060-2079, cesm1_cam5, Jun Average, Nepal, NPL
29.374508, 2060-2079, cesm1_cam5, Jul Average, Nepal, NPL
28.771019, 2060-2079, cesm1_cam5, Aug Average, Nepal, NPL
28.189978, 2060-2079, cesm1_cam5, Sep Average, Nepal, NPL
27.354403, 2060-2079, cesm1_cam5, Oct Average, Nepal, NPL
24.739082, 2060-2079, cesm1_cam5, Nov Average, Nepal, NPL
21.750395, 2060-2079, cesm1_cam5, Dec Average, Nepal, NPL
16.714903, 2060-2079, csiro_mk3_6_0, Jan Average, Nepal, NPL
19.21889, 2060-2079, csiro_mk3_6_0, Feb Average, Nepal, NPL
