Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
3.4509935, 2080-2099, bcc_csm1_1, Jan Anomaly, Nepal, NPL
2.7959037, 2080-2099, bcc_csm1_1, Feb Anomaly, Nepal, NPL
2.9221692, 2080-2099, bcc_csm1_1, Mar Anomaly, Nepal, NPL
3.6818385, 2080-2099, bcc_csm1_1, Apr Anomaly, Nepal, NPL
2.5959232, 2080-2099, bcc_csm1_1, May Anomaly, Nepal, NPL
1.4574592, 2080-2099, bcc_csm1_1, Jun Anomaly, Nepal, NPL
2.3874047, 2080-2099, bcc_csm1_1, Jul Anomaly, Nepal, NPL
1.1180229, 2080-2099, bcc_csm1_1, Aug Anomaly, Nepal, NPL
2.3652656, 2080-2099, bcc_csm1_1, Sep Anomaly, Nepal, NPL
2.9016335, 2080-2099, bcc_csm1_1, Oct Anomaly, Nepal, NPL
2.0185642, 2080-2099, bcc_csm1_1, Nov Anomaly, Nepal, NPL
2.5143147, 2080-2099, bcc_csm1_1, Dec Anomaly, Nepal, NPL
2.3815963, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
2.0241878, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
3.713275, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
3.869345, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
3.2048995, 2080-2099, bcc_csm1_1_m, May Anomaly, Nepal, NPL
2.56712, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
2.4504802, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
2.214987, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
1.9476869, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.9318446, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
2.5097976, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.7484453, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
2.262109, 2080-2099, ccsm4, Jan Anomaly, Nepal, NPL
2.3042338, 2080-2099, ccsm4, Feb Anomaly, Nepal, NPL
3.702014, 2080-2099, ccsm4, Mar Anomaly, Nepal, NPL
2.639304, 2080-2099, ccsm4, Apr Anomaly, Nepal, NPL
3.0802581, 2080-2099, ccsm4, May Anomaly, Nepal, NPL
4.3809266, 2080-2099, ccsm4, Jun Anomaly, Nepal, NPL
2.4160514, 2080-2099, ccsm4, Jul Anomaly, Nepal, NPL
2.2776363, 2080-2099, ccsm4, Aug Anomaly, Nepal, NPL
2.3232663, 2080-2099, ccsm4, Sep Anomaly, Nepal, NPL
2.393439, 2080-2099, ccsm4, Oct Anomaly, Nepal, NPL
2.2777498, 2080-2099, ccsm4, Nov Anomaly, Nepal, NPL
2.6242735, 2080-2099, ccsm4, Dec Anomaly, Nepal, NPL
3.3479774, 2080-2099, cesm1_cam5, Jan Anomaly, Nepal, NPL
4.0543594, 2080-2099, cesm1_cam5, Feb Anomaly, Nepal, NPL
3.4050522, 2080-2099, cesm1_cam5, Mar Anomaly, Nepal, NPL
2.0505555, 2080-2099, cesm1_cam5, Apr Anomaly, Nepal, NPL
1.4413607, 2080-2099, cesm1_cam5, May Anomaly, Nepal, NPL
3.4641154, 2080-2099, cesm1_cam5, Jun Anomaly, Nepal, NPL
3.3694816, 2080-2099, cesm1_cam5, Jul Anomaly, Nepal, NPL
2.6067002, 2080-2099, cesm1_cam5, Aug Anomaly, Nepal, NPL
3.058487, 2080-2099, cesm1_cam5, Sep Anomaly, Nepal, NPL
3.2662756, 2080-2099, cesm1_cam5, Oct Anomaly, Nepal, NPL
3.0289533, 2080-2099, cesm1_cam5, Nov Anomaly, Nepal, NPL
3.4370294, 2080-2099, cesm1_cam5, Dec Anomaly, Nepal, NPL
3.5198553, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
3.874596, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
3.05861, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
3.275842, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
3.0809524, 2080-2099, csiro_mk3_6_0, May Anomaly, Nepal, NPL
3.7210076, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
3.6228757, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
2.472039, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
1.4227664, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
1.590291, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
2.9767642, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
3.4059207, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
2.4778643, 2080-2099, fio_esm, Jan Anomaly, Nepal, NPL
2.1930091, 2080-2099, fio_esm, Feb Anomaly, Nepal, NPL
1.7931818, 2080-2099, fio_esm, Mar Anomaly, Nepal, NPL
1.4720153, 2080-2099, fio_esm, Apr Anomaly, Nepal, NPL
1.436681, 2080-2099, fio_esm, May Anomaly, Nepal, NPL
2.435346, 2080-2099, fio_esm, Jun Anomaly, Nepal, NPL
2.8014865, 2080-2099, fio_esm, Jul Anomaly, Nepal, NPL
2.2379038, 2080-2099, fio_esm, Aug Anomaly, Nepal, NPL
2.8572874, 2080-2099, fio_esm, Sep Anomaly, Nepal, NPL
1.552677, 2080-2099, fio_esm, Oct Anomaly, Nepal, NPL
0.96029216, 2080-2099, fio_esm, Nov Anomaly, Nepal, NPL
1.6042538, 2080-2099, fio_esm, Dec Anomaly, Nepal, NPL
4.4939046, 2080-2099, gfdl_cm3, Jan Anomaly, Nepal, NPL
4.3703227, 2080-2099, gfdl_cm3, Feb Anomaly, Nepal, NPL
3.4817326, 2080-2099, gfdl_cm3, Mar Anomaly, Nepal, NPL
3.6933675, 2080-2099, gfdl_cm3, Apr Anomaly, Nepal, NPL
4.0627117, 2080-2099, gfdl_cm3, May Anomaly, Nepal, NPL
2.8580878, 2080-2099, gfdl_cm3, Jun Anomaly, Nepal, NPL
2.3976548, 2080-2099, gfdl_cm3, Jul Anomaly, Nepal, NPL
3.4951885, 2080-2099, gfdl_cm3, Aug Anomaly, Nepal, NPL
3.643058, 2080-2099, gfdl_cm3, Sep Anomaly, Nepal, NPL
3.5649028, 2080-2099, gfdl_cm3, Oct Anomaly, Nepal, NPL
3.7665524, 2080-2099, gfdl_cm3, Nov Anomaly, Nepal, NPL
4.8372936, 2080-2099, gfdl_cm3, Dec Anomaly, Nepal, NPL
2.1249995, 2080-2099, gfdl_esm2m, Jan Anomaly, Nepal, NPL
1.7101332, 2080-2099, gfdl_esm2m, Feb Anomaly, Nepal, NPL
2.7575424, 2080-2099, gfdl_esm2m, Mar Anomaly, Nepal, NPL
2.7871659, 2080-2099, gfdl_esm2m, Apr Anomaly, Nepal, NPL
3.498259, 2080-2099, gfdl_esm2m, May Anomaly, Nepal, NPL
3.1912415, 2080-2099, gfdl_esm2m, Jun Anomaly, Nepal, NPL
2.4046905, 2080-2099, gfdl_esm2m, Jul Anomaly, Nepal, NPL
2.5874279, 2080-2099, gfdl_esm2m, Aug Anomaly, Nepal, NPL
2.2411904, 2080-2099, gfdl_esm2m, Sep Anomaly, Nepal, NPL
2.6116014, 2080-2099, gfdl_esm2m, Oct Anomaly, Nepal, NPL
2.6365266, 2080-2099, gfdl_esm2m, Nov Anomaly, Nepal, NPL
2.5740163, 2080-2099, gfdl_esm2m, Dec Anomaly, Nepal, NPL
1.9587302, 2080-2099, giss_e2_h, Jan Anomaly, Nepal, NPL
2.4407842, 2080-2099, giss_e2_h, Feb Anomaly, Nepal, NPL
2.4082878, 2080-2099, giss_e2_h, Mar Anomaly, Nepal, NPL
2.2784288, 2080-2099, giss_e2_h, Apr Anomaly, Nepal, NPL
2.7695367, 2080-2099, giss_e2_h, May Anomaly, Nepal, NPL
2.3318932, 2080-2099, giss_e2_h, Jun Anomaly, Nepal, NPL
1.9891717, 2080-2099, giss_e2_h, Jul Anomaly, Nepal, NPL
1.1342428, 2080-2099, giss_e2_h, Aug Anomaly, Nepal, NPL
2.5881438, 2080-2099, giss_e2_h, Sep Anomaly, Nepal, NPL
2.456412, 2080-2099, giss_e2_h, Oct Anomaly, Nepal, NPL
2.1141033, 2080-2099, giss_e2_h, Nov Anomaly, Nepal, NPL
2.570925, 2080-2099, giss_e2_h, Dec Anomaly, Nepal, NPL
2.8215916, 2080-2099, giss_e2_r, Jan Anomaly, Nepal, NPL
3.3798234, 2080-2099, giss_e2_r, Feb Anomaly, Nepal, NPL
3.0989363, 2080-2099, giss_e2_r, Mar Anomaly, Nepal, NPL
3.1295104, 2080-2099, giss_e2_r, Apr Anomaly, Nepal, NPL
2.2539723, 2080-2099, giss_e2_r, May Anomaly, Nepal, NPL
