Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
53.636818, 2020-2039, bcc_csm1_1, Jan Average, Nepal, NPL
47.891163, 2020-2039, bcc_csm1_1, Feb Average, Nepal, NPL
23.625753, 2020-2039, bcc_csm1_1, Mar Average, Nepal, NPL
20.426975, 2020-2039, bcc_csm1_1, Apr Average, Nepal, NPL
10.695313, 2020-2039, bcc_csm1_1, May Average, Nepal, NPL
49.158783, 2020-2039, bcc_csm1_1, Jun Average, Nepal, NPL
287.96616, 2020-2039, bcc_csm1_1, Jul Average, Nepal, NPL
180.07635, 2020-2039, bcc_csm1_1, Aug Average, Nepal, NPL
84.11402, 2020-2039, bcc_csm1_1, Sep Average, Nepal, NPL
47.390175, 2020-2039, bcc_csm1_1, Oct Average, Nepal, NPL
71.353905, 2020-2039, bcc_csm1_1, Nov Average, Nepal, NPL
96.70421, 2020-2039, bcc_csm1_1, Dec Average, Nepal, NPL
77.98697, 2020-2039, bcc_csm1_1_m, Jan Average, Nepal, NPL
60.011562, 2020-2039, bcc_csm1_1_m, Feb Average, Nepal, NPL
31.56618, 2020-2039, bcc_csm1_1_m, Mar Average, Nepal, NPL
23.655888, 2020-2039, bcc_csm1_1_m, Apr Average, Nepal, NPL
34.489017, 2020-2039, bcc_csm1_1_m, May Average, Nepal, NPL
96.986694, 2020-2039, bcc_csm1_1_m, Jun Average, Nepal, NPL
249.24269, 2020-2039, bcc_csm1_1_m, Jul Average, Nepal, NPL
207.03639, 2020-2039, bcc_csm1_1_m, Aug Average, Nepal, NPL
152.94093, 2020-2039, bcc_csm1_1_m, Sep Average, Nepal, NPL
58.576065, 2020-2039, bcc_csm1_1_m, Oct Average, Nepal, NPL
47.69808, 2020-2039, bcc_csm1_1_m, Nov Average, Nepal, NPL
68.70066, 2020-2039, bcc_csm1_1_m, Dec Average, Nepal, NPL
69.844124, 2020-2039, ccsm4, Jan Average, Nepal, NPL
31.383137, 2020-2039, ccsm4, Feb Average, Nepal, NPL
34.779987, 2020-2039, ccsm4, Mar Average, Nepal, NPL
15.66949, 2020-2039, ccsm4, Apr Average, Nepal, NPL
46.028984, 2020-2039, ccsm4, May Average, Nepal, NPL
346.20593, 2020-2039, ccsm4, Jun Average, Nepal, NPL
536.999, 2020-2039, ccsm4, Jul Average, Nepal, NPL
458.1151, 2020-2039, ccsm4, Aug Average, Nepal, NPL
311.94125, 2020-2039, ccsm4, Sep Average, Nepal, NPL
104.56814, 2020-2039, ccsm4, Oct Average, Nepal, NPL
38.678654, 2020-2039, ccsm4, Nov Average, Nepal, NPL
50.65388, 2020-2039, ccsm4, Dec Average, Nepal, NPL
19.766499, 2020-2039, cesm1_cam5, Jan Average, Nepal, NPL
15.659382, 2020-2039, cesm1_cam5, Feb Average, Nepal, NPL
17.043186, 2020-2039, cesm1_cam5, Mar Average, Nepal, NPL
30.73659, 2020-2039, cesm1_cam5, Apr Average, Nepal, NPL
112.46569, 2020-2039, cesm1_cam5, May Average, Nepal, NPL
386.3229, 2020-2039, cesm1_cam5, Jun Average, Nepal, NPL
724.1487, 2020-2039, cesm1_cam5, Jul Average, Nepal, NPL
522.2837, 2020-2039, cesm1_cam5, Aug Average, Nepal, NPL
327.06607, 2020-2039, cesm1_cam5, Sep Average, Nepal, NPL
109.23683, 2020-2039, cesm1_cam5, Oct Average, Nepal, NPL
18.726374, 2020-2039, cesm1_cam5, Nov Average, Nepal, NPL
19.390903, 2020-2039, cesm1_cam5, Dec Average, Nepal, NPL
21.259756, 2020-2039, csiro_mk3_6_0, Jan Average, Nepal, NPL
13.6445465, 2020-2039, csiro_mk3_6_0, Feb Average, Nepal, NPL
13.9884205, 2020-2039, csiro_mk3_6_0, Mar Average, Nepal, NPL
5.8987594, 2020-2039, csiro_mk3_6_0, Apr Average, Nepal, NPL
10.92249, 2020-2039, csiro_mk3_6_0, May Average, Nepal, NPL
13.434354, 2020-2039, csiro_mk3_6_0, Jun Average, Nepal, NPL
122.44108, 2020-2039, csiro_mk3_6_0, Jul Average, Nepal, NPL
124.59565, 2020-2039, csiro_mk3_6_0, Aug Average, Nepal, NPL
93.455124, 2020-2039, csiro_mk3_6_0, Sep Average, Nepal, NPL
43.24964, 2020-2039, csiro_mk3_6_0, Oct Average, Nepal, NPL
14.919127, 2020-2039, csiro_mk3_6_0, Nov Average, Nepal, NPL
8.558687, 2020-2039, csiro_mk3_6_0, Dec Average, Nepal, NPL
44.740253, 2020-2039, fio_esm, Jan Average, Nepal, NPL
40.89835, 2020-2039, fio_esm, Feb Average, Nepal, NPL
35.732777, 2020-2039, fio_esm, Mar Average, Nepal, NPL
31.74801, 2020-2039, fio_esm, Apr Average, Nepal, NPL
