Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-5.669976, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
14.495352, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
-1.733912, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
-2.8093128, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
11.617148, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
4.4739156, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
20.924692, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
44.08036, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
31.8237, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
14.915375, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
45.01765, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
19.282255, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
-8.200596, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
7.9127436, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
-19.079805, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
-13.626274, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
0.77115566, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
-36.240658, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
-17.24632, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
11.609785, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
28.75464, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
-10.211272, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.1166891, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
-32.56589, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
6.786347, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
13.682704, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
-22.65671, 2040-2059, ccsm4, Mar Anomaly, Nepal, NPL
0.9320809, 2040-2059, ccsm4, Apr Anomaly, Nepal, NPL
1.8664325, 2040-2059, ccsm4, May Anomaly, Nepal, NPL
-26.024252, 2040-2059, ccsm4, Jun Anomaly, Nepal, NPL
10.184389, 2040-2059, ccsm4, Jul Anomaly, Nepal, NPL
30.860464, 2040-2059, ccsm4, Aug Anomaly, Nepal, NPL
2.9829211, 2040-2059, ccsm4, Sep Anomaly, Nepal, NPL
-10.621944, 2040-2059, ccsm4, Oct Anomaly, Nepal, NPL
11.229331, 2040-2059, ccsm4, Nov Anomaly, Nepal, NPL
-30.229992, 2040-2059, ccsm4, Dec Anomaly, Nepal, NPL
-4.225571, 2040-2059, cesm1_cam5, Jan Anomaly, Nepal, NPL
0.23316674, 2040-2059, cesm1_cam5, Feb Anomaly, Nepal, NPL
4.5356097, 2040-2059, cesm1_cam5, Mar Anomaly, Nepal, NPL
2.0350866, 2040-2059, cesm1_cam5, Apr Anomaly, Nepal, NPL
24.744364, 2040-2059, cesm1_cam5, May Anomaly, Nepal, NPL
-97.13388, 2040-2059, cesm1_cam5, Jun Anomaly, Nepal, NPL
46.351627, 2040-2059, cesm1_cam5, Jul Anomaly, Nepal, NPL
60.774277, 2040-2059, cesm1_cam5, Aug Anomaly, Nepal, NPL
36.307728, 2040-2059, cesm1_cam5, Sep Anomaly, Nepal, NPL
63.72714, 2040-2059, cesm1_cam5, Oct Anomaly, Nepal, NPL
1.9016811, 2040-2059, cesm1_cam5, Nov Anomaly, Nepal, NPL
-2.0611978, 2040-2059, cesm1_cam5, Dec Anomaly, Nepal, NPL
3.2636302, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
-8.436077, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
6.1472783, 2040-2059, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
0.6293844, 2040-2059, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
9.111562, 2040-2059, csiro_mk3_6_0, May Anomaly, Nepal, NPL
-14.129084, 2040-2059, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
-32.36926, 2040-2059, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
-1.8811773, 2040-2059, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
43.052322, 2040-2059, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
14.820149, 2040-2059, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
4.6552873, 2040-2059, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
5.7763968, 2040-2059, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
-7.2717743, 2040-2059, fio_esm, Jan Anomaly, Nepal, NPL
-7.67921, 2040-2059, fio_esm, Feb Anomaly, Nepal, NPL
11.736747, 2040-2059, fio_esm, Mar Anomaly, Nepal, NPL
1.8309362, 2040-2059, fio_esm, Apr Anomaly, Nepal, NPL
-2.4523947, 2040-2059, fio_esm, May Anomaly, Nepal, NPL
-26.310228, 2040-2059, fio_esm, Jun Anomaly, Nepal, NPL
-45.223255, 2040-2059, fio_esm, Jul Anomaly, Nepal, NPL
-1.2120056, 2040-2059, fio_esm, Aug Anomaly, Nepal, NPL
-7.2518697, 2040-2059, fio_esm, Sep Anomaly, Nepal, NPL
9.555718, 2040-2059, fio_esm, Oct Anomaly, Nepal, NPL
10.724343, 2040-2059, fio_esm, Nov Anomaly, Nepal, NPL
4.3490562, 2040-2059, fio_esm, Dec Anomaly, Nepal, NPL
17.628653, 2040-2059, gfdl_cm3, Jan Anomaly, Nepal, NPL
-0.3652824, 2040-2059, gfdl_cm3, Feb Anomaly, Nepal, NPL
-4.045105, 2040-2059, gfdl_cm3, Mar Anomaly, Nepal, NPL
1.1726443, 2040-2059, gfdl_cm3, Apr Anomaly, Nepal, NPL
-14.331934, 2040-2059, gfdl_cm3, May Anomaly, Nepal, NPL
-9.274461, 2040-2059, gfdl_cm3, Jun Anomaly, Nepal, NPL
-2.264854, 2040-2059, gfdl_cm3, Jul Anomaly, Nepal, NPL
8.497568, 2040-2059, gfdl_cm3, Aug Anomaly, Nepal, NPL
-26.345226, 2040-2059, gfdl_cm3, Sep Anomaly, Nepal, NPL
-12.927818, 2040-2059, gfdl_cm3, Oct Anomaly, Nepal, NPL
-11.072492, 2040-2059, gfdl_cm3, Nov Anomaly, Nepal, NPL
-17.693262, 2040-2059, gfdl_cm3, Dec Anomaly, Nepal, NPL
-1.114912, 2040-2059, gfdl_esm2m, Jan Anomaly, Nepal, NPL
-11.774811, 2040-2059, gfdl_esm2m, Feb Anomaly, Nepal, NPL
-4.102063, 2040-2059, gfdl_esm2m, Mar Anomaly, Nepal, NPL
