Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.8163673, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.8354483, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
0.46560854, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
1.5034105, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.1690377, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
0.9447275, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
0.43056774, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
0.21208628, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.21415928, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
0.84217864, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
0.5815718, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
0.9374454, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
1.4878384, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
0.29572845, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
0.62332106, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
1.8013246, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
1.4621153, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.245602, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
1.1164201, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.2711952, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
1.2265244, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.2170175, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.9689102, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.4272544, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
1.1808738, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
1.2300369, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
1.695122, 2040-2059, ccsm4, Mar Anomaly, Nepal, NPL
1.9497546, 2040-2059, ccsm4, Apr Anomaly, Nepal, NPL
1.3547992, 2040-2059, ccsm4, May Anomaly, Nepal, NPL
1.2306913, 2040-2059, ccsm4, Jun Anomaly, Nepal, NPL
1.1795107, 2040-2059, ccsm4, Jul Anomaly, Nepal, NPL
1.0143379, 2040-2059, ccsm4, Aug Anomaly, Nepal, NPL
0.8037289, 2040-2059, ccsm4, Sep Anomaly, Nepal, NPL
0.89049774, 2040-2059, ccsm4, Oct Anomaly, Nepal, NPL
1.1518134, 2040-2059, ccsm4, Nov Anomaly, Nepal, NPL
0.7684733, 2040-2059, ccsm4, Dec Anomaly, Nepal, NPL
1.9247174, 2040-2059, cesm1_cam5, Jan Anomaly, Nepal, NPL
1.9131502, 2040-2059, cesm1_cam5, Feb Anomaly, Nepal, NPL
1.2967987, 2040-2059, cesm1_cam5, Mar Anomaly, Nepal, NPL
1.5876497, 2040-2059, cesm1_cam5, Apr Anomaly, Nepal, NPL
1.6263292, 2040-2059, cesm1_cam5, May Anomaly, Nepal, NPL
1.2455593, 2040-2059, cesm1_cam5, Jun Anomaly, Nepal, NPL
1.4244941, 2040-2059, cesm1_cam5, Jul Anomaly, Nepal, NPL
1.3000661, 2040-2059, cesm1_cam5, Aug Anomaly, Nepal, NPL
1.3219564, 2040-2059, cesm1_cam5, Sep Anomaly, Nepal, NPL
1.4176518, 2040-2059, cesm1_cam5, Oct Anomaly, Nepal, NPL
