Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.28574, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.37396, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.08226, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.3127, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1812, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.098, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2764, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.45897, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.97553, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.48377, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.31484, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.44402, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
24.4444, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
26.3128, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
29.6143, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
29.2967, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
30.7015, 2080-2099, bcc_csm1_1, May Anomaly, NPL
29.751, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
30.7683, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
30.4435, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
29.028, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
29.6468, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
27.9009, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
28.3478, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
19.2942, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
22.2004, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
25.2362, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
24.1426, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
20.7624, 2080-2099, gfdl_cm3, May Anomaly, NPL
15.3287, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
19.4476, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
19.8007, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
17.8168, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
14.2668, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
16.3669, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
21.3843, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
2.08595, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
2.10128, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
0.47509, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
0.5711, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.3109, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-0.143, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-0.6122, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-1.9379, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-0.237, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
2.09233, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
3.50607, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
0.13041, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
0.48874, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
0.06901, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
0.21593, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-1.9827, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-0.4165, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-0.8894, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-1.2945, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-1.968, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-1.9837, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
0.82159, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
1.61405, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.61871, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
13.4428, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
23.5188, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
25.0871, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
22.0517, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
29.4145, 2080-2099, hadgem2_ao, May Anomaly, NPL
29.7041, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
29.5287, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
