Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.1601, 2020-2039, access1_0, Jan Anomaly, NPL
0.01335, 2020-2039, access1_0, Feb Anomaly, NPL
-0.1032, 2020-2039, access1_0, Mar Anomaly, NPL
-0.0744, 2020-2039, access1_0, Apr Anomaly, NPL
-0.6528, 2020-2039, access1_0, May Anomaly, NPL
-0.1594, 2020-2039, access1_0, Jun Anomaly, NPL
-0.2235, 2020-2039, access1_0, Jul Anomaly, NPL
-0.3534, 2020-2039, access1_0, Aug Anomaly, NPL
-0.2276, 2020-2039, access1_0, Sep Anomaly, NPL
-0.4888, 2020-2039, access1_0, Oct Anomaly, NPL
-0.036, 2020-2039, access1_0, Nov Anomaly, NPL
-0.5735, 2020-2039, access1_0, Dec Anomaly, NPL
-0.6144, 2020-2039, access1_3, Jan Anomaly, NPL
-0.1013, 2020-2039, access1_3, Feb Anomaly, NPL
-0.4188, 2020-2039, access1_3, Mar Anomaly, NPL
-0.1467, 2020-2039, access1_3, Apr Anomaly, NPL
-0.4, 2020-2039, access1_3, May Anomaly, NPL
-0.3385, 2020-2039, access1_3, Jun Anomaly, NPL
-0.1518, 2020-2039, access1_3, Jul Anomaly, NPL
-0.2325, 2020-2039, access1_3, Aug Anomaly, NPL
-0.2153, 2020-2039, access1_3, Sep Anomaly, NPL
-0.3846, 2020-2039, access1_3, Oct Anomaly, NPL
-0.0881, 2020-2039, access1_3, Nov Anomaly, NPL
-0.3181, 2020-2039, access1_3, Dec Anomaly, NPL
-0.0853, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.00945, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.38164, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
0.00599, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1072, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.1218, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2036, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1321, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-0.272, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.3706, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.125, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.2586, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.3394, 2020-2039, bnu_esm, Jan Anomaly, NPL
-0.1808, 2020-2039, bnu_esm, Feb Anomaly, NPL
-0.5208, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.2095, 2020-2039, bnu_esm, Apr Anomaly, NPL
0.04003, 2020-2039, bnu_esm, May Anomaly, NPL
-0.293, 2020-2039, bnu_esm, Jun Anomaly, NPL
-0.3032, 2020-2039, bnu_esm, Jul Anomaly, NPL
-0.2617, 2020-2039, bnu_esm, Aug Anomaly, NPL
-0.7483, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.5998, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.2363, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.1633, 2020-2039, bnu_esm, Dec Anomaly, NPL
-0.1518, 2020-2039, canesm2, Jan Anomaly, NPL
-0.0526, 2020-2039, canesm2, Feb Anomaly, NPL
-0.1021, 2020-2039, canesm2, Mar Anomaly, NPL
-0.1292, 2020-2039, canesm2, Apr Anomaly, NPL
-0.1006, 2020-2039, canesm2, May Anomaly, NPL
-0.0732, 2020-2039, canesm2, Jun Anomaly, NPL
-0.1173, 2020-2039, canesm2, Jul Anomaly, NPL
-0.0721, 2020-2039, canesm2, Aug Anomaly, NPL
-0.2504, 2020-2039, canesm2, Sep Anomaly, NPL
-0.0308, 2020-2039, canesm2, Oct Anomaly, NPL
-0.0558, 2020-2039, canesm2, Nov Anomaly, NPL
-0.1448, 2020-2039, canesm2, Dec Anomaly, NPL
-0.0507, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.3207, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.0726, 2020-2039, ccsm4, Mar Anomaly, NPL
-0.0294, 2020-2039, ccsm4, Apr Anomaly, NPL
-0.0528, 2020-2039, ccsm4, May Anomaly, NPL
-0.0623, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.2116, 2020-2039, ccsm4, Jul Anomaly, NPL
-0.0768, 2020-2039, ccsm4, Aug Anomaly, NPL
-0.202, 2020-2039, ccsm4, Sep Anomaly, NPL
-0.3949, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.0867, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.0936, 2020-2039, ccsm4, Dec Anomaly, NPL
-0.1467, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
-0.4971, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-0.0541, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-0.1133, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-0.0055, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.061, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.0442, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
-0.0176, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-0.1567, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
-0.1688, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-0.2904, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.4285, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-0.1735, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-0.1962, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-0.0686, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
-0.0632, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-0.1401, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.03282, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.1322, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.1062, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.1801, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-0.5226, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.06093, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-0.1831, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
-0.2596, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.4868, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.247, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.321, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
