Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0304, 2080-2099, access1_0, Annual Anomaly, NPL
-0.03, 2080-2099, access1_3, Annual Anomaly, NPL
-0.0224, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0271, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0251, 2080-2099, bnu_esm, Annual Anomaly, NPL
-0.0226, 2080-2099, canesm2, Annual Anomaly, NPL
-0.0229, 2080-2099, ccsm4, Annual Anomaly, NPL
-0.0226, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
-0.0273, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.0264, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
-0.0253, 2080-2099, cmcc_cms, Annual Anomaly, NPL
-0.0239, 2080-2099, cmcc_cm, Annual Anomaly, NPL
-0.0263, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-0.0278, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0246, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
-0.0262, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-0.027, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0304, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
-0.0306, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
-0.0315, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-0.0256, 2080-2099, inmcm4, Annual Anomaly, NPL
-0.0241, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0208, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0214, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0344, 2080-2099, miroc5, Annual Anomaly, NPL
-0.0296, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.0277, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0284, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-0.0246, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.0273, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
-0.0266, 2080-2099, mri_esm1, Annual Anomaly, NPL
-0.0295, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0265, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0265, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0258, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
