Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
3.66165, 2040-2059, access1_0, Jan Anomaly, NPL
3.81462, 2040-2059, access1_0, Feb Anomaly, NPL
4.16911, 2040-2059, access1_0, Mar Anomaly, NPL
2.88335, 2040-2059, access1_0, Apr Anomaly, NPL
1.0491, 2040-2059, access1_0, May Anomaly, NPL
2.96151, 2040-2059, access1_0, Jun Anomaly, NPL
2.41739, 2040-2059, access1_0, Jul Anomaly, NPL
2.18965, 2040-2059, access1_0, Aug Anomaly, NPL
7.94252, 2040-2059, access1_0, Sep Anomaly, NPL
10.6592, 2040-2059, access1_0, Oct Anomaly, NPL
10.1733, 2040-2059, access1_0, Nov Anomaly, NPL
7.29517, 2040-2059, access1_0, Dec Anomaly, NPL
5.26936, 2040-2059, access1_3, Jan Anomaly, NPL
2.04961, 2040-2059, access1_3, Feb Anomaly, NPL
2.31768, 2040-2059, access1_3, Mar Anomaly, NPL
5.73279, 2040-2059, access1_3, Apr Anomaly, NPL
1.83208, 2040-2059, access1_3, May Anomaly, NPL
2.6054, 2040-2059, access1_3, Jun Anomaly, NPL
2.08221, 2040-2059, access1_3, Jul Anomaly, NPL
2.37294, 2040-2059, access1_3, Aug Anomaly, NPL
5.09674, 2040-2059, access1_3, Sep Anomaly, NPL
5.69909, 2040-2059, access1_3, Oct Anomaly, NPL
5.05888, 2040-2059, access1_3, Nov Anomaly, NPL
6.74332, 2040-2059, access1_3, Dec Anomaly, NPL
2.37462, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.54373, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.93737, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
5.65043, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
6.44916, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
3.94319, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.42365, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.21865, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.66495, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.56334, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
3.70918, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.56665, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
4.98976, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
1.14793, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.25647, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
7.19569, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
4.86681, 2040-2059, bcc_csm1_1, May Anomaly, NPL
3.09361, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.56113, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.48205, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
2.28234, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
3.48946, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
2.29283, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
1.61917, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
9.45227, 2040-2059, bnu_esm, Jan Anomaly, NPL
4.23603, 2040-2059, bnu_esm, Feb Anomaly, NPL
7.88345, 2040-2059, bnu_esm, Mar Anomaly, NPL
4.64321, 2040-2059, bnu_esm, Apr Anomaly, NPL
3.14807, 2040-2059, bnu_esm, May Anomaly, NPL
4.13425, 2040-2059, bnu_esm, Jun Anomaly, NPL
2.33017, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.53602, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.90669, 2040-2059, bnu_esm, Sep Anomaly, NPL
2.26055, 2040-2059, bnu_esm, Oct Anomaly, NPL
2.69475, 2040-2059, bnu_esm, Nov Anomaly, NPL
8.44561, 2040-2059, bnu_esm, Dec Anomaly, NPL
3.006, 2040-2059, ccsm4, Jan Anomaly, NPL
2.44002, 2040-2059, ccsm4, Feb Anomaly, NPL
5.70406, 2040-2059, ccsm4, Mar Anomaly, NPL
6.20592, 2040-2059, ccsm4, Apr Anomaly, NPL
4.31418, 2040-2059, ccsm4, May Anomaly, NPL
4.91474, 2040-2059, ccsm4, Jun Anomaly, NPL
1.2725, 2040-2059, ccsm4, Jul Anomaly, NPL
1.38411, 2040-2059, ccsm4, Aug Anomaly, NPL
0.6956, 2040-2059, ccsm4, Sep Anomaly, NPL
4.28738, 2040-2059, ccsm4, Oct Anomaly, NPL
2.42183, 2040-2059, ccsm4, Nov Anomaly, NPL
2.10937, 2040-2059, ccsm4, Dec Anomaly, NPL
1.9229, 2040-2059, cesm1_bgc, Jan Anomaly, NPL
0.54293, 2040-2059, cesm1_bgc, Feb Anomaly, NPL
1.24472, 2040-2059, cesm1_bgc, Mar Anomaly, NPL
2.6264, 2040-2059, cesm1_bgc, Apr Anomaly, NPL
7.47177, 2040-2059, cesm1_bgc, May Anomaly, NPL
3.75204, 2040-2059, cesm1_bgc, Jun Anomaly, NPL
3.0185, 2040-2059, cesm1_bgc, Jul Anomaly, NPL
0.68885, 2040-2059, cesm1_bgc, Aug Anomaly, NPL
2.20301, 2040-2059, cesm1_bgc, Sep Anomaly, NPL
3.84545, 2040-2059, cesm1_bgc, Oct Anomaly, NPL
1.8373, 2040-2059, cesm1_bgc, Nov Anomaly, NPL
0.97189, 2040-2059, cesm1_bgc, Dec Anomaly, NPL
2.74965, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
1.31157, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
1.32423, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
5.17737, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
4.66937, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.10315, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.58436, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.11087, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.30668, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
5.5486, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
5.74536, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.61339, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
3.19189, 2040-2059, cmcc_cm, Jan Anomaly, NPL
4.09519, 2040-2059, cmcc_cm, Feb Anomaly, NPL
2.83596, 2040-2059, cmcc_cm, Mar Anomaly, NPL
5.6216, 2040-2059, cmcc_cm, Apr Anomaly, NPL
8.80222, 2040-2059, cmcc_cm, May Anomaly, NPL
5.18865, 2040-2059, cmcc_cm, Jun Anomaly, NPL
2.72803, 2040-2059, cmcc_cm, Jul Anomaly, NPL
1.96903, 2040-2059, cmcc_cm, Aug Anomaly, NPL
2.65579, 2040-2059, cmcc_cm, Sep Anomaly, NPL
3.66116, 2040-2059, cmcc_cm, Oct Anomaly, NPL
6.23035, 2040-2059, cmcc_cm, Nov Anomaly, NPL
4.00728, 2040-2059, cmcc_cm, Dec Anomaly, NPL
7.11548, 2040-2059, cmcc_cms, Jan Anomaly, NPL
6.93238, 2040-2059, cmcc_cms, Feb Anomaly, NPL
5.10349, 2040-2059, cmcc_cms, Mar Anomaly, NPL
5.02658, 2040-2059, cmcc_cms, Apr Anomaly, NPL
8.50584, 2040-2059, cmcc_cms, May Anomaly, NPL
5.18939, 2040-2059, cmcc_cms, Jun Anomaly, NPL
3.27627, 2040-2059, cmcc_cms, Jul Anomaly, NPL
1.54057, 2040-2059, cmcc_cms, Aug Anomaly, NPL
1.54594, 2040-2059, cmcc_cms, Sep Anomaly, NPL
4.31766, 2040-2059, cmcc_cms, Oct Anomaly, NPL
4.63035, 2040-2059, cmcc_cms, Nov Anomaly, NPL
8.52922, 2040-2059, cmcc_cms, Dec Anomaly, NPL
3.40784, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
