Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
97.2383, 2060-2079, access1_0, Annual Anomaly, NPL
202.45, 2060-2079, access1_3, Annual Anomaly, NPL
96.8902, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
97.6569, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
106.183, 2060-2079, bnu_esm, Annual Anomaly, NPL
180.521, 2060-2079, canesm2, Annual Anomaly, NPL
264.577, 2060-2079, ccsm4, Annual Anomaly, NPL
113.055, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
365.109, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.13252, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
450.294, 2060-2079, cmcc_cm, Annual Anomaly, NPL
110.036, 2060-2079, cmcc_cms, Annual Anomaly, NPL
37.242, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
19.1398, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
166.014, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
90.7087, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
91.6323, 2060-2079, hadgem2_es, Annual Anomaly, NPL
24.8455, 2060-2079, inmcm4, Annual Anomaly, NPL
77.1708, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
140.733, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-12.669, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
111.031, 2060-2079, miroc5, Annual Anomaly, NPL
91.8007, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
56.6052, 2060-2079, miroc_esm, Annual Anomaly, NPL
70.0664, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-24.072, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
110.707, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
72.7089, 2060-2079, mri_esm1, Annual Anomaly, NPL
267.677, 2060-2079, noresm1_m, Annual Anomaly, NPL
-121.47, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
101.851, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
834.807, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
