Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-5.2378, 2080-2099, access1_0, Jan Anomaly, NPL
-1.9961, 2080-2099, access1_0, Feb Anomaly, NPL
-2.0205, 2080-2099, access1_0, Mar Anomaly, NPL
1.86436, 2080-2099, access1_0, Apr Anomaly, NPL
10.5339, 2080-2099, access1_0, May Anomaly, NPL
5.98875, 2080-2099, access1_0, Jun Anomaly, NPL
33.7947, 2080-2099, access1_0, Jul Anomaly, NPL
24.9127, 2080-2099, access1_0, Aug Anomaly, NPL
6.49857, 2080-2099, access1_0, Sep Anomaly, NPL
-0.7731, 2080-2099, access1_0, Oct Anomaly, NPL
-6.3077, 2080-2099, access1_0, Nov Anomaly, NPL
-7.2256, 2080-2099, access1_0, Dec Anomaly, NPL
-8.3326, 2080-2099, access1_3, Jan Anomaly, NPL
-3.9843, 2080-2099, access1_3, Feb Anomaly, NPL
-9.3553, 2080-2099, access1_3, Mar Anomaly, NPL
-1.3421, 2080-2099, access1_3, Apr Anomaly, NPL
13.9615, 2080-2099, access1_3, May Anomaly, NPL
11.7657, 2080-2099, access1_3, Jun Anomaly, NPL
47.5268, 2080-2099, access1_3, Jul Anomaly, NPL
38.0343, 2080-2099, access1_3, Aug Anomaly, NPL
29.5574, 2080-2099, access1_3, Sep Anomaly, NPL
4.11897, 2080-2099, access1_3, Oct Anomaly, NPL
-0.2169, 2080-2099, access1_3, Nov Anomaly, NPL
-0.8484, 2080-2099, access1_3, Dec Anomaly, NPL
5.6998, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-15.018, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
2.40308, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1481, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
10.1896, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
11.2817, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
9.76513, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-10.04, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
21.7034, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
11.8723, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-8.66, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-17.763, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
5.88325, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
2.26109, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
4.77918, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.28804, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
3.88956, 2080-2099, bcc_csm1_1, May Anomaly, NPL
12.0459, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
22.8431, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
16.4231, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
8.14673, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-1.2955, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
7.05284, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
9.60215, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-8.1322, 2080-2099, bnu_esm, Jan Anomaly, NPL
-4.7977, 2080-2099, bnu_esm, Feb Anomaly, NPL
4.64553, 2080-2099, bnu_esm, Mar Anomaly, NPL
6.43128, 2080-2099, bnu_esm, Apr Anomaly, NPL
5.94061, 2080-2099, bnu_esm, May Anomaly, NPL
2.79495, 2080-2099, bnu_esm, Jun Anomaly, NPL
34.0189, 2080-2099, bnu_esm, Jul Anomaly, NPL
16.6379, 2080-2099, bnu_esm, Aug Anomaly, NPL
41.1328, 2080-2099, bnu_esm, Sep Anomaly, NPL
11.3446, 2080-2099, bnu_esm, Oct Anomaly, NPL
2.96708, 2080-2099, bnu_esm, Nov Anomaly, NPL
6.89275, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.07863, 2080-2099, canesm2, Jan Anomaly, NPL
-4.0275, 2080-2099, canesm2, Feb Anomaly, NPL
2.1187, 2080-2099, canesm2, Mar Anomaly, NPL
4.81335, 2080-2099, canesm2, Apr Anomaly, NPL
0.59376, 2080-2099, canesm2, May Anomaly, NPL
22.0428, 2080-2099, canesm2, Jun Anomaly, NPL
45.6696, 2080-2099, canesm2, Jul Anomaly, NPL
37.0337, 2080-2099, canesm2, Aug Anomaly, NPL
23.8471, 2080-2099, canesm2, Sep Anomaly, NPL
14.2376, 2080-2099, canesm2, Oct Anomaly, NPL
3.20965, 2080-2099, canesm2, Nov Anomaly, NPL
8.74019, 2080-2099, canesm2, Dec Anomaly, NPL
17.2449, 2080-2099, ccsm4, Jan Anomaly, NPL
-11.798, 2080-2099, ccsm4, Feb Anomaly, NPL
-8.7139, 2080-2099, ccsm4, Mar Anomaly, NPL
-2.7195, 2080-2099, ccsm4, Apr Anomaly, NPL
4.76802, 2080-2099, ccsm4, May Anomaly, NPL
21.579, 2080-2099, ccsm4, Jun Anomaly, NPL
30.937, 2080-2099, ccsm4, Jul Anomaly, NPL
52.8628, 2080-2099, ccsm4, Aug Anomaly, NPL
20.9502, 2080-2099, ccsm4, Sep Anomaly, NPL
13.5557, 2080-2099, ccsm4, Oct Anomaly, NPL
2.38871, 2080-2099, ccsm4, Nov Anomaly, NPL
-40.269, 2080-2099, ccsm4, Dec Anomaly, NPL
9.75615, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
1.40448, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
0.79285, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-2.6712, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-23.462, 2080-2099, cesm1_bgc, May Anomaly, NPL
-47.803, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
11.3748, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
32.8138, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
59.1563, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
13.724, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
19.188, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
11.013, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-26.965, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-1.2747, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
2.3793, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.1419, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-9.7392, 2080-2099, cesm1_cam5, May Anomaly, NPL
-11.29, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
71.7686, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
95.5289, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
32.9677, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
9.41176, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
8.07887, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
8.08441, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-17.055, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-1.9471, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-6.9539, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
0.66624, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
4.99081, 2080-2099, cnrm_cm5, May Anomaly, NPL
-12.517, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-2.4789, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
6.55751, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-3.0108, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
5.87771, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-4.2181, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
2.78922, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-1.7418, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-13.683, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-5.4143, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
1.81568, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
1.13508, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-11.153, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-4.7192, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
6.0851, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
23.4053, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
19.1249, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
7.38862, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
