Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-2.7418, 2020-2039, access1_0, Jan Anomaly, NPL
-1.3138, 2020-2039, access1_0, Feb Anomaly, NPL
-0.0968, 2020-2039, access1_0, Mar Anomaly, NPL
0.1715, 2020-2039, access1_0, Apr Anomaly, NPL
3.32581, 2020-2039, access1_0, May Anomaly, NPL
-2.0902, 2020-2039, access1_0, Jun Anomaly, NPL
8.60114, 2020-2039, access1_0, Jul Anomaly, NPL
0.60855, 2020-2039, access1_0, Aug Anomaly, NPL
0.06011, 2020-2039, access1_0, Sep Anomaly, NPL
-1.9747, 2020-2039, access1_0, Oct Anomaly, NPL
-2.4241, 2020-2039, access1_0, Nov Anomaly, NPL
-0.9881, 2020-2039, access1_0, Dec Anomaly, NPL
-4.1601, 2020-2039, access1_3, Jan Anomaly, NPL
-2.462, 2020-2039, access1_3, Feb Anomaly, NPL
0.22776, 2020-2039, access1_3, Mar Anomaly, NPL
2.03896, 2020-2039, access1_3, Apr Anomaly, NPL
2.43285, 2020-2039, access1_3, May Anomaly, NPL
2.83123, 2020-2039, access1_3, Jun Anomaly, NPL
1.98029, 2020-2039, access1_3, Jul Anomaly, NPL
3.44757, 2020-2039, access1_3, Aug Anomaly, NPL
1.85896, 2020-2039, access1_3, Sep Anomaly, NPL
0.30638, 2020-2039, access1_3, Oct Anomaly, NPL
-0.5923, 2020-2039, access1_3, Nov Anomaly, NPL
-1.7138, 2020-2039, access1_3, Dec Anomaly, NPL
-4.9386, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-3.5796, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-2.4209, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-2.2347, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-4.4309, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
3.29127, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-8.7247, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-4.0406, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
6.94756, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.7745, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
7.56474, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-4.4687, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
2.52654, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-2.7488, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
3.07915, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-3.3928, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.08785, 2020-2039, bcc_csm1_1, May Anomaly, NPL
6.24386, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-2.4917, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
4.74722, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
10.6644, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.90279, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
6.51406, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
1.36131, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-3.7493, 2020-2039, bnu_esm, Jan Anomaly, NPL
-3.8061, 2020-2039, bnu_esm, Feb Anomaly, NPL
-1.8848, 2020-2039, bnu_esm, Mar Anomaly, NPL
3.29295, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.28615, 2020-2039, bnu_esm, May Anomaly, NPL
0.20661, 2020-2039, bnu_esm, Jun Anomaly, NPL
4.76879, 2020-2039, bnu_esm, Jul Anomaly, NPL
5.12913, 2020-2039, bnu_esm, Aug Anomaly, NPL
5.9757, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.6989, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.5939, 2020-2039, bnu_esm, Nov Anomaly, NPL
1.63651, 2020-2039, bnu_esm, Dec Anomaly, NPL
0.02085, 2020-2039, canesm2, Jan Anomaly, NPL
-2.4706, 2020-2039, canesm2, Feb Anomaly, NPL
0.1315, 2020-2039, canesm2, Mar Anomaly, NPL
2.46357, 2020-2039, canesm2, Apr Anomaly, NPL
0.68968, 2020-2039, canesm2, May Anomaly, NPL
0.61595, 2020-2039, canesm2, Jun Anomaly, NPL
8.61984, 2020-2039, canesm2, Jul Anomaly, NPL
5.39172, 2020-2039, canesm2, Aug Anomaly, NPL
5.32467, 2020-2039, canesm2, Sep Anomaly, NPL
5.33339, 2020-2039, canesm2, Oct Anomaly, NPL
-2.4721, 2020-2039, canesm2, Nov Anomaly, NPL
0.28689, 2020-2039, canesm2, Dec Anomaly, NPL
2.43147, 2020-2039, ccsm4, Jan Anomaly, NPL
-2.6121, 2020-2039, ccsm4, Feb Anomaly, NPL
-3.4398, 2020-2039, ccsm4, Mar Anomaly, NPL
1.45675, 2020-2039, ccsm4, Apr Anomaly, NPL
5.41407, 2020-2039, ccsm4, May Anomaly, NPL
8.27733, 2020-2039, ccsm4, Jun Anomaly, NPL
-2.9887, 2020-2039, ccsm4, Jul Anomaly, NPL
16.7564, 2020-2039, ccsm4, Aug Anomaly, NPL
12.5431, 2020-2039, ccsm4, Sep Anomaly, NPL
-1.4761, 2020-2039, ccsm4, Oct Anomaly, NPL
2.69701, 2020-2039, ccsm4, Nov Anomaly, NPL
-15.004, 2020-2039, ccsm4, Dec Anomaly, NPL
12.9966, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
3.2698, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
