Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.4063, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.4789, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.2715, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2387, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0701, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.5702, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.44787, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.7351, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.27964, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.52823, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1459, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3901, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.36419, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.12734, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.01195, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.0914, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.0562, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.39844, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.03025, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.5695, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.55376, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.1635, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.47835, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.33971, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.30294, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.2731, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.4544, 2060-2079, ccsm4, Mar Anomaly, NPL
0.03928, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.1734, 2060-2079, ccsm4, May Anomaly, NPL
0.23904, 2060-2079, ccsm4, Jun Anomaly, NPL
1.24011, 2060-2079, ccsm4, Jul Anomaly, NPL
1.66803, 2060-2079, ccsm4, Aug Anomaly, NPL
0.16595, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.0657, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.3985, 2060-2079, ccsm4, Nov Anomaly, NPL
-0.9362, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.4127, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-0.0825, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-0.0781, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.18895, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.3557, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.9787, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.20192, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.00188, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.52601, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.46584, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.15853, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.02722, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.0385, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.3227, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0022, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.0038, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
0.02064, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.0687, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.2792, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-0.1839, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.43039, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0502, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.14368, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.00231, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.22682, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.09293, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.00374, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.10362, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.0019, 2060-2079, gfdl_cm3, May Anomaly, NPL
0.23355, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
0.97687, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
1.28404, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-0.5572, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.2096, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.0813, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-0.5247, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-0.0414, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-0.0925, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-0.0205, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.06701, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.008, 2060-2079, gfdl_esm2g, May Anomaly, NPL
0.4864, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.81178, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
2.20906, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-0.4821, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.08885, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
0.18002, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-0.0116, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-0.1663, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.1968, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
0.11015, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.0622, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-0.0324, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-0.8075, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
0.23429, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
1.6268, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.06036, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
0.39232, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.17742, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-0.0255, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
0.33478, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-0.2101, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
0.03923, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
0.15219, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
0.20061, 2060-2079, hadgem2_ao, May Anomaly, NPL
1.2311, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.27894, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.64009, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
0.28743, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
-0.0267, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-0.1199, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
0.00279, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-0.0231, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-0.0733, 2060-2079, hadgem2_es, Feb Anomaly, NPL
0.01203, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.0205, 2060-2079, hadgem2_es, Apr Anomaly, NPL
0.21574, 2060-2079, hadgem2_es, May Anomaly, NPL
-0.2299, 2060-2079, hadgem2_es, Jun Anomaly, NPL
-0.2538, 2060-2079, hadgem2_es, Jul Anomaly, NPL
0.1963, 2060-2079, hadgem2_es, Aug Anomaly, NPL
0.09449, 2060-2079, hadgem2_es, Sep Anomaly, NPL
0.11143, 2060-2079, hadgem2_es, Oct Anomaly, NPL
3.0E-4, 2060-2079, hadgem2_es, Nov Anomaly, NPL
0.11688, 2060-2079, hadgem2_es, Dec Anomaly, NPL
-0.8264, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.2034, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.1353, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
0.18798, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.0849, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
0.06221, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
0.13949, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
0.98524, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
1.25243, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.9929, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.1581, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
-0.1816, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
0.45518, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.0209, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.1443, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.0832, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
0.24584, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
1.03362, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
0.82575, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
