Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.8792, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.1766, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.0596, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-1.0185, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-2.4356, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-1.6816, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-1.0583, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-1.4321, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-2.0631, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-1.1334, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.4276, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-1.7968, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-3.8034, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-1.3615, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.5608, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.8886, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-2.1, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-1.422, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.4971, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-1.1465, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-2.0349, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-1.096, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.8318, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-2.3162, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-2.1757, 2060-2079, ccsm4, Jan Anomaly, NPL
-1.5939, 2060-2079, ccsm4, Feb Anomaly, NPL
-1.0251, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.9888, 2060-2079, ccsm4, Apr Anomaly, NPL
-2.7638, 2060-2079, ccsm4, May Anomaly, NPL
-1.0135, 2060-2079, ccsm4, Jun Anomaly, NPL
-0.1987, 2060-2079, ccsm4, Jul Anomaly, NPL
-0.1799, 2060-2079, ccsm4, Aug Anomaly, NPL
-1.0533, 2060-2079, ccsm4, Sep Anomaly, NPL
-1.4243, 2060-2079, ccsm4, Oct Anomaly, NPL
-1.3888, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.9621, 2060-2079, ccsm4, Dec Anomaly, NPL
-3.1942, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-2.5838, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-1.5245, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-1.5328, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-3.0877, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.8434, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-0.1977, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-0.1598, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-1.4871, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-2.8932, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-2.0126, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-2.503, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-2.4971, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-1.9618, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-1.0821, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-1.5216, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-2.3682, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-1.6986, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.7868, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
