Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
1.29604, 2060-2079, access1_0, Jan Anomaly, NPL
2.78949, 2060-2079, access1_0, Feb Anomaly, NPL
5.12626, 2060-2079, access1_0, Mar Anomaly, NPL
2.89336, 2060-2079, access1_0, Apr Anomaly, NPL
1.93405, 2060-2079, access1_0, May Anomaly, NPL
1.30772, 2060-2079, access1_0, Jun Anomaly, NPL
1.56431, 2060-2079, access1_0, Jul Anomaly, NPL
1.79773, 2060-2079, access1_0, Aug Anomaly, NPL
2.1196, 2060-2079, access1_0, Sep Anomaly, NPL
5.07078, 2060-2079, access1_0, Oct Anomaly, NPL
4.49993, 2060-2079, access1_0, Nov Anomaly, NPL
1.96226, 2060-2079, access1_0, Dec Anomaly, NPL
0.29784, 2060-2079, access1_3, Jan Anomaly, NPL
1.4003, 2060-2079, access1_3, Feb Anomaly, NPL
3.73997, 2060-2079, access1_3, Mar Anomaly, NPL
3.83748, 2060-2079, access1_3, Apr Anomaly, NPL
1.85112, 2060-2079, access1_3, May Anomaly, NPL
1.09321, 2060-2079, access1_3, Jun Anomaly, NPL
1.249, 2060-2079, access1_3, Jul Anomaly, NPL
1.14234, 2060-2079, access1_3, Aug Anomaly, NPL
1.92784, 2060-2079, access1_3, Sep Anomaly, NPL
3.34225, 2060-2079, access1_3, Oct Anomaly, NPL
2.61374, 2060-2079, access1_3, Nov Anomaly, NPL
0.51701, 2060-2079, access1_3, Dec Anomaly, NPL
1.02955, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.25729, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.97843, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.6466, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.00522, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.30592, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.9932, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.17337, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.37206, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.85583, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
2.7693, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.75609, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.06628, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.29282, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.56414, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
3.00249, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.53314, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.9191, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.53191, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.67756, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.55961, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
2.77784, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.45014, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.28888, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
1.76317, 2060-2079, bnu_esm, Jan Anomaly, NPL
2.36816, 2060-2079, bnu_esm, Feb Anomaly, NPL
5.10538, 2060-2079, bnu_esm, Mar Anomaly, NPL
2.68222, 2060-2079, bnu_esm, Apr Anomaly, NPL
1.72859, 2060-2079, bnu_esm, May Anomaly, NPL
3.34525, 2060-2079, bnu_esm, Jun Anomaly, NPL
3.03604, 2060-2079, bnu_esm, Jul Anomaly, NPL
1.20699, 2060-2079, bnu_esm, Aug Anomaly, NPL
1.25621, 2060-2079, bnu_esm, Sep Anomaly, NPL
2.49299, 2060-2079, bnu_esm, Oct Anomaly, NPL
3.38326, 2060-2079, bnu_esm, Nov Anomaly, NPL
1.84439, 2060-2079, bnu_esm, Dec Anomaly, NPL
0.92804, 2060-2079, canesm2, Jan Anomaly, NPL
1.44509, 2060-2079, canesm2, Feb Anomaly, NPL
2.52577, 2060-2079, canesm2, Mar Anomaly, NPL
2.8282, 2060-2079, canesm2, Apr Anomaly, NPL
2.14756, 2060-2079, canesm2, May Anomaly, NPL
2.59034, 2060-2079, canesm2, Jun Anomaly, NPL
2.78028, 2060-2079, canesm2, Jul Anomaly, NPL
4.35935, 2060-2079, canesm2, Aug Anomaly, NPL
3.77578, 2060-2079, canesm2, Sep Anomaly, NPL
2.38545, 2060-2079, canesm2, Oct Anomaly, NPL
3.79329, 2060-2079, canesm2, Nov Anomaly, NPL
1.85441, 2060-2079, canesm2, Dec Anomaly, NPL
1.48521, 2060-2079, ccsm4, Jan Anomaly, NPL
1.8931, 2060-2079, ccsm4, Feb Anomaly, NPL
4.17436, 2060-2079, ccsm4, Mar Anomaly, NPL
1.569, 2060-2079, ccsm4, Apr Anomaly, NPL
1.23828, 2060-2079, ccsm4, May Anomaly, NPL
2.01176, 2060-2079, ccsm4, Jun Anomaly, NPL
2.95435, 2060-2079, ccsm4, Jul Anomaly, NPL
2.179, 2060-2079, ccsm4, Aug Anomaly, NPL
3.14716, 2060-2079, ccsm4, Sep Anomaly, NPL
3.3192, 2060-2079, ccsm4, Oct Anomaly, NPL
4.6838, 2060-2079, ccsm4, Nov Anomaly, NPL
2.55883, 2060-2079, ccsm4, Dec Anomaly, NPL
1.38282, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
2.22143, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
3.36794, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
1.56067, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
0.9131, 2060-2079, cesm1_bgc, May Anomaly, NPL
1.80645, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
2.33213, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
2.53648, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
3.31703, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
2.35139, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
3.4085, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
2.05686, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
2.62239, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
3.89177, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.474, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
1.63314, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.29182, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.08868, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
4.5691, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
3.88991, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
4.1765, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
3.24299, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
5.88143, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
3.78116, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.73657, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
2.72859, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
2.13223, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
2.23911, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
0.51382, 2060-2079, cnrm_cm5, May Anomaly, NPL
0.7302, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
2.27241, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
2.18872, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
1.0867, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
2.8049, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
3.09554, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
0.68065, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
0.77177, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
1.98257, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
3.26894, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.8084, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
1.10604, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
1.05539, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.67003, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.20893, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
1.36, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
1.92711, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
2.61015, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.92467, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
2.11945, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
3.8545, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
5.04906, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
3.1783, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
3.02139, 2060-2079, gfdl_cm3, May Anomaly, NPL
2.37723, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
3.00165, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
3.5517, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
