Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
0.13317, 2020-2039, access1_0, Mar Anomaly, NPL
0.75408, 2020-2039, access1_0, Apr Anomaly, NPL
1.16982, 2020-2039, access1_0, May Anomaly, NPL
1.94239, 2020-2039, access1_0, Jun Anomaly, NPL
1.58424, 2020-2039, access1_0, Jul Anomaly, NPL
2.15601, 2020-2039, access1_0, Aug Anomaly, NPL
2.61423, 2020-2039, access1_0, Sep Anomaly, NPL
0.54127, 2020-2039, access1_0, Oct Anomaly, NPL
0.00463, 2020-2039, access1_0, Nov Anomaly, NPL
0.00711, 2020-2039, access1_3, Mar Anomaly, NPL
0.76434, 2020-2039, access1_3, Apr Anomaly, NPL
1.67944, 2020-2039, access1_3, May Anomaly, NPL
1.43698, 2020-2039, access1_3, Jun Anomaly, NPL
1.24896, 2020-2039, access1_3, Jul Anomaly, NPL
1.16194, 2020-2039, access1_3, Aug Anomaly, NPL
2.62934, 2020-2039, access1_3, Sep Anomaly, NPL
0.82552, 2020-2039, access1_3, Oct Anomaly, NPL
0.01811, 2020-2039, access1_3, Nov Anomaly, NPL
4.9E-4, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0028, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.09952, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.3081, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.90263, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
1.52224, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
2.31229, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.96262, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.77088, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.04759, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.11256, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
4.2E-4, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
1.7E-4, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.00278, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.05774, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.75398, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.7374, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.83565, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.30682, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
1.32607, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.90638, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
1.18462, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.36031, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.00768, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.08192, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.79215, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.72583, 2020-2039, bnu_esm, May Anomaly, NPL
1.48967, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.95257, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.94267, 2020-2039, bnu_esm, Aug Anomaly, NPL
3.32618, 2020-2039, bnu_esm, Sep Anomaly, NPL
1.72457, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.12739, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.0012, 2020-2039, bnu_esm, Dec Anomaly, NPL
0.0049, 2020-2039, canesm2, Jan Anomaly, NPL
0.00737, 2020-2039, canesm2, Feb Anomaly, NPL
0.13892, 2020-2039, canesm2, Mar Anomaly, NPL
0.96906, 2020-2039, canesm2, Apr Anomaly, NPL
2.94208, 2020-2039, canesm2, May Anomaly, NPL
1.82941, 2020-2039, canesm2, Jun Anomaly, NPL
1.73878, 2020-2039, canesm2, Jul Anomaly, NPL
1.99565, 2020-2039, canesm2, Aug Anomaly, NPL
1.88483, 2020-2039, canesm2, Sep Anomaly, NPL
3.05336, 2020-2039, canesm2, Oct Anomaly, NPL
0.22906, 2020-2039, canesm2, Nov Anomaly, NPL
0.00643, 2020-2039, canesm2, Dec Anomaly, NPL
0.20092, 2020-2039, ccsm4, Mar Anomaly, NPL
2.13173, 2020-2039, ccsm4, Apr Anomaly, NPL
2.81231, 2020-2039, ccsm4, May Anomaly, NPL
2.07518, 2020-2039, ccsm4, Jun Anomaly, NPL
2.25678, 2020-2039, ccsm4, Jul Anomaly, NPL
2.75889, 2020-2039, ccsm4, Aug Anomaly, NPL
2.32896, 2020-2039, ccsm4, Sep Anomaly, NPL
0.53585, 2020-2039, ccsm4, Oct Anomaly, NPL
0.02865, 2020-2039, ccsm4, Nov Anomaly, NPL
0.10582, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
0.91982, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
2.75794, 2020-2039, cesm1_bgc, May Anomaly, NPL
2.41327, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
2.613, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
2.15539, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
2.43582, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.70302, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
0.00377, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-0.0017, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
0.00136, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.07084, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.95648, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
2.51674, 2020-2039, cesm1_cam5, May Anomaly, NPL
1.40976, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
1.32526, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
1.50829, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
2.76336, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.59823, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.05682, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.005, 2020-2039, cmcc_cesm, Feb Anomaly, NPL
0.32445, 2020-2039, cmcc_cesm, Mar Anomaly, NPL
1.62479, 2020-2039, cmcc_cesm, Apr Anomaly, NPL
2.80763, 2020-2039, cmcc_cesm, May Anomaly, NPL
1.55718, 2020-2039, cmcc_cesm, Jun Anomaly, NPL
0.65069, 2020-2039, cmcc_cesm, Jul Anomaly, NPL
1.5881, 2020-2039, cmcc_cesm, Aug Anomaly, NPL
2.83831, 2020-2039, cmcc_cesm, Sep Anomaly, NPL
0.99253, 2020-2039, cmcc_cesm, Oct Anomaly, NPL
0.01541, 2020-2039, cmcc_cesm, Nov Anomaly, NPL
0.00314, 2020-2039, cmcc_cesm, Dec Anomaly, NPL
0.00646, 2020-2039, cmcc_cm, Feb Anomaly, NPL
0.35627, 2020-2039, cmcc_cm, Mar Anomaly, NPL
1.27575, 2020-2039, cmcc_cm, Apr Anomaly, NPL
2.72044, 2020-2039, cmcc_cm, May Anomaly, NPL
1.08254, 2020-2039, cmcc_cm, Jun Anomaly, NPL
2.79581, 2020-2039, cmcc_cm, Jul Anomaly, NPL
2.87562, 2020-2039, cmcc_cm, Aug Anomaly, NPL
1.05174, 2020-2039, cmcc_cm, Sep Anomaly, NPL
0.55886, 2020-2039, cmcc_cm, Oct Anomaly, NPL
0.05032, 2020-2039, cmcc_cm, Nov Anomaly, NPL
0.29122, 2020-2039, cmcc_cms, Mar Anomaly, NPL
1.89418, 2020-2039, cmcc_cms, Apr Anomaly, NPL
3.79696, 2020-2039, cmcc_cms, May Anomaly, NPL
1.43338, 2020-2039, cmcc_cms, Jun Anomaly, NPL
1.17647, 2020-2039, cmcc_cms, Jul Anomaly, NPL
1.62608, 2020-2039, cmcc_cms, Aug Anomaly, NPL
2.17723, 2020-2039, cmcc_cms, Sep Anomaly, NPL
0.82192, 2020-2039, cmcc_cms, Oct Anomaly, NPL
0.03248, 2020-2039, cmcc_cms, Nov Anomaly, NPL
-7.0E-4, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
0.00136, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.18756, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
0.74874, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
2.40135, 2020-2039, cnrm_cm5, May Anomaly, NPL
1.65084, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
0.9923, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
