Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.0703, 2040-2059, access1_0, Annual Anomaly, NPL
0.16568, 2040-2059, access1_3, Annual Anomaly, NPL
0.10448, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0452, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0051, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.13574, 2040-2059, canesm2, Annual Anomaly, NPL
0.12449, 2040-2059, ccsm4, Annual Anomaly, NPL
0.05294, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
0.08917, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0054, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
0.04518, 2040-2059, cmcc_cm, Annual Anomaly, NPL
0.15078, 2040-2059, cmcc_cms, Annual Anomaly, NPL
0.02401, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.15723, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.14178, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.00244, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.0506, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.0403, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
0.10431, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
0.00637, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.0134, 2040-2059, inmcm4, Annual Anomaly, NPL
0.17246, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.09626, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.06648, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0275, 2040-2059, miroc5, Annual Anomaly, NPL
0.15901, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.03204, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.01848, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-0.0246, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.0528, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0424, 2040-2059, mri_esm1, Annual Anomaly, NPL
0.02239, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.2589, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.06593, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.31154, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
