Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-243.26, 2080-2099, access1_0, Jan Anomaly, NPL
-229.78, 2080-2099, access1_0, Feb Anomaly, NPL
-225.33, 2080-2099, access1_0, Mar Anomaly, NPL
-129.42, 2080-2099, access1_0, Apr Anomaly, NPL
-80.675, 2080-2099, access1_0, May Anomaly, NPL
-70.814, 2080-2099, access1_0, Jun Anomaly, NPL
-70.015, 2080-2099, access1_0, Jul Anomaly, NPL
-74.264, 2080-2099, access1_0, Aug Anomaly, NPL
-93.491, 2080-2099, access1_0, Sep Anomaly, NPL
-136.51, 2080-2099, access1_0, Oct Anomaly, NPL
-190.33, 2080-2099, access1_0, Nov Anomaly, NPL
-229.79, 2080-2099, access1_0, Dec Anomaly, NPL
-222.39, 2080-2099, access1_3, Jan Anomaly, NPL
-181.72, 2080-2099, access1_3, Feb Anomaly, NPL
-174.7, 2080-2099, access1_3, Mar Anomaly, NPL
-126.28, 2080-2099, access1_3, Apr Anomaly, NPL
-89.607, 2080-2099, access1_3, May Anomaly, NPL
-81.477, 2080-2099, access1_3, Jun Anomaly, NPL
-74.68, 2080-2099, access1_3, Jul Anomaly, NPL
-78.235, 2080-2099, access1_3, Aug Anomaly, NPL
-94.716, 2080-2099, access1_3, Sep Anomaly, NPL
-122.2, 2080-2099, access1_3, Oct Anomaly, NPL
-187.22, 2080-2099, access1_3, Nov Anomaly, NPL
-231.12, 2080-2099, access1_3, Dec Anomaly, NPL
-218.85, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-165.12, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-182.59, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-145.55, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-100.3, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-83.313, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-76.907, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-80.625, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-82.548, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-114.71, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-159.3, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-221.21, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-315.25, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-195.48, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-173.5, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-133.77, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-106.16, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-76.659, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-47.736, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-58.205, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-78.422, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-113.2, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-158.02, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-250.77, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-291.93, 2080-2099, bnu_esm, Jan Anomaly, NPL
-271.36, 2080-2099, bnu_esm, Feb Anomaly, NPL
-255.29, 2080-2099, bnu_esm, Mar Anomaly, NPL
-175.42, 2080-2099, bnu_esm, Apr Anomaly, NPL
-124.17, 2080-2099, bnu_esm, May Anomaly, NPL
