Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.0889, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.0299, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.3166, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.05867, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.07, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.2015, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2021, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.161, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.3193, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.3593, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1161, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3647, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.3644, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.044, 2040-2059, bnu_esm, Feb Anomaly, NPL
-0.5447, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.2061, 2040-2059, bnu_esm, Apr Anomaly, NPL
-0.1711, 2040-2059, bnu_esm, May Anomaly, NPL
-0.3902, 2040-2059, bnu_esm, Jun Anomaly, NPL
-0.2966, 2040-2059, bnu_esm, Jul Anomaly, NPL
-0.28, 2040-2059, bnu_esm, Aug Anomaly, NPL
-0.7159, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.5334, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.1924, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.0795, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.1881, 2040-2059, canesm2, Jan Anomaly, NPL
-0.0533, 2040-2059, canesm2, Feb Anomaly, NPL
-0.0834, 2040-2059, canesm2, Mar Anomaly, NPL
-0.1292, 2040-2059, canesm2, Apr Anomaly, NPL
-0.1162, 2040-2059, canesm2, May Anomaly, NPL
-0.0838, 2040-2059, canesm2, Jun Anomaly, NPL
-0.1151, 2040-2059, canesm2, Jul Anomaly, NPL
-0.0279, 2040-2059, canesm2, Aug Anomaly, NPL
-0.1739, 2040-2059, canesm2, Sep Anomaly, NPL
-0.0455, 2040-2059, canesm2, Oct Anomaly, NPL
-0.2032, 2040-2059, canesm2, Nov Anomaly, NPL
-0.1468, 2040-2059, canesm2, Dec Anomaly, NPL
-0.0242, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.3009, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.0739, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.1005, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.1118, 2040-2059, ccsm4, May Anomaly, NPL
-0.2253, 2040-2059, ccsm4, Jun Anomaly, NPL
-0.2129, 2040-2059, ccsm4, Jul Anomaly, NPL
-0.0858, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.0729, 2040-2059, ccsm4, Sep Anomaly, NPL
-0.4509, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.0908, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.2163, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.2234, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-0.4735, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-0.0791, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.0313, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-0.0292, 2040-2059, cesm1_cam5, May Anomaly, NPL
-0.0834, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-0.0414, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
-0.0176, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-0.1567, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
-0.4185, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-0.2699, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-0.4088, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-0.255, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
-0.1603, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-0.0271, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
-0.0543, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.1434, 2040-2059, cnrm_cm5, May Anomaly, NPL
-0.0498, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-0.1375, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-0.1237, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.1602, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-0.682, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.2115, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
-0.1844, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
-0.3202, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-0.4881, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
-0.2952, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
-0.3428, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
-0.1223, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
-0.3327, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
-0.3009, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
-0.49, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
-0.2865, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4767, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-0.4142, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
-0.3635, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
