Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0073, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0162, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0158, 2080-2099, bnu_esm, Annual Anomaly, NPL
-0.018, 2080-2099, canesm2, Annual Anomaly, NPL
-0.0115, 2080-2099, ccsm4, Annual Anomaly, NPL
-0.0204, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.0175, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-0.0252, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0225, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
-0.0089, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-0.0094, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0185, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
-0.026, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-0.0143, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0208, 2080-2099, miroc5, Annual Anomaly, NPL
-0.0266, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.0215, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0189, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-0.0069, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.0176, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
-0.0197, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0241, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0171, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0083, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
