Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-19.218, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-5.6879, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-9.2969, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-11.771, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.715, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-2.7034, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
2.28505, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
3.3769, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
9.51008, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-3.924, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-2.7327, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-15.443, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
2.15042, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
6.56424, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
5.68506, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-5.3374, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
3.705, 2040-2059, bcc_csm1_1, May Anomaly, NPL
2.56248, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
19.8035, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
13.7908, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
22.8634, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
7.13327, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
26.3375, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
14.2519, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
8.56732, 2040-2059, ccsm4, Jan Anomaly, NPL
6.79814, 2040-2059, ccsm4, Feb Anomaly, NPL
-23.119, 2040-2059, ccsm4, Mar Anomaly, NPL
0.98473, 2040-2059, ccsm4, Apr Anomaly, NPL
2.20391, 2040-2059, ccsm4, May Anomaly, NPL
-4.2703, 2040-2059, ccsm4, Jun Anomaly, NPL
10.4141, 2040-2059, ccsm4, Jul Anomaly, NPL
46.92, 2040-2059, ccsm4, Aug Anomaly, NPL
-1.1997, 2040-2059, ccsm4, Sep Anomaly, NPL
-8.3143, 2040-2059, ccsm4, Oct Anomaly, NPL
11.9345, 2040-2059, ccsm4, Nov Anomaly, NPL
-27.389, 2040-2059, ccsm4, Dec Anomaly, NPL
-14.524, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-0.3886, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
2.54576, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.31092, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
19.7318, 2040-2059, cesm1_cam5, May Anomaly, NPL
-22.431, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
20.1429, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
56.8154, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
30.4649, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
49.2308, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
2.61603, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-1.455, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
4.93857, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-0.3657, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
2.16581, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
3.58964, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
8.3516, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
-3.977, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
-13.328, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
-3.1713, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
13.4016, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
15.1642, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
2.97391, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
11.7563, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
13.18, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
11.3121, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
-3.239, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
0.90472, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-6.0633, 2040-2059, gfdl_cm3, May Anomaly, NPL
-0.4718, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
5.02392, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
6.66695, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-10.817, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-15.613, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
-8.186, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
