Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.5604, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.11272, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.3643, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2096, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0494, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.3472, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2364, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.05194, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.17408, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.0866, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.02004, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.5421, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.069, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.30369, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.01, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.00513, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.14977, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.09887, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.29864, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.70869, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.48964, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.22793, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.82039, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.35441, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.49822, 2040-2059, ccsm4, Jan Anomaly, NPL
0.20441, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.7009, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.0463, 2040-2059, ccsm4, Apr Anomaly, NPL
0.04889, 2040-2059, ccsm4, May Anomaly, NPL
-0.6263, 2040-2059, ccsm4, Jun Anomaly, NPL
0.2469, 2040-2059, ccsm4, Jul Anomaly, NPL
0.82526, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.1983, 2040-2059, ccsm4, Sep Anomaly, NPL
-0.3356, 2040-2059, ccsm4, Oct Anomaly, NPL
0.28813, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.708, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.0476, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-0.0242, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.02221, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.0233, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.53862, 2040-2059, cesm1_cam5, May Anomaly, NPL
-1.9983, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
1.01227, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
