Rainfall Amount from Very Wet Days - (Percentage), Year, Model, Statistics, ISO3
-3.8575, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-6.6141, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-5.4223, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-1.2582, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
9.81918, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
13.0554, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
21.035, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
10.9376, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
3.26166, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
14.3107, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
13.1634, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-4.3955, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
8.81254, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-1.4517, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.8905, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
4.01967, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.2269, 2080-2099, bcc_csm1_1, May Anomaly, NPL
16.8549, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-11.333, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
32.0192, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
3.08914, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-3.6149, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-3.6067, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.1833, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
7.82003, 2080-2099, ccsm4, Jan Anomaly, NPL
1.15043, 2080-2099, ccsm4, Feb Anomaly, NPL
-4.0271, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.0755, 2080-2099, ccsm4, Apr Anomaly, NPL
-3.3141, 2080-2099, ccsm4, May Anomaly, NPL
-21.169, 2080-2099, ccsm4, Jun Anomaly, NPL
-28.649, 2080-2099, ccsm4, Jul Anomaly, NPL
49.9517, 2080-2099, ccsm4, Aug Anomaly, NPL
47.4669, 2080-2099, ccsm4, Sep Anomaly, NPL
19.3777, 2080-2099, ccsm4, Oct Anomaly, NPL
-9.444, 2080-2099, ccsm4, Nov Anomaly, NPL
-28.735, 2080-2099, ccsm4, Dec Anomaly, NPL
-12.349, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.78492, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.03101, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.69382, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
8.23204, 2080-2099, cesm1_cam5, May Anomaly, NPL
-27.243, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
87.3234, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
147.479, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
29.338, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
1.92553, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
6.32935, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
