Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.0317, 2060-2079, access1_0, Feb Anomaly, NPL
1.60997, 2060-2079, access1_0, Mar Anomaly, NPL
3.99201, 2060-2079, access1_0, Apr Anomaly, NPL
2.1383, 2060-2079, access1_0, May Anomaly, NPL
1.18308, 2060-2079, access1_0, Jun Anomaly, NPL
1.92986, 2060-2079, access1_0, Jul Anomaly, NPL
2.76649, 2060-2079, access1_0, Aug Anomaly, NPL
2.8907, 2060-2079, access1_0, Sep Anomaly, NPL
0.93635, 2060-2079, access1_0, Oct Anomaly, NPL
3.2E-4, 2060-2079, access1_0, Nov Anomaly, NPL
0.00394, 2060-2079, access1_3, Feb Anomaly, NPL
0.67289, 2060-2079, access1_3, Mar Anomaly, NPL
3.59855, 2060-2079, access1_3, Apr Anomaly, NPL
2.77602, 2060-2079, access1_3, May Anomaly, NPL
-0.8556, 2060-2079, access1_3, Jun Anomaly, NPL
1.58814, 2060-2079, access1_3, Jul Anomaly, NPL
2.17229, 2060-2079, access1_3, Aug Anomaly, NPL
2.68446, 2060-2079, access1_3, Sep Anomaly, NPL
0.93642, 2060-2079, access1_3, Oct Anomaly, NPL
0.00714, 2060-2079, access1_3, Nov Anomaly, NPL
0.01172, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.87201, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
4.16433, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
5.58349, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
3.65141, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
2.90638, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.06725, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.40483, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.5352, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.13851, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.00214, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.29901, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
3.01291, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
5.08684, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.50101, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
4.10913, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.65689, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
2.6923, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
2.21091, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.09542, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.00707, 2060-2079, bnu_esm, Jan Anomaly, NPL
0.02625, 2060-2079, bnu_esm, Feb Anomaly, NPL
1.27643, 2060-2079, bnu_esm, Mar Anomaly, NPL
3.15469, 2060-2079, bnu_esm, Apr Anomaly, NPL
6.08883, 2060-2079, bnu_esm, May Anomaly, NPL
5.07148, 2060-2079, bnu_esm, Jun Anomaly, NPL
2.85374, 2060-2079, bnu_esm, Jul Anomaly, NPL
2.17433, 2060-2079, bnu_esm, Aug Anomaly, NPL
2.11863, 2060-2079, bnu_esm, Sep Anomaly, NPL
1.00473, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.08657, 2060-2079, bnu_esm, Nov Anomaly, NPL
3.9E-4, 2060-2079, canesm2, Jan Anomaly, NPL
0.01102, 2060-2079, canesm2, Feb Anomaly, NPL
0.86665, 2060-2079, canesm2, Mar Anomaly, NPL
2.36213, 2060-2079, canesm2, Apr Anomaly, NPL
6.53551, 2060-2079, canesm2, May Anomaly, NPL
4.89015, 2060-2079, canesm2, Jun Anomaly, NPL
2.77938, 2060-2079, canesm2, Jul Anomaly, NPL
3.5472, 2060-2079, canesm2, Aug Anomaly, NPL
2.61584, 2060-2079, canesm2, Sep Anomaly, NPL
1.6821, 2060-2079, canesm2, Oct Anomaly, NPL
0.30578, 2060-2079, canesm2, Nov Anomaly, NPL
0.0053, 2060-2079, ccsm4, Feb Anomaly, NPL
1.51253, 2060-2079, ccsm4, Mar Anomaly, NPL
4.60095, 2060-2079, ccsm4, Apr Anomaly, NPL
5.15331, 2060-2079, ccsm4, May Anomaly, NPL
4.03254, 2060-2079, ccsm4, Jun Anomaly, NPL
1.72552, 2060-2079, ccsm4, Jul Anomaly, NPL
1.24132, 2060-2079, ccsm4, Aug Anomaly, NPL
0.90359, 2060-2079, ccsm4, Sep Anomaly, NPL
0.33423, 2060-2079, ccsm4, Oct Anomaly, NPL
0.01551, 2060-2079, ccsm4, Nov Anomaly, NPL
0.01065, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
1.22779, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
3.28429, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
4.00052, 2060-2079, cesm1_bgc, May Anomaly, NPL
4.66131, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
1.8467, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
1.2295, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
0.92782, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
0.28286, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
0.00564, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
0.00628, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.17759, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.09632, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
3.87044, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
3.129, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.60303, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.95415, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.3104, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
1.0404, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.71547, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.04924, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.1239, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
1.41764, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
3.10663, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
6.76938, 2060-2079, cmcc_cesm, May Anomaly, NPL
6.94045, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
4.95733, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
4.76732, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
3.92634, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
1.01439, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
0.00427, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
0.03581, 2060-2079, cmcc_cm, Feb Anomaly, NPL
1.76971, 2060-2079, cmcc_cm, Mar Anomaly, NPL
4.80574, 2060-2079, cmcc_cm, Apr Anomaly, NPL
4.2917, 2060-2079, cmcc_cm, May Anomaly, NPL
2.78444, 2060-2079, cmcc_cm, Jun Anomaly, NPL
3.26627, 2060-2079, cmcc_cm, Jul Anomaly, NPL
2.21401, 2060-2079, cmcc_cm, Aug Anomaly, NPL
0.96541, 2060-2079, cmcc_cm, Sep Anomaly, NPL
0.38346, 2060-2079, cmcc_cm, Oct Anomaly, NPL
0.00223, 2060-2079, cmcc_cm, Nov Anomaly, NPL
0.02907, 2060-2079, cmcc_cms, Feb Anomaly, NPL
2.26587, 2060-2079, cmcc_cms, Mar Anomaly, NPL
5.55616, 2060-2079, cmcc_cms, Apr Anomaly, NPL
6.48175, 2060-2079, cmcc_cms, May Anomaly, NPL
5.57163, 2060-2079, cmcc_cms, Jun Anomaly, NPL
5.68264, 2060-2079, cmcc_cms, Jul Anomaly, NPL
3.76598, 2060-2079, cmcc_cms, Aug Anomaly, NPL
2.26114, 2060-2079, cmcc_cms, Sep Anomaly, NPL
0.85479, 2060-2079, cmcc_cms, Oct Anomaly, NPL
0.02324, 2060-2079, cmcc_cms, Nov Anomaly, NPL
0.03223, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
2.06724, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
4.46365, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
2.41946, 2060-2079, cnrm_cm5, May Anomaly, NPL
2.16664, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.51788, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.079, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.1195, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.04636, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
0.00654, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
0.55319, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
3.56232, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
6.48639, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
3.65079, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
3.2423, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
0.92599, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
1.0933, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.33067, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.01318, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.0023, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
