Growing Season Length - (Days), Year, Model, Statistics, ISO3
8.80144, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
6.60099, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
9.56419, 2080-2099, bnu_esm, Annual Anomaly, NPL
10.282, 2080-2099, canesm2, Annual Anomaly, NPL
6.80372, 2080-2099, ccsm4, Annual Anomaly, NPL
9.85709, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
13.2773, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
12.5979, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
27.7689, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
5.976, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
6.67566, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
12.3482, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
12.5198, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
11.9184, 2080-2099, miroc5, Annual Anomaly, NPL
18.0809, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
16.4231, 2080-2099, miroc_esm, Annual Anomaly, NPL
9.37155, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
6.65305, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
6.29529, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
9.26635, 2080-2099, noresm1_m, Annual Anomaly, NPL
1.45419, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
10.4179, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
