Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.10965, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0189, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0126, 2080-2099, bnu_esm, Annual Anomaly, NPL
-0.0525, 2080-2099, canesm2, Annual Anomaly, NPL
0.00876, 2080-2099, ccsm4, Annual Anomaly, NPL
0.05484, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.117, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.24052, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.02924, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.10164, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.23001, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.05756, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.04361, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.004, 2080-2099, miroc5, Annual Anomaly, NPL
0.07451, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.05473, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.03262, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.23145, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.0471, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0268, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.0579, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.27239, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
