Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.8363853, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
1.3447717, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
1.6941125, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
3.4730866, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
2.5830643, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
1.4061338, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
1.3008149, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
0.96795505, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.9430708, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.9688008, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
1.6795746, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
1.6824852, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
2.3718333, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
2.0740838, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
2.6793206, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
3.2048538, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
3.2272816, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
2.3059201, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
2.1967158, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.7960405, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
0.6237316, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
0.82308483, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
2.7575848, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.4316828, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
2.259308, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
2.2028756, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
3.8210473, 2040-2059, ccsm4, Mar Anomaly, Nepal, NPL
2.4222014, 2040-2059, ccsm4, Apr Anomaly, Nepal, NPL
2.3554525, 2040-2059, ccsm4, May Anomaly, Nepal, NPL
2.8315327, 2040-2059, ccsm4, Jun Anomaly, Nepal, NPL
1.7867163, 2040-2059, ccsm4, Jul Anomaly, Nepal, NPL
1.9108857, 2040-2059, ccsm4, Aug Anomaly, Nepal, NPL
1.4287491, 2040-2059, ccsm4, Sep Anomaly, Nepal, NPL
1.7811325, 2040-2059, ccsm4, Oct Anomaly, Nepal, NPL
2.1290202, 2040-2059, ccsm4, Nov Anomaly, Nepal, NPL
2.4658442, 2040-2059, ccsm4, Dec Anomaly, Nepal, NPL
2.2580926, 2040-2059, cesm1_cam5, Jan Anomaly, Nepal, NPL
2.3536134, 2040-2059, cesm1_cam5, Feb Anomaly, Nepal, NPL
2.2602494, 2040-2059, cesm1_cam5, Mar Anomaly, Nepal, NPL
1.9787842, 2040-2059, cesm1_cam5, Apr Anomaly, Nepal, NPL
2.0364916, 2040-2059, cesm1_cam5, May Anomaly, Nepal, NPL
1.9853351, 2040-2059, cesm1_cam5, Jun Anomaly, Nepal, NPL
2.0210612, 2040-2059, cesm1_cam5, Jul Anomaly, Nepal, NPL
1.7528117, 2040-2059, cesm1_cam5, Aug Anomaly, Nepal, NPL
2.000999, 2040-2059, cesm1_cam5, Sep Anomaly, Nepal, NPL
2.1045482, 2040-2059, cesm1_cam5, Oct Anomaly, Nepal, NPL
2.0196104, 2040-2059, cesm1_cam5, Nov Anomaly, Nepal, NPL
2.22475, 2040-2059, cesm1_cam5, Dec Anomaly, Nepal, NPL
3.4323473, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
3.1053982, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
2.255838, 2040-2059, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
2.1931303, 2040-2059, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
1.985472, 2040-2059, csiro_mk3_6_0, May Anomaly, Nepal, NPL
2.3263423, 2040-2059, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
0.6703701, 2040-2059, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
-0.11441203, 2040-2059, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
-0.5261059, 2040-2059, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
1.0808647, 2040-2059, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
1.9126108, 2040-2059, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
2.478797, 2040-2059, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
2.3355076, 2040-2059, fio_esm, Jan Anomaly, Nepal, NPL
1.9021648, 2040-2059, fio_esm, Feb Anomaly, Nepal, NPL
1.6578141, 2040-2059, fio_esm, Mar Anomaly, Nepal, NPL
1.7652713, 2040-2059, fio_esm, Apr Anomaly, Nepal, NPL
1.7036602, 2040-2059, fio_esm, May Anomaly, Nepal, NPL
2.0871136, 2040-2059, fio_esm, Jun Anomaly, Nepal, NPL
