Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
4.616098, 2060-2079, bcc_csm1_1, Jan Average, Nepal, NPL
7.3129497, 2060-2079, bcc_csm1_1, Feb Average, Nepal, NPL
12.751418, 2060-2079, bcc_csm1_1, Mar Average, Nepal, NPL
18.162033, 2060-2079, bcc_csm1_1, Apr Average, Nepal, NPL
23.112326, 2060-2079, bcc_csm1_1, May Average, Nepal, NPL
26.553776, 2060-2079, bcc_csm1_1, Jun Average, Nepal, NPL
24.324839, 2060-2079, bcc_csm1_1, Jul Average, Nepal, NPL
21.949875, 2060-2079, bcc_csm1_1, Aug Average, Nepal, NPL
21.190924, 2060-2079, bcc_csm1_1, Sep Average, Nepal, NPL
17.844799, 2060-2079, bcc_csm1_1, Oct Average, Nepal, NPL
12.258959, 2060-2079, bcc_csm1_1, Nov Average, Nepal, NPL
6.728957, 2060-2079, bcc_csm1_1, Dec Average, Nepal, NPL
12.222331, 2060-2079, bcc_csm1_1_m, Jan Average, Nepal, NPL
14.245829, 2060-2079, bcc_csm1_1_m, Feb Average, Nepal, NPL
19.826376, 2060-2079, bcc_csm1_1_m, Mar Average, Nepal, NPL
25.40164, 2060-2079, bcc_csm1_1_m, Apr Average, Nepal, NPL
29.318617, 2060-2079, bcc_csm1_1_m, May Average, Nepal, NPL
30.832832, 2060-2079, bcc_csm1_1_m, Jun Average, Nepal, NPL
27.209051, 2060-2079, bcc_csm1_1_m, Jul Average, Nepal, NPL
25.837412, 2060-2079, bcc_csm1_1_m, Aug Average, Nepal, NPL
24.910639, 2060-2079, bcc_csm1_1_m, Sep Average, Nepal, NPL
22.473913, 2060-2079, bcc_csm1_1_m, Oct Average, Nepal, NPL
17.89573, 2060-2079, bcc_csm1_1_m, Nov Average, Nepal, NPL
13.842949, 2060-2079, bcc_csm1_1_m, Dec Average, Nepal, NPL
12.177648, 2060-2079, ccsm4, Jan Average, Nepal, NPL
13.852035, 2060-2079, ccsm4, Feb Average, Nepal, NPL
18.832571, 2060-2079, ccsm4, Mar Average, Nepal, NPL
25.596304, 2060-2079, ccsm4, Apr Average, Nepal, NPL
30.823387, 2060-2079, ccsm4, May Average, Nepal, NPL
29.832287, 2060-2079, ccsm4, Jun Average, Nepal, NPL
26.6011, 2060-2079, ccsm4, Jul Average, Nepal, NPL
26.07681, 2060-2079, ccsm4, Aug Average, Nepal, NPL
24.802528, 2060-2079, ccsm4, Sep Average, Nepal, NPL
21.060936, 2060-2079, ccsm4, Oct Average, Nepal, NPL
17.01819, 2060-2079, ccsm4, Nov Average, Nepal, NPL
13.587092, 2060-2079, ccsm4, Dec Average, Nepal, NPL
11.371965, 2060-2079, cesm1_cam5, Jan Average, Nepal, NPL
