Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.8600075, 2080-2099, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.5219753, 2080-2099, bcc_csm1_1, Feb Anomaly, Nepal, NPL
0.75514054, 2080-2099, bcc_csm1_1, Mar Anomaly, Nepal, NPL
1.4187288, 2080-2099, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.1656605, 2080-2099, bcc_csm1_1, May Anomaly, Nepal, NPL
0.6763987, 2080-2099, bcc_csm1_1, Jun Anomaly, Nepal, NPL
0.78439397, 2080-2099, bcc_csm1_1, Jul Anomaly, Nepal, NPL
-0.28219128, 2080-2099, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.8886138, 2080-2099, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.1827064, 2080-2099, bcc_csm1_1, Oct Anomaly, Nepal, NPL
0.6989374, 2080-2099, bcc_csm1_1, Nov Anomaly, Nepal, NPL
0.88186115, 2080-2099, bcc_csm1_1, Dec Anomaly, Nepal, NPL
0.7262796, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
0.540492, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
0.9545084, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
1.2510506, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
1.497535, 2080-2099, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.668659, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
1.1901512, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
0.989833, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
0.41831234, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.0992272, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.189578, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
1.2417133, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
1.049582, 2080-2099, ccsm4, Jan Anomaly, Nepal, NPL
1.0229522, 2080-2099, ccsm4, Feb Anomaly, Nepal, NPL
1.774901, 2080-2099, ccsm4, Mar Anomaly, Nepal, NPL
1.2834232, 2080-2099, ccsm4, Apr Anomaly, Nepal, NPL
1.6939442, 2080-2099, ccsm4, May Anomaly, Nepal, NPL
1.3119582, 2080-2099, ccsm4, Jun Anomaly, Nepal, NPL
1.1955049, 2080-2099, ccsm4, Jul Anomaly, Nepal, NPL
0.7617923, 2080-2099, ccsm4, Aug Anomaly, Nepal, NPL
0.74080133, 2080-2099, ccsm4, Sep Anomaly, Nepal, NPL
1.110518, 2080-2099, ccsm4, Oct Anomaly, Nepal, NPL
1.1926023, 2080-2099, ccsm4, Nov Anomaly, Nepal, NPL
0.92314655, 2080-2099, ccsm4, Dec Anomaly, Nepal, NPL
2.4129825, 2080-2099, cesm1_cam5, Jan Anomaly, Nepal, NPL
2.2793503, 2080-2099, cesm1_cam5, Feb Anomaly, Nepal, NPL
1.6061523, 2080-2099, cesm1_cam5, Mar Anomaly, Nepal, NPL
1.4769932, 2080-2099, cesm1_cam5, Apr Anomaly, Nepal, NPL
1.4789042, 2080-2099, cesm1_cam5, May Anomaly, Nepal, NPL
2.4289603, 2080-2099, cesm1_cam5, Jun Anomaly, Nepal, NPL
1.9831235, 2080-2099, cesm1_cam5, Jul Anomaly, Nepal, NPL
1.6838701, 2080-2099, cesm1_cam5, Aug Anomaly, Nepal, NPL
1.734399, 2080-2099, cesm1_cam5, Sep Anomaly, Nepal, NPL
1.7084097, 2080-2099, cesm1_cam5, Oct Anomaly, Nepal, NPL
1.6970564, 2080-2099, cesm1_cam5, Nov Anomaly, Nepal, NPL
1.8547211, 2080-2099, cesm1_cam5, Dec Anomaly, Nepal, NPL
2.566837, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
2.4560535, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
1.6586713, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
1.8848944, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
1.8421339, 2080-2099, csiro_mk3_6_0, May Anomaly, Nepal, NPL
2.34866, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
2.4000278, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
1.6260575, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
1.3550326, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
1.8766288, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
2.0536675, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
2.1374812, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
-0.07293817, 2080-2099, fio_esm, Jan Anomaly, Nepal, NPL
0.03098263, 2080-2099, fio_esm, Feb Anomaly, Nepal, NPL
-0.0027225357, 2080-2099, fio_esm, Mar Anomaly, Nepal, NPL
-0.2658197, 2080-2099, fio_esm, Apr Anomaly, Nepal, NPL
-0.33294624, 2080-2099, fio_esm, May Anomaly, Nepal, NPL
0.16588552, 2080-2099, fio_esm, Jun Anomaly, Nepal, NPL
0.7877761, 2080-2099, fio_esm, Jul Anomaly, Nepal, NPL
0.4228626, 2080-2099, fio_esm, Aug Anomaly, Nepal, NPL
0.39972052, 2080-2099, fio_esm, Sep Anomaly, Nepal, NPL
0.15792486, 2080-2099, fio_esm, Oct Anomaly, Nepal, NPL
-0.28967303, 2080-2099, fio_esm, Nov Anomaly, Nepal, NPL
-0.3615668, 2080-2099, fio_esm, Dec Anomaly, Nepal, NPL
3.0424101, 2080-2099, gfdl_cm3, Jan Anomaly, Nepal, NPL
2.5630448, 2080-2099, gfdl_cm3, Feb Anomaly, Nepal, NPL
2.09343, 2080-2099, gfdl_cm3, Mar Anomaly, Nepal, NPL
2.5124896, 2080-2099, gfdl_cm3, Apr Anomaly, Nepal, NPL
3.2266839, 2080-2099, gfdl_cm3, May Anomaly, Nepal, NPL
2.4515574, 2080-2099, gfdl_cm3, Jun Anomaly, Nepal, NPL
2.103621, 2080-2099, gfdl_cm3, Jul Anomaly, Nepal, NPL
2.571272, 2080-2099, gfdl_cm3, Aug Anomaly, Nepal, NPL
2.5422456, 2080-2099, gfdl_cm3, Sep Anomaly, Nepal, NPL
2.3508995, 2080-2099, gfdl_cm3, Oct Anomaly, Nepal, NPL
2.350555, 2080-2099, gfdl_cm3, Nov Anomaly, Nepal, NPL
2.591495, 2080-2099, gfdl_cm3, Dec Anomaly, Nepal, NPL
1.0530593, 2080-2099, gfdl_esm2m, Jan Anomaly, Nepal, NPL
0.15857281, 2080-2099, gfdl_esm2m, Feb Anomaly, Nepal, NPL
