Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-0.0907, 2060-2079, access1_0, Jan Anomaly, NPL
-4.1115, 2060-2079, access1_0, Feb Anomaly, NPL
-3.1055, 2060-2079, access1_0, Mar Anomaly, NPL
0.98731, 2060-2079, access1_0, Apr Anomaly, NPL
4.68757, 2060-2079, access1_0, May Anomaly, NPL
6.76568, 2060-2079, access1_0, Jun Anomaly, NPL
12.8629, 2060-2079, access1_0, Jul Anomaly, NPL
4.38984, 2060-2079, access1_0, Aug Anomaly, NPL
6.20525, 2060-2079, access1_0, Sep Anomaly, NPL
-2.5867, 2060-2079, access1_0, Oct Anomaly, NPL
-2.5293, 2060-2079, access1_0, Nov Anomaly, NPL
-1.8791, 2060-2079, access1_0, Dec Anomaly, NPL
-4.3184, 2060-2079, access1_3, Jan Anomaly, NPL
-2.5956, 2060-2079, access1_3, Feb Anomaly, NPL
-5.0972, 2060-2079, access1_3, Mar Anomaly, NPL
2.07604, 2060-2079, access1_3, Apr Anomaly, NPL
4.25593, 2060-2079, access1_3, May Anomaly, NPL
12.9649, 2060-2079, access1_3, Jun Anomaly, NPL
17.153, 2060-2079, access1_3, Jul Anomaly, NPL
16.8192, 2060-2079, access1_3, Aug Anomaly, NPL
7.95489, 2060-2079, access1_3, Sep Anomaly, NPL
0.62659, 2060-2079, access1_3, Oct Anomaly, NPL
-1.0852, 2060-2079, access1_3, Nov Anomaly, NPL
-0.7004, 2060-2079, access1_3, Dec Anomaly, NPL
-6.3523, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
3.26771, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.9505, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-3.2058, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-3.5738, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.9569, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
12.4338, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.941, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
12.0591, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
7.25572, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.30337, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-2.8262, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.11931, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
4.75419, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.20968, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-1.5612, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.42851, 2060-2079, bcc_csm1_1, May Anomaly, NPL
10.0486, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
5.21666, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
11.5702, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
13.5527, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-4.3501, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
6.56369, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
2.99893, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-3.7085, 2060-2079, bnu_esm, Jan Anomaly, NPL
-2.3351, 2060-2079, bnu_esm, Feb Anomaly, NPL
-1.3307, 2060-2079, bnu_esm, Mar Anomaly, NPL
1.80256, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.8738, 2060-2079, bnu_esm, May Anomaly, NPL
3.11304, 2060-2079, bnu_esm, Jun Anomaly, NPL
11.133, 2060-2079, bnu_esm, Jul Anomaly, NPL
12.4347, 2060-2079, bnu_esm, Aug Anomaly, NPL
9.53917, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.50304, 2060-2079, bnu_esm, Oct Anomaly, NPL
-1.3422, 2060-2079, bnu_esm, Nov Anomaly, NPL
3.62723, 2060-2079, bnu_esm, Dec Anomaly, NPL
0.71769, 2060-2079, canesm2, Jan Anomaly, NPL
-3.0715, 2060-2079, canesm2, Feb Anomaly, NPL
3.61217, 2060-2079, canesm2, Mar Anomaly, NPL
6.55215, 2060-2079, canesm2, Apr Anomaly, NPL
-0.1337, 2060-2079, canesm2, May Anomaly, NPL
1.87079, 2060-2079, canesm2, Jun Anomaly, NPL
25.7528, 2060-2079, canesm2, Jul Anomaly, NPL
17.838, 2060-2079, canesm2, Aug Anomaly, NPL
7.50217, 2060-2079, canesm2, Sep Anomaly, NPL
7.66686, 2060-2079, canesm2, Oct Anomaly, NPL
-0.058, 2060-2079, canesm2, Nov Anomaly, NPL
0.32848, 2060-2079, canesm2, Dec Anomaly, NPL
8.10114, 2060-2079, ccsm4, Jan Anomaly, NPL
-2.9804, 2060-2079, ccsm4, Feb Anomaly, NPL
-5.0138, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.2061, 2060-2079, ccsm4, Apr Anomaly, NPL
1.71487, 2060-2079, ccsm4, May Anomaly, NPL
-0.1656, 2060-2079, ccsm4, Jun Anomaly, NPL
10.5481, 2060-2079, ccsm4, Jul Anomaly, NPL
18.8204, 2060-2079, ccsm4, Aug Anomaly, NPL
25.5525, 2060-2079, ccsm4, Sep Anomaly, NPL
3.22857, 2060-2079, ccsm4, Oct Anomaly, NPL
-6.2486, 2060-2079, ccsm4, Nov Anomaly, NPL
-21.949, 2060-2079, ccsm4, Dec Anomaly, NPL
2.3523, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
1.0228, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-3.9925, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-2.7124, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-3.3882, 2060-2079, cesm1_bgc, May Anomaly, NPL
-25.504, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
