Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.04, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.2321, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1797, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
0.03125, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.02484, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.12167, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0348, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.3475, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.43462, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.0155, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0305, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.1372, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0423, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.1662, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0812, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.15601, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.03587, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.13719, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
1.24034, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.20822, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.52317, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.3189, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.02658, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.24563, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-0.0081, 2020-2039, bnu_esm, Jan Anomaly, NPL
-0.141, 2020-2039, bnu_esm, Feb Anomaly, NPL
0.00511, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.1172, 2020-2039, bnu_esm, Apr Anomaly, NPL
0.13744, 2020-2039, bnu_esm, May Anomaly, NPL
-0.0585, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.60291, 2020-2039, bnu_esm, Jul Anomaly, NPL
2.04546, 2020-2039, bnu_esm, Aug Anomaly, NPL
1.48266, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.0181, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.0321, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.0636, 2020-2039, bnu_esm, Dec Anomaly, NPL
-0.0174, 2020-2039, canesm2, Jan Anomaly, NPL
-0.0625, 2020-2039, canesm2, Feb Anomaly, NPL
0.21179, 2020-2039, canesm2, Mar Anomaly, NPL
-0.004, 2020-2039, canesm2, Apr Anomaly, NPL
0.04961, 2020-2039, canesm2, May Anomaly, NPL
0.61462, 2020-2039, canesm2, Jun Anomaly, NPL
1.36122, 2020-2039, canesm2, Jul Anomaly, NPL
0.68303, 2020-2039, canesm2, Aug Anomaly, NPL
0.16047, 2020-2039, canesm2, Sep Anomaly, NPL
0.25262, 2020-2039, canesm2, Oct Anomaly, NPL
-0.0274, 2020-2039, canesm2, Nov Anomaly, NPL
0.27259, 2020-2039, canesm2, Dec Anomaly, NPL
1.03321, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.2566, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.27, 2020-2039, ccsm4, Mar Anomaly, NPL
0.00719, 2020-2039, ccsm4, Apr Anomaly, NPL
-0.0908, 2020-2039, ccsm4, May Anomaly, NPL
0.46303, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.1396, 2020-2039, ccsm4, Jul Anomaly, NPL
1.14798, 2020-2039, ccsm4, Aug Anomaly, NPL
0.38109, 2020-2039, ccsm4, Sep Anomaly, NPL
0.12907, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.2271, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.7911, 2020-2039, ccsm4, Dec Anomaly, NPL
-0.1628, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.08647, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.06297, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.06202, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-0.4614, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.1728, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
1.72142, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.04421, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.30926, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.70126, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.10524, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.1179, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-0.3504, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-0.019, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-0.0878, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
-0.0372, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-0.0855, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.30752, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
0.49061, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
0.02013, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.0772, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-0.007, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
-0.3416, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-0.0056, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
0.12556, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2874, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0098, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.013, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.04422, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.3315, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.7473, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.2892, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.18368, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.07009, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.12154, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-0.0866, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
0.33022, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.15432, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.02819, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
0.05091, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.0044, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.12579, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.68973, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.18405, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.2022, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.0562, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.1781, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-0.4073, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.1649, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
-0.0615, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.00796, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.00762, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
0.0853, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-0.7388, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
1.83284, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
