Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.00751, 2020-2039, access1_0, Mar Anomaly, NPL
0.16273, 2020-2039, access1_0, Apr Anomaly, NPL
0.1122, 2020-2039, access1_0, May Anomaly, NPL
-0.7096, 2020-2039, access1_0, Jun Anomaly, NPL
-0.036, 2020-2039, access1_0, Jul Anomaly, NPL
0.01164, 2020-2039, access1_0, Aug Anomaly, NPL
3.5E-4, 2020-2039, access1_0, Sep Anomaly, NPL
0.02323, 2020-2039, access1_3, Mar Anomaly, NPL
0.739, 2020-2039, access1_3, Apr Anomaly, NPL
-0.2073, 2020-2039, access1_3, May Anomaly, NPL
0.01253, 2020-2039, access1_3, Jun Anomaly, NPL
0.00102, 2020-2039, access1_3, Jul Anomaly, NPL
-0.0123, 2020-2039, access1_3, Aug Anomaly, NPL
-0.0345, 2020-2039, access1_3, Sep Anomaly, NPL
-9.0E-4, 2020-2039, access1_3, Oct Anomaly, NPL
0.00329, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
0.42465, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.35323, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.92901, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.06574, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.04264, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.03857, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.02414, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.09204, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.70042, 2020-2039, bcc_csm1_1, May Anomaly, NPL
1.33402, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
1.75773, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.41553, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.07801, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.01682, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.00117, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.08753, 2020-2039, bnu_esm, Apr Anomaly, NPL
0.87193, 2020-2039, bnu_esm, May Anomaly, NPL
1.85359, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.40153, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.07346, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.02109, 2020-2039, bnu_esm, Sep Anomaly, NPL
-4.0E-4, 2020-2039, bnu_esm, Oct Anomaly, NPL
8.1E-4, 2020-2039, canesm2, Mar Anomaly, NPL
0.1412, 2020-2039, canesm2, Apr Anomaly, NPL
0.80624, 2020-2039, canesm2, May Anomaly, NPL
1.19479, 2020-2039, canesm2, Jun Anomaly, NPL
1.70933, 2020-2039, canesm2, Jul Anomaly, NPL
-0.0016, 2020-2039, canesm2, Aug Anomaly, NPL
0.0077, 2020-2039, canesm2, Sep Anomaly, NPL
0.00578, 2020-2039, ccsm4, Mar Anomaly, NPL
0.60092, 2020-2039, ccsm4, Apr Anomaly, NPL
0.96592, 2020-2039, ccsm4, May Anomaly, NPL
0.85194, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.0026, 2020-2039, ccsm4, Jul Anomaly, NPL
-9.0E-4, 2020-2039, ccsm4, Aug Anomaly, NPL
0.0031, 2020-2039, ccsm4, Sep Anomaly, NPL
0.00205, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
0.34993, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
1.19211, 2020-2039, cesm1_bgc, May Anomaly, NPL
1.08485, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
0.05131, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
0.00214, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
0.00262, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.04913, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.55276, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.50736, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.25244, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.30446, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
2.7E-4, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
5.1E-4, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.00256, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-0.0112, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
0.57181, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
0.36177, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.03084, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
0.01225, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.0044, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
2.4E-4, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.27265, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.06222, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
0.99581, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.66598, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.32251, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.03732, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.02461, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
0.84827, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
1.65877, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.6757, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.17814, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
4.2E-4, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
0.02244, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.53436, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.33801, 2020-2039, gfdl_esm2g, May Anomaly, NPL
1.97055, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.36126, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.04465, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.0032, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
