FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2eba,40665,4,4,30,1940,147.99,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ebb,40666,4,4,30,1940,129.6,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ebc,40667,4,4,30,1940,94.29,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ebd,40668,4,4,30,1940,103.7,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ebe,40669,4,4,30,1940,88.4,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ebf,40670,4,4,30,1940,63.3,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec0,40671,4,4,30,1940,71.7,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec1,40672,4,4,30,1940,74.1,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec2,40673,4,4,30,1940,74.4,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec3,40674,4,4,30,1940,66.99,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec4,40675,4,4,30,1940,67.59,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec5,40676,4,4,30,1940,68.6,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec6,40677,4,4,30,1940,82.1,POINT (9601306.080919845 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec7,40678,4,4,30,1940,78.6,POINT (9656965.826316481 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec8,40679,4,4,30,1940,63.69,POINT (9712625.57171312 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ec9,40680,4,4,30,1940,66.5,POINT (9768285.317109756 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2eca,41295,4,4,30,1940,192.69,POINT (8933389.136160204 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ecb,41296,4,4,30,1940,185,POINT (8989048.88155684 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ecc,41297,4,4,30,1940,174.2,POINT (9044708.626953477 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ecd,41298,4,4,30,1940,152.6,POINT (9100368.372350115 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ece,41299,4,4,30,1940,138.69,POINT (9156028.117746752 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ecf,41300,4,4,30,1940,120.39,POINT (9211687.863143386 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed0,41301,4,4,30,1940,77,POINT (9267347.608540025 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed1,41302,4,4,30,1940,78.39,POINT (9323007.353936663 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed2,41303,4,4,30,1940,67.5,POINT (9378667.099333297 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed3,41304,4,4,30,1940,55.7,POINT (9434326.844729934 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed4,41305,4,4,30,1940,56.1,POINT (9489986.590126572 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed5,41306,4,4,30,1940,68.1,POINT (9545646.335523209 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed6,41307,4,4,30,1940,63.3,POINT (9601306.080919845 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed7,41308,4,4,30,1940,65.19,POINT (9656965.826316481 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed8,41309,4,4,30,1940,68.19,POINT (9712625.57171312 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ed9,41310,4,4,30,1940,79.5,POINT (9768285.317109756 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2eda,40335,4,4,30,1940,97.1,POINT (8933389.136160204 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2edb,40336,4,4,30,1940,76.4,POINT (8989048.88155684 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2edc,40337,4,4,30,1940,64.1,POINT (9044708.626953477 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2edd,40338,4,4,30,1940,74.6,POINT (9100368.372350115 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ede,40339,4,4,30,1940,68.4,POINT (9156028.117746752 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2edf,40340,4,4,30,1940,74.7,POINT (9211687.863143386 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a385bd859_2ee0,40341,4,4,30,1940,74.4,POINT (9267347.608540025 3535725.659799159)
