FID,id_punto,mes,mes_etiqueta,n_period,period,temp_min_normal,geom
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30ba,40665,4,4,30,1950,12.16,POINT (8933389.136160204 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30bb,40666,4,4,30,1950,6.68,POINT (8989048.88155684 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30bc,40667,4,4,30,1950,-4.19,POINT (9044708.626953477 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30bd,40668,4,4,30,1950,-2.17,POINT (9100368.372350115 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30be,40669,4,4,30,1950,-6.24,POINT (9156028.117746752 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30bf,40670,4,4,30,1950,-12.81,POINT (9211687.863143386 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c0,40671,4,4,30,1950,-10.61,POINT (9267347.608540025 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c1,40672,4,4,30,1950,-10.09,POINT (9323007.353936663 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c2,40673,4,4,30,1950,-10.05,POINT (9378667.099333297 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c3,40674,4,4,30,1950,-12.32,POINT (9434326.844729934 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c4,40675,4,4,30,1950,-12.2,POINT (9489986.590126572 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c5,40676,4,4,30,1950,-12.18,POINT (9545646.335523209 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c6,40677,4,4,30,1950,-9.06,POINT (9601306.080919845 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c7,40678,4,4,30,1950,-9.93,POINT (9656965.826316481 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c8,40679,4,4,30,1950,-13.92,POINT (9712625.57171312 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30c9,40680,4,4,30,1950,-12.88,POINT (9768285.317109756 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30ca,41295,4,4,30,1950,20.3,POINT (8933389.136160204 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30cb,41296,4,4,30,1950,19.13,POINT (8989048.88155684 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30cc,41297,4,4,30,1950,17.44,POINT (9044708.626953477 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30cd,41298,4,4,30,1950,12.37,POINT (9100368.372350115 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30ce,41299,4,4,30,1950,9.2,POINT (9156028.117746752 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30cf,41300,4,4,30,1950,2.35,POINT (9211687.863143386 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d0,41301,4,4,30,1950,-9.15,POINT (9267347.608540025 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d1,41302,4,4,30,1950,-8.92,POINT (9323007.353936663 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d2,41303,4,4,30,1950,-12.08,POINT (9378667.099333297 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d3,41304,4,4,30,1950,-15.56,POINT (9434326.844729934 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d4,41305,4,4,30,1950,-15.36,POINT (9489986.590126572 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d5,41306,4,4,30,1950,-12.44,POINT (9545646.335523209 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d6,41307,4,4,30,1950,-14,POINT (9601306.080919845 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d7,41308,4,4,30,1950,-13.57,POINT (9656965.826316481 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d8,41309,4,4,30,1950,-12.77,POINT (9712625.57171312 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30d9,41310,4,4,30,1950,-9.63,POINT (9768285.317109756 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30da,40335,4,4,30,1950,-3.03,POINT (8933389.136160204 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30db,40336,4,4,30,1950,-8.71,POINT (8989048.88155684 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30dc,40337,4,4,30,1950,-12.29,POINT (9044708.626953477 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30dd,40338,4,4,30,1950,-9.68,POINT (9100368.372350115 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30de,40339,4,4,30,1950,-11.48,POINT (9156028.117746752 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30df,40340,4,4,30,1950,-9.94,POINT (9211687.863143386 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e0,40341,4,4,30,1950,-9.9,POINT (9267347.608540025 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e1,40342,4,4,30,1950,-11.97,POINT (9323007.353936663 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e2,40343,4,4,30,1950,-13.98,POINT (9378667.099333297 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e3,40344,4,4,30,1950,-14.03,POINT (9434326.844729934 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e4,40345,4,4,30,1950,-14.71,POINT (9489986.590126572 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e5,40346,4,4,30,1950,-13.69,POINT (9545646.335523209 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e6,40347,4,4,30,1950,-12.27,POINT (9601306.080919845 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e7,40348,4,4,30,1950,-11.75,POINT (9656965.826316481 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a385bd859_30e8,40349,4,4,30,1950,-12.32,POINT (9712625.57171312 3535725.659799159)
