FID,id_punto,mes,mes_etiqueta,n_period,period,pre_normal,geom
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6edc,40665,8,8,30,1930,330,POINT (8933389.136160204 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6edd,40666,8,8,30,1930,268.17,POINT (8989048.88155684 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ede,40667,8,8,30,1930,193.58,POINT (9044708.626953477 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6edf,40668,8,8,30,1930,210.58,POINT (9100368.372350115 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee0,40669,8,8,30,1930,195.67,POINT (9156028.117746752 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee1,40670,8,8,30,1930,164.09,POINT (9211687.863143386 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee2,40671,8,8,30,1930,185.87,POINT (9267347.608540025 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee3,40672,8,8,30,1930,199.79,POINT (9323007.353936663 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee4,40673,8,8,30,1930,210.09,POINT (9378667.099333297 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee5,40674,8,8,30,1930,199.27,POINT (9434326.844729934 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee6,40675,8,8,30,1930,205.29,POINT (9489986.590126572 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee7,40676,8,8,30,1930,212.19,POINT (9545646.335523209 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee8,40677,8,8,30,1930,241.16,POINT (9601306.080919845 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ee9,40678,8,8,30,1930,225.59,POINT (9656965.826316481 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eea,40679,8,8,30,1930,192.28,POINT (9712625.57171312 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eeb,40680,8,8,30,1930,192.47,POINT (9768285.317109756 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eec,41295,8,8,30,1930,412.54,POINT (8933389.136160204 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eed,41296,8,8,30,1930,431.95,POINT (8989048.88155684 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eee,41297,8,8,30,1930,416.56,POINT (9044708.626953477 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eef,41298,8,8,30,1930,372.15,POINT (9100368.372350115 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef0,41299,8,8,30,1930,362.87,POINT (9156028.117746752 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef1,41300,8,8,30,1930,305.79,POINT (9211687.863143386 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef2,41301,8,8,30,1930,228.98,POINT (9267347.608540025 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef3,41302,8,8,30,1930,241.3,POINT (9323007.353936663 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef4,41303,8,8,30,1930,224.93,POINT (9378667.099333297 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef5,41304,8,8,30,1930,205.3,POINT (9434326.844729934 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef6,41305,8,8,30,1930,207.85,POINT (9489986.590126572 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef7,41306,8,8,30,1930,244.37,POINT (9545646.335523209 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef8,41307,8,8,30,1930,233.51,POINT (9601306.080919845 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6ef9,41308,8,8,30,1930,238.28,POINT (9656965.826316481 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6efa,41309,8,8,30,1930,238.27,POINT (9712625.57171312 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6efb,41310,8,8,30,1930,253.38,POINT (9768285.317109756 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6efc,40335,8,8,30,1930,182.98,POINT (8933389.136160204 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6efd,40336,8,8,30,1930,147.63,POINT (8989048.88155684 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6efe,40337,8,8,30,1930,133.97,POINT (9044708.626953477 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6eff,40338,8,8,30,1930,151.09,POINT (9100368.372350115 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f00,40339,8,8,30,1930,148.33,POINT (9156028.117746752 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f01,40340,8,8,30,1930,163.65,POINT (9211687.863143386 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f02,40341,8,8,30,1930,175.82,POINT (9267347.608540025 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f03,40342,8,8,30,1930,171.96,POINT (9323007.353936663 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f04,40343,8,8,30,1930,164.55,POINT (9378667.099333297 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f05,40344,8,8,30,1930,168.06,POINT (9434326.844729934 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f06,40345,8,8,30,1930,168.06,POINT (9489986.590126572 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f07,40346,8,8,30,1930,183.73,POINT (9545646.335523209 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f08,40347,8,8,30,1930,195.59,POINT (9601306.080919845 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f09,40348,8,8,30,1930,193.36,POINT (9656965.826316481 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0a,40349,8,8,30,1930,183.56,POINT (9712625.57171312 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0b,40350,8,8,30,1930,170,POINT (9768285.317109756 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0c,42530,8,8,30,1930,262.16,POINT (8933389.136160204 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0d,42531,8,8,30,1930,289.64,POINT (8989048.88155684 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0e,42532,8,8,30,1930,295.13,POINT (9044708.626953477 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f0f,42533,8,8,30,1930,314.66,POINT (9100368.372350115 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f10,42534,8,8,30,1930,337.08,POINT (9156028.117746752 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f11,42535,8,8,30,1930,345.2,POINT (9211687.863143386 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f12,42536,8,8,30,1930,381.81,POINT (9267347.608540025 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f13,42537,8,8,30,1930,436.3,POINT (9323007.353936663 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f14,42538,8,8,30,1930,464.85,POINT (9378667.099333297 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f15,42539,8,8,30,1930,470.78,POINT (9434326.844729934 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f16,42540,8,8,30,1930,464.65,POINT (9489986.590126572 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f17,42541,8,8,30,1930,456.72,POINT (9545646.335523209 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f18,42542,8,8,30,1930,406.24,POINT (9601306.080919845 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f19,42543,8,8,30,1930,367.86,POINT (9656965.826316481 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1a,42544,8,8,30,1930,392.48,POINT (9712625.57171312 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1b,42545,8,8,30,1930,469.5,POINT (9768285.317109756 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1c,40981,8,8,30,1930,388.93,POINT (8933389.136160204 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1d,40982,8,8,30,1930,344.29,POINT (8989048.88155684 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1e,40983,8,8,30,1930,292.8,POINT (9044708.626953477 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_6f1f,40984,8,8,30,1930,269.24,POINT (9100368.372350115 3407504.076175717)
