FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75dc,40665,8,8,30,1950,93.2,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75dd,40666,8,8,30,1950,86.6,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75de,40667,8,8,30,1950,94.29,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75df,40668,8,8,30,1950,90.3,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e0,40669,8,8,30,1950,97.7,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e1,40670,8,8,30,1950,87.9,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e2,40671,8,8,30,1950,93.69,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e3,40672,8,8,30,1950,95.4,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e4,40673,8,8,30,1950,95.1,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e5,40674,8,8,30,1950,88.59,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e6,40675,8,8,30,1950,90.39,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e7,40676,8,8,30,1950,90.2,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e8,40677,8,8,30,1950,96.39,POINT (9601306.080919845 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75e9,40678,8,8,30,1950,95,POINT (9656965.826316481 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ea,40679,8,8,30,1950,83.79,POINT (9712625.57171312 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75eb,40680,8,8,30,1950,86.3,POINT (9768285.317109756 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ec,41295,8,8,30,1950,120.8,POINT (8933389.136160204 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ed,41296,8,8,30,1950,113.9,POINT (8989048.88155684 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ee,41297,8,8,30,1950,106.7,POINT (9044708.626953477 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ef,41298,8,8,30,1950,92.19,POINT (9100368.372350115 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f0,41299,8,8,30,1950,85.1,POINT (9156028.117746752 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f1,41300,8,8,30,1950,82.2,POINT (9211687.863143386 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f2,41301,8,8,30,1950,93.6,POINT (9267347.608540025 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f3,41302,8,8,30,1950,93.8,POINT (9323007.353936663 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f4,41303,8,8,30,1950,86.1,POINT (9378667.099333297 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f5,41304,8,8,30,1950,76.5,POINT (9434326.844729934 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f6,41305,8,8,30,1950,75.69,POINT (9489986.590126572 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f7,41306,8,8,30,1950,85.4,POINT (9545646.335523209 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f8,41307,8,8,30,1950,80.7,POINT (9601306.080919845 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75f9,41308,8,8,30,1950,81.99,POINT (9656965.826316481 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75fa,41309,8,8,30,1950,84.2,POINT (9712625.57171312 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75fb,41310,8,8,30,1950,85.59,POINT (9768285.317109756 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75fc,40335,8,8,30,1950,94.8,POINT (8933389.136160204 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75fd,40336,8,8,30,1950,100.89,POINT (8989048.88155684 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75fe,40337,8,8,30,1950,91.29,POINT (9044708.626953477 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_75ff,40338,8,8,30,1950,98.9,POINT (9100368.372350115 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7600,40339,8,8,30,1950,94.2,POINT (9156028.117746752 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7601,40340,8,8,30,1950,99.09,POINT (9211687.863143386 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7602,40341,8,8,30,1950,98.49,POINT (9267347.608540025 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7603,40342,8,8,30,1950,93.09,POINT (9323007.353936663 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7604,40343,8,8,30,1950,87.09,POINT (9378667.099333297 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7605,40344,8,8,30,1950,85.4,POINT (9434326.844729934 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7606,40345,8,8,30,1950,84.2,POINT (9489986.590126572 3535725.659799159)
