FID,id_punto,mes,mes_etiqueta,n_period,period,temp_min_normal,geom
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c1,40665,13,autum,30,1970,11.49,POINT (8933389.136160204 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c2,40666,13,autum,30,1970,6.46,POINT (8989048.88155684 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c3,40667,13,autum,30,1970,-3.47,POINT (9044708.626953477 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c4,40668,13,autum,30,1970,-1.46,POINT (9100368.372350115 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c5,40669,13,autum,30,1970,-5.16,POINT (9156028.117746752 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c6,40670,13,autum,30,1970,-11.17,POINT (9211687.863143386 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c7,40671,13,autum,30,1970,-9.05,POINT (9267347.608540025 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c8,40672,13,autum,30,1970,-8.7,POINT (9323007.353936663 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63c9,40673,13,autum,30,1970,-8.6,POINT (9378667.099333297 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63ca,40674,13,autum,30,1970,-10.73,POINT (9434326.844729934 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63cb,40675,13,autum,30,1970,-10.62,POINT (9489986.590126572 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63cc,40676,13,autum,30,1970,-10.62,POINT (9545646.335523209 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63cd,40677,13,autum,30,1970,-7.64,POINT (9601306.080919845 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63ce,40678,13,autum,30,1970,-8.54,POINT (9656965.826316481 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63cf,40679,13,autum,30,1970,-12.3,POINT (9712625.57171312 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d0,40680,13,autum,30,1970,-11.45,POINT (9768285.317109756 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d1,41295,13,autum,30,1970,18.83,POINT (8933389.136160204 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d2,41296,13,autum,30,1970,17.9,POINT (8989048.88155684 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d3,41297,13,autum,30,1970,16.51,POINT (9044708.626953477 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d4,41298,13,autum,30,1970,11.94,POINT (9100368.372350115 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d5,41299,13,autum,30,1970,9.14,POINT (9156028.117746752 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d6,41300,13,autum,30,1970,2.95,POINT (9211687.863143386 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d7,41301,13,autum,30,1970,-7.86,POINT (9267347.608540025 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d8,41302,13,autum,30,1970,-7.55,POINT (9323007.353936663 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63d9,41303,13,autum,30,1970,-10.44,POINT (9378667.099333297 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63da,41304,13,autum,30,1970,-13.71,POINT (9434326.844729934 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63db,41305,13,autum,30,1970,-13.71,POINT (9489986.590126572 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63dc,41306,13,autum,30,1970,-10.86,POINT (9545646.335523209 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63dd,41307,13,autum,30,1970,-12.44,POINT (9601306.080919845 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63de,41308,13,autum,30,1970,-12.04,POINT (9656965.826316481 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63df,41309,13,autum,30,1970,-11.42,POINT (9712625.57171312 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e0,41310,13,autum,30,1970,-8.48,POINT (9768285.317109756 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e1,40335,13,autum,30,1970,-2.29,POINT (8933389.136160204 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e2,40336,13,autum,30,1970,-7.5,POINT (8989048.88155684 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e3,40337,13,autum,30,1970,-10.88,POINT (9044708.626953477 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e4,40338,13,autum,30,1970,-8.38,POINT (9100368.372350115 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e5,40339,13,autum,30,1970,-9.98,POINT (9156028.117746752 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e6,40340,13,autum,30,1970,-8.63,POINT (9211687.863143386 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e7,40341,13,autum,30,1970,-8.48,POINT (9267347.608540025 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e8,40342,13,autum,30,1970,-10.43,POINT (9323007.353936663 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63e9,40343,13,autum,30,1970,-12.41,POINT (9378667.099333297 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_63ea,40344,13,autum,30,1970,-12.41,POINT (9434326.844729934 3535725.659799159)
