FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b3e,40665,3,3,30,1940,107.49,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b3f,40666,3,3,30,1940,98.4,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b40,40667,3,3,30,1940,70.29,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b41,40668,3,3,30,1940,78.69,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b42,40669,3,3,30,1940,66.3,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b43,40670,3,3,30,1940,47.1,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b44,40671,3,3,30,1940,53,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b45,40672,3,3,30,1940,55.29,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b46,40673,3,3,30,1940,55.59,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b47,40674,3,3,30,1940,49.4,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b48,40675,3,3,30,1940,50.3,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b49,40676,3,3,30,1940,50.6,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b4a,40677,3,3,30,1940,60.99,POINT (9601306.080919845 3471454.9819268296)
