FID,id_punto,mes,mes_etiqueta,n_period,period,temp_min_normal,geom
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ade,40665,3,3,30,1990,7.57,POINT (8933389.136160204 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_adf,40666,3,3,30,1990,2.41,POINT (8989048.88155684 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae0,40667,3,3,30,1990,-8.36,POINT (9044708.626953477 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae1,40668,3,3,30,1990,-6.36,POINT (9100368.372350115 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae2,40669,3,3,30,1990,-10.42,POINT (9156028.117746752 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae3,40670,3,3,30,1990,-16.97,POINT (9211687.863143386 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae4,40671,3,3,30,1990,-14.92,POINT (9267347.608540025 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae5,40672,3,3,30,1990,-14.63,POINT (9323007.353936663 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae6,40673,3,3,30,1990,-14.65,POINT (9378667.099333297 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae7,40674,3,3,30,1990,-16.93,POINT (9434326.844729934 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae8,40675,3,3,30,1990,-16.87,POINT (9489986.590126572 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_ae9,40676,3,3,30,1990,-17.11,POINT (9545646.335523209 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aea,40677,3,3,30,1990,-14.2,POINT (9601306.080919845 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aeb,40678,3,3,30,1990,-15.2,POINT (9656965.826316481 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aec,40679,3,3,30,1990,-19.2,POINT (9712625.57171312 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aed,40680,3,3,30,1990,-18.05,POINT (9768285.317109756 3471454.9819268296)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aee,41295,3,3,30,1990,14.54,POINT (8933389.136160204 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aef,41296,3,3,30,1990,13.65,POINT (8989048.88155684 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af0,41297,3,3,30,1990,12.15,POINT (9044708.626953477 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af1,41298,3,3,30,1990,7.65,POINT (9100368.372350115 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af2,41299,3,3,30,1990,4.75,POINT (9156028.117746752 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af3,41300,3,3,30,1990,-1.89,POINT (9211687.863143386 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af4,41301,3,3,30,1990,-13.27,POINT (9267347.608540025 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af5,41302,3,3,30,1990,-13.29,POINT (9323007.353936663 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af6,41303,3,3,30,1990,-16.55,POINT (9378667.099333297 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af7,41304,3,3,30,1990,-19.95,POINT (9434326.844729934 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af8,41305,3,3,30,1990,-20.04,POINT (9489986.590126572 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_af9,41306,3,3,30,1990,-17.32,POINT (9545646.335523209 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_afa,41307,3,3,30,1990,-19.12,POINT (9601306.080919845 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_afb,41308,3,3,30,1990,-18.63,POINT (9656965.826316481 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_afc,41309,3,3,30,1990,-18,POINT (9712625.57171312 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_afd,41310,3,3,30,1990,-14.9,POINT (9768285.317109756 3343864.953833735)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_afe,40335,3,3,30,1990,-6.86,POINT (8933389.136160204 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_aff,40336,3,3,30,1990,-12.63,POINT (8989048.88155684 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b00,40337,3,3,30,1990,-16.33,POINT (9044708.626953477 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b01,40338,3,3,30,1990,-13.8,POINT (9100368.372350115 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b02,40339,3,3,30,1990,-15.6,POINT (9156028.117746752 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b03,40340,3,3,30,1990,-14.41,POINT (9211687.863143386 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b04,40341,3,3,30,1990,-14.26,POINT (9267347.608540025 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b05,40342,3,3,30,1990,-16.37,POINT (9323007.353936663 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b06,40343,3,3,30,1990,-18.57,POINT (9378667.099333297 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b07,40344,3,3,30,1990,-18.7,POINT (9434326.844729934 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b08,40345,3,3,30,1990,-19.45,POINT (9489986.590126572 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b09,40346,3,3,30,1990,-18.7,POINT (9545646.335523209 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0a,40347,3,3,30,1990,-17.31,POINT (9601306.080919845 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0b,40348,3,3,30,1990,-16.95,POINT (9656965.826316481 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0c,40349,3,3,30,1990,-17.64,POINT (9712625.57171312 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0d,40350,3,3,30,1990,-18.66,POINT (9768285.317109756 3535725.659799159)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0e,42530,3,3,30,1990,15.68,POINT (8933389.136160204 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b0f,42531,3,3,30,1990,15.8,POINT (8989048.88155684 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b10,42532,3,3,30,1990,15.75,POINT (9044708.626953477 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b11,42533,3,3,30,1990,15.81,POINT (9100368.372350115 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b12,42534,3,3,30,1990,15.78,POINT (9156028.117746752 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b13,42535,3,3,30,1990,15.89,POINT (9211687.863143386 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b14,42536,3,3,30,1990,15.93,POINT (9267347.608540025 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b15,42537,3,3,30,1990,15.79,POINT (9323007.353936663 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b16,42538,3,3,30,1990,15.74,POINT (9378667.099333297 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b17,42539,3,3,30,1990,15.59,POINT (9434326.844729934 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b18,42540,3,3,30,1990,15.3,POINT (9489986.590126572 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b19,42541,3,3,30,1990,14.86,POINT (9545646.335523209 3092272.122885534)
temp_min_normales_espacial_p.fid--5ff12b53_17a38322e0b_b1a,42542,3,3,30,1990,14.44,POINT (9601306.080919845 3092272.122885534)
