FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_142b,40665,10,10,30,1940,83.79,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_142c,40666,10,10,30,1940,75.09,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_142d,40667,10,10,30,1940,63.9,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_142e,40668,10,10,30,1940,69.09,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_142f,40669,10,10,30,1940,60.8,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1430,40670,10,10,30,1940,48.6,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1431,40671,10,10,30,1940,52.8,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1432,40672,10,10,30,1940,54.3,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1433,40673,10,10,30,1940,54.6,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1434,40674,10,10,30,1940,50.49,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1435,40675,10,10,30,1940,51.3,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1436,40676,10,10,30,1940,51.5,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1437,40677,10,10,30,1940,59.49,POINT (9601306.080919845 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1438,40678,10,10,30,1940,59.3,POINT (9656965.826316481 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1439,40679,10,10,30,1940,50.49,POINT (9712625.57171312 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143a,40680,10,10,30,1940,52.1,POINT (9768285.317109756 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143b,41295,10,10,30,1940,109.7,POINT (8933389.136160204 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143c,41296,10,10,30,1940,102.5,POINT (8989048.88155684 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143d,41297,10,10,30,1940,96.2,POINT (9044708.626953477 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143e,41298,10,10,30,1940,82.2,POINT (9100368.372350115 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_143f,41299,10,10,30,1940,75.39,POINT (9156028.117746752 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1440,41300,10,10,30,1940,67.89,POINT (9211687.863143386 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1441,41301,10,10,30,1940,55.7,POINT (9267347.608540025 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1442,41302,10,10,30,1940,56.6,POINT (9323007.353936663 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1443,41303,10,10,30,1940,50.3,POINT (9378667.099333297 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1444,41304,10,10,30,1940,43.59,POINT (9434326.844729934 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1445,41305,10,10,30,1940,43.7,POINT (9489986.590126572 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1446,41306,10,10,30,1940,51.2,POINT (9545646.335523209 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1447,41307,10,10,30,1940,49.1,POINT (9601306.080919845 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1448,41308,10,10,30,1940,51.2,POINT (9656965.826316481 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_1449,41309,10,10,30,1940,52.59,POINT (9712625.57171312 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_144a,41310,10,10,30,1940,60.39,POINT (9768285.317109756 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_144b,40335,10,10,30,1940,68,POINT (8933389.136160204 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_144c,40336,10,10,30,1940,55.89,POINT (8989048.88155684 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_144d,40337,10,10,30,1940,48.3,POINT (9044708.626953477 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c66ba90_144e,40338,10,10,30,1940,54.6,POINT (9100368.372350115 3535725.659799159)
