FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d29,40665,16,summer,30,1990,109.46,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d28,40666,16,summer,30,1990,99.3,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d27,40667,16,summer,30,1990,104.76,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d26,40668,16,summer,30,1990,101.26,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d25,40669,16,summer,30,1990,106.96,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d24,40670,16,summer,30,1990,93.33,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d23,40671,16,summer,30,1990,101.19,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d22,40672,16,summer,30,1990,102.33,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d21,40673,16,summer,30,1990,103.16,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d20,40674,16,summer,30,1990,95.19,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1f,40675,16,summer,30,1990,96.93,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1e,40676,16,summer,30,1990,97.4,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1d,40677,16,summer,30,1990,105.23,POINT (9601306.080919845 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1c,40678,16,summer,30,1990,103.4,POINT (9656965.826316481 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1b,40679,16,summer,30,1990,90.83,POINT (9712625.57171312 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d1a,40680,16,summer,30,1990,93.46,POINT (9768285.317109756 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d19,41295,16,summer,30,1990,145.16,POINT (8933389.136160204 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d18,41296,16,summer,30,1990,136.8,POINT (8989048.88155684 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d17,41297,16,summer,30,1990,126.73,POINT (9044708.626953477 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d16,41298,16,summer,30,1990,106.96,POINT (9100368.372350115 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d15,41299,16,summer,30,1990,98.3,POINT (9156028.117746752 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d14,41300,16,summer,30,1990,92.46,POINT (9211687.863143386 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d13,41301,16,summer,30,1990,100.73,POINT (9267347.608540025 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d12,41302,16,summer,30,1990,101.79,POINT (9323007.353936663 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d11,41303,16,summer,30,1990,92,POINT (9378667.099333297 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d10,41304,16,summer,30,1990,81.16,POINT (9434326.844729934 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0f,41305,16,summer,30,1990,81.56,POINT (9489986.590126572 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0e,41306,16,summer,30,1990,92.96,POINT (9545646.335523209 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0d,41307,16,summer,30,1990,88.03,POINT (9601306.080919845 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0c,41308,16,summer,30,1990,89.76,POINT (9656965.826316481 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0b,41309,16,summer,30,1990,92.13,POINT (9712625.57171312 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d0a,41310,16,summer,30,1990,94.5,POINT (9768285.317109756 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d09,40335,16,summer,30,1990,105.46,POINT (8933389.136160204 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d08,40336,16,summer,30,1990,108.36,POINT (8989048.88155684 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d07,40337,16,summer,30,1990,96.93,POINT (9044708.626953477 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4d06,40338,16,summer,30,1990,105.93,POINT (9100368.372350115 3535725.659799159)
